dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
clinc150,0.25,100,trainable,1,4560,1.3964061114265127,1.1772765557767437,1.400022042104914,1.6160421507459655,1.6614662205152575,1.7428319681840987,0.014035087719298246
clinc150,0.25,123,frozen,0,1140,0.9054798490901047,0.7272583645189135,0.9044509387455335,1.087602011635104,1.131510317291659,1.2181358512156333,0.756140350877193
clinc150,0.25,123,frozen,1,4560,1.1847969751321425,1.0598222240405972,1.2040431365936264,1.2822847287177292,1.298387440718923,1.3258883413558613,0.04912280701754386
clinc150,0.25,123,trainable,0,1140,0.897268714343592,0.6791344008425715,0.8769077525851297,1.1491697963679894,1.229123975281479,1.3590631225832366,0.7324561403508771
clinc150,0.25,123,trainable,1,4560,1.3960851768565135,1.1224845982925582,1.4194254769828591,1.6309551500243262,1.6792281059190388,1.7580532634905328,0.039473684210526314
clinc150,0.5,13,frozen,0,2250,0.8970050475387888,0.7045305950644948,0.902541885554268,1.0771784183950717,1.1372710782824864,1.214565353597362,0.7653333333333333
clinc150,0.5,13,frozen,1,3450,1.1409327277743329,1.0311226248762566,1.1587975262982901,1.2261927631488123,1.2391095740174953,1.2583804584636065,0.06057971014492754
clinc150,0.5,13,trainable,0,2250,0.8845770688689532,0.6668635733647434,0.8627434273082425,1.1272224138219555,1.2223726427108195,1.380677701498986,0.7453333333333333
clinc150,0.5,13,trainable,1,3450,1.3524909684670623,1.1288305864007722,1.3676458640738778,1.5608727899929482,1.604515336503218,1.6728766952983307,0.03217391304347826
clinc150,0.5,42,frozen,0,2250,0.9079636724715711,0.7128523372072118,0.9147270634923098,1.0906733650733889,1.1448293795987372,1.2233818875356997,0.7306666666666667
