dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,test,pto_used,False,30,22,8,2,0.77744481535329
clinc150,13,test,recipe,False,30,13,17,14,0.9060887765775122
clinc150,13,test,redeem_rewards,False,30,2,28,6,1.026334398481095
clinc150,13,test,reminder,True,30,23,7,0,0.6908550060886253
clinc150,13,test,reminder_update,True,30,24,6,3,0.7920287555908405
clinc150,13,test,repeat,False,30,0,30,0,1.062550995248234
clinc150,13,test,replacement_card_duration,True,30,26,4,0,0.6725548989232442
clinc150,13,test,report_fraud,True,30,21,9,6,0.809543786377396
clinc150,13,test,report_lost_card,False,30,22,8,12,0.8372121369837475
clinc150,13,test,reset_settings,True,30,25,5,2,0.6583369221841324
clinc150,13,test,restaurant_reservation,False,30,3,27,5,1.0954572335275288
clinc150,13,test,restaurant_reviews,True,30,18,12,3,0.843806902699996
clinc150,13,test,restaurant_suggestion,True,30,22,8,8,0.7689325540728396
clinc150,13,test,rewards_balance,True,30,28,2,2,0.6924942060075641
clinc150,13,test,roll_dice,True,30,28,2,3,0.7301782414410474
clinc150,13,test,rollover_401k,False,30,0,30,0,1.2064774684129147
clinc150,13,test,routing,True,30,24,6,4,0.7707392636327248
clinc150,13,test,schedule_maintenance,True,30,22,8,4,0.792186741536053
clinc150,13,test,schedule_meeting,True,30,28,2,2,0.7452453804575287
clinc150,13,test,share_location,False,30,1,29,0,1.085608652456766
clinc150,13,test,shopping_list,False,30,8,22,8,0.9749307886198644
clinc150,13,test,shopping_list_update,False,30,2,28,6,0.9816975096860083
clinc150,13,test,smart_home,False,30,2,28,2,1.1275166330933861
clinc150,13,test,spelling,False,30,6,24,10,0.963085235201931
clinc150,13,test,spending_history,True,30,25,5,4,0.6535122561469787
clinc150,13,test,sync_device,True,30,28,2,3,0.7085089948450671
clinc150,13,test,taxes,False,30,0,30,0,1.1691239179414783
clinc150,13,test,tell_joke,True,30,24,6,3,0.8037156003096159
clinc150,13,test,text,False,30,0,30,1,1.1020551990049867
clinc150,13,test,thank_you,True,30,26,4,5,0.7949605410753713
clinc150,13,test,time,False,30,12,18,14,0.9230457952052469
clinc150,13,test,timer,True,30,28,2,0,0.583437752237902
clinc150,13,test,timezone,True,30,23,7,8,0.8151501452119123
clinc150,13,test,tire_change,True,30,28,2,2,0.6019686978467971
clinc150,13,test,tire_pressure,True,30,30,0,0,0.7182126438422736
clinc150,13,test,todo_list,True,30,28,2,2,0.7371243697139049
clinc150,13,test,todo_list_update,True,30,24,6,6,0.7772238280478616
clinc150,13,test,traffic,False,30,7,23,9,0.9770260024265558
clinc150,13,test,transactions,False,30,6,24,8,1.0725376040846188
clinc150,13,test,transfer,False,30,2,28,1,1.1267962311735589
clinc150,13,test,translate,True,30,20,10,7,0.8513687224536848
clinc150,13,test,travel_alert,True,30,23,7,3,0.7982478153536128
clinc150,13,test,travel_notification,False,30,2,28,2,1.077826248438223
clinc150,13,test,travel_suggestion,True,30,30,0,1,0.7438464107285349
clinc150,13,test,uber,True,30,29,1,5,0.7374411169891206
clinc150,13,test,update_playlist,True,30,21,9,2,0.792256183790541
clinc150,13,test,user_name,True,30,25,5,3,0.7278068011419352
clinc150,13,test,vaccines,False,30,0,30,0,1.2216786268920543
clinc150,13,test,w2,False,30,0,30,0,1.1994056059997318
clinc150,13,test,weather,True,30,30,0,0,0.6407265718458723
clinc150,13,test,what_are_your_hobbies,True,30,21,9,0,0.6617615340701175
clinc150,13,test,what_can_i_ask_you,True,30,25,5,8,0.7771957056979555
clinc150,13,test,what_is_your_name,False,30,18,12,7,0.8856246623156984
clinc150,13,test,what_song,False,30,0,30,1,1.1284187557963337
clinc150,13,test,where_are_you_from,True,30,26,4,2,0.7097410012151804
clinc150,13,test,whisper_mode,False,30,0,30,0,1.1679912406970627
clinc150,13,test,who_do_you_work_for,True,30,18,12,3,0.7996872805718445
clinc150,13,test,who_made_you,False,30,0,30,4,1.0987289069304222
clinc150,13,test,yes,True,30,25,5,7,0.792171571168915
