dataset,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,oos_f1_min,known_f1_mean,known_f1_std,known_f1_min,accuracy_mean,accuracy_std,accuracy_min,known_recall_mean,known_recall_std,known_recall_min,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_min,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_min,auroc_mean,auroc_std,auroc_min,aupr_oos_mean,aupr_oos_std,aupr_oos_min,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,1,0.25,0.95,normalized_union,3,0.9140142934895984,0.0006165302966258528,0.9134585771481367,0.6367362162186102,0.013466056079573092,0.6248192829926251,0.8568627450980392,0.0019090394518869087,0.8544117647058823,0.5583333333333333,0.011145502331533616,0.549,0.03766233766233766,0.0037396434076127708,0.03344155844155844,0.44166666666666665,0.011145502331533668,0.426,0.9163758658008657,0.0035446903198256665,0.9114094155844156,0.9701499791052294,0.0015420405395234495,0.9680360907655119,88.23,3.1714293489598333,True
banking77_oos,2,1.0,0.85,normalized_union,3,0.9139559620489139,0.0006977208519324287,0.9132912367164638,0.6293150766195564,0.012390820829347527,0.6131924159891066,0.8558823529411764,0.0022552571473598384,0.8526960784313725,0.5626666666666668,0.009977753031397137,0.552,0.03896103896103896,0.0030109150959401645,0.03636363636363636,0.43733333333333335,0.009977753031397186,0.424,0.9127093073593073,0.007787154901819236,0.9017035714285715,0.9689497017287384,0.0033829420237985255,0.9641790746719169,88.23,3.1655962048913864,True
banking77_oos,1,1.5,0.85,normalized_union,3,0.9139201699169371,0.0012653432989651308,0.9123486682808717,0.6922267869827504,0.016858717769900042,0.6769078955162012,0.8579248366013071,0.0034099079664557928,0.8553921568627451,0.7176666666666667,0.020154955277107985,0.697,0.08138528138528138,0.00431002332288742,0.07564935064935065,0.2823333333333333,0.020154955277107957,0.255,0.9136376623376624,0.004077115764234211,0.9089259740259741,0.9695636079675506,0.002036010145790221,0.9671396559081833,88.23,3.1620169916937044,True
banking77_oos,2,1.0,0.85,nearest_sphere,3,0.9138970843633261,0.0010952962554616288,0.9128962757771623,0.6276016235619615,0.012489109610169935,0.6104280002229645,0.8555555555555555,0.002664952031094777,0.8519607843137255,0.5606666666666666,0.010624918300339448,0.548,0.03852813852813853,0.003356723467374638,0.03538961038961039,0.43933333333333335,0.010624918300339493,0.426,0.9124890692640694,0.00767814945498289,0.9016337662337662,0.9688196436313635,0.0033565938576960337,0.9640846865511312,88.23,3.1597084363326076,True
banking77_oos,2,0.25,1.0,nearest_sphere,3,0.9137434237248018,0.005046784003257787,0.9071383449147189,0.6607938354881308,0.01081317116188706,0.6455066248323874,0.8553921568627452,0.006487771796108456,0.8468137254901961,0.6483333333333333,0.02094967514996091,0.62,0.06277056277056277,0.006280787068635024,0.05389610389610389,0.3516666666666666,0.02094967514996089,0.33,0.9089912337662337,0.009583379811963052,0.8954383116883117,0.9674683142162076,0.003959243757213143,0.9618914729573049,88.23,3.1443423724801676,True
banking77_oos,2,0.25,1.0,normalized_union,3,0.9137434237248018,0.005046784003257787,0.9071383449147189,0.6607277972320298,0.010914397722032598,0.6452972224471633,0.8553921568627452,0.006487771796108456,0.8468137254901961,0.6483333333333333,0.02094967514996091,0.62,0.06277056277056277,0.006280787068635024,0.05389610389610389,0.3516666666666666,0.02094967514996089,0.33,0.9089931818181819,0.009594852594443612,0.895424025974026,0.9674687960652245,0.003964196420095563,0.9618851994263893,88.23,3.1443423724801676,True
banking77_oos,2,2.5,0.75,nearest_sphere,3,0.9133473778834387,0.004297030405878409,0.9073834196891192,0.6843302129410059,0.009050513844963536,0.6756599097973814,0.8563725490196078,0.005440219547250507,0.8490196078431372,0.7083333333333334,0.014383632673594292,0.692,0.07987012987012987,0.0077242709437469635,0.07175324675324675,0.2916666666666667,0.014383632673594266,0.273,0.9126265151515152,0.005359067713574941,0.90505,0.9689119019961702,0.0026505492779595337,0.9651634793358037,88.23,3.1047377883438685,True
banking77_oos,2,1.5,0.85,nearest_sphere,3,0.9131832715489038,0.006053303707915034,0.9046233430326543,0.6805237966552852,0.00997568135072688,0.6681832442556381,0.8554738562091503,0.007353848890957928,0.8450980392156863,0.7056666666666667,0.014659088951530695,0.692,0.07943722943722943,0.009142299602572675,0.06948051948051948,0.29433333333333334,0.01465908895153067,0.274,0.9131016233766234,0.006709886256786901,0.9036198051948052,0.9690690314603138,0.0030493763201073195,0.964763971577144,88.23,3.0883271548903792,True
banking77_oos,1,1.0,0.85,nearest_sphere,3,0.9131659583498702,0.0021516405040975313,0.9109979947555145,0.6379277542106206,0.014626323356033146,0.6182120324926054,0.855718954248366,0.003444962196455546,0.8509803921568627,0.5713333333333334,0.015282524515130163,0.55,0.04285714285714285,0.0037583886048020224,0.039285714285714285,0.4286666666666667,0.015282524515130213,0.415,0.9154129870129871,0.0033379691859555783,0.9113032467532468,0.9700221565102373,0.0015658844124126071,0.9681171537302224,88.23,3.0865958349870226,True
banking77_oos,1,1.0,0.85,normalized_union,3,0.913091693733088,0.0022211567620517257,0.9108024691358024,0.6376537561604781,0.014513961637490387,0.6184262753375352,0.8555555555555555,0.003479663307033787,0.850735294117647,0.5720000000000001,0.01512172829628497,0.551,0.04318181818181818,0.0038232731023064284,0.039285714285714285,0.428,0.015121728296285022,0.414,0.9156095238095238,0.003853813081792067,0.9107691558441557,0.9701696326334667,0.001853992556592431,0.96787492650003,88.23,3.079169373308787,True
banking77_oos,2,2.0,0.8,nearest_sphere,3,0.9130601559149992,0.004716575550878261,0.9064071370640714,0.6842590551594495,0.008755871141057383,0.6765169595496594,0.8555555555555555,0.0055974487362616615,0.8477941176470588,0.7143333333333333,0.014383632673594292,0.7,0.08203463203463203,0.0082875280169163,0.07272727272727272,0.2856666666666667,0.014383632673594266,0.266,0.9130247835497834,0.005939958720212983,0.9046298701298701,0.9690517141956244,0.002814510212949876,0.9650735625790545,88.23,3.0760155914999245,True
banking77_oos,1,0.25,1.05,nearest_sphere,3,0.912977324014071,0.001805674887678868,0.9106534781903681,0.7027222239335579,0.013799109634727375,0.6888284210378001,0.857516339869281,0.0028040853434200454,0.8536764705882353,0.7469999999999999,0.024589970855344007,0.721,0.09112554112554112,0.006162182184193404,0.08538961038961039,0.253,0.024589970855343996,0.22,0.9163714285714285,0.003538040936428994,0.9114149350649351,0.9701463048556199,0.00153783633572708,0.9680384913306744,88.23,3.067732401407085,True
banking77_oos,1,0.25,1.05,normalized_union,3,0.912977324014071,0.001805674887678868,0.9106534781903681,0.7030504172676307,0.013682570055313573,0.6888284210378001,0.8575980392156862,0.002837214927154492,0.8536764705882353,0.7469999999999999,0.024589970855344007,0.721,0.09112554112554112,0.006162182184193404,0.08538961038961039,0.253,0.024589970855343996,0.22,0.9163758658008657,0.0035446903198256665,0.9114094155844156,0.9701499791052294,0.0015420405395234495,0.9680360907655119,88.23,3.067732401407085,True
banking77_oos,1,1.5,0.8,nearest_sphere,3,0.9129679921136861,0.0035968246937993693,0.9087806391560658,0.6444691021687824,0.019672095887246603,0.6167203030349228,0.8558006535947712,0.0058834875448983285,0.8477941176470588,0.5913333333333333,0.02007209228976615,0.563,0.0487012987012987,0.0035861561744114467,0.04415584415584416,0.4086666666666667,0.02007209228976612,0.393,0.9138081168831169,0.00327268923266905,0.9103818181818182,0.9695488957191447,0.0015885288557380237,0.9678079041920373,88.23,3.066799211368604,True
