dataset,kir,seed,comparator,comparator_label,trainable_oos_f1,comparator_oos_f1,delta_oos_f1,trainable_f1_all,comparator_f1_all,delta_f1_all,trainable_known_recall,comparator_known_recall,delta_known_recall,trainable_false_accept_rate,comparator_false_accept_rate,delta_false_accept_rate
banking77,0.75,13,random_partition,Random K=2,0.6601269474899019,0.464,0.19612694748990184,0.8297927993746245,0.783194970314109,0.04659782906051546,0.8271551724137931,0.8724137931034482,-0.04525862068965514,0.2473684210526315,0.5802631578947368,-0.33289473684210535
banking77,0.75,42,random_partition,Random K=2,0.7272727272727273,0.5775401069518716,0.14973262032085566,0.8465133935600306,0.7832318308942068,0.06328156266582385,0.8297413793103449,0.8689655172413793,-0.03922413793103441,0.131578947368421,0.431578947368421,-0.30000000000000004
banking77,0.75,87,random_partition,Random K=2,0.6984478935698448,0.5516304347826086,0.14681745878723618,0.8495955076276699,0.8019420124481477,0.04765349517952222,0.8215517241379311,0.868103448275862,-0.04655172413793096,0.1710526315789473,0.4657894736842105,-0.2947368421052632
banking77,0.75,100,random_partition,Random K=2,0.6801573917931422,0.5431928127159641,0.13696457907717807,0.8422789425569616,0.7905835894689673,0.05169535308799422,0.8215517241379311,0.8732758620689656,-0.051724137931034475,0.2039473684210526,0.4828947368421052,-0.2789473684210526
banking77,0.75,123,random_partition,Random K=2,0.6666666666666666,0.5325779036827195,0.13408876298394712,0.8383752198051533,0.7857174094681736,0.052657810336979693,0.8206896551724138,0.8810344827586207,-0.06034482758620696,0.2263157894736842,0.5052631578947369,-0.27894736842105267
clinc150,0.25,13,random_partition,Random K=2,0.9528118939883644,0.9433795990306236,0.009432294957740783,0.8010298070270482,0.7887268550662173,0.012302951960830866,0.736842105263158,0.7929824561403509,-0.056140350877192935,0.0302631578947368,0.0609649122807017,-0.0307017543859649
clinc150,0.25,42,random_partition,Random K=2,0.9479594040164112,0.9351422898742554,0.012817114142155805,0.7837064085470472,0.7671566988956524,0.016549709651394795,0.7263157894736842,0.7657894736842106,-0.03947368421052633,0.0372807017543859,0.0703947368421052,-0.033114035087719304
clinc150,0.25,87,random_partition,Random K=2,0.9473684210526316,0.9348863006100944,0.01248212044253727,0.7856815672130488,0.7750222783622385,0.010659288850810356,0.736842105263158,0.7885964912280702,-0.05175438596491222,0.0407894736842105,0.0758771929824561,-0.0350877192982456
clinc150,0.25,100,random_partition,Random K=2,0.9625347891243844,0.9580106881884612,0.004524100935923148,0.8293119919847214,0.8311811774653984,-0.0018691854806770491,0.7491228070175439,0.8096491228070175,-0.06052631578947365,0.0140350877192982,0.0368421052631578,-0.022807017543859602
clinc150,0.25,123,random_partition,Random K=2,0.9475392103839914,0.940579869915114,0.006959340468877362,0.7847672034972499,0.7769311252873595,0.007836078209890407,0.7324561403508771,0.7850877192982456,-0.052631578947368474,0.0394736842105263,0.0644736842105263,-0.024999999999999994
clinc150,0.5,13,random_partition,Random K=2,0.9070904645476772,0.8901816118047673,0.016908852742909875,0.8261993158424226,0.8110612637258592,0.015138052116563383,0.7453333333333334,0.7951111111111111,-0.0497777777777777,0.0321739130434782,0.0907246376811594,-0.058550724637681205
clinc150,0.5,42,random_partition,Random K=2,0.8971451987433411,0.8829412593323003,0.014203939411040811,0.8075141354234163,0.8006302876150952,0.006883847808321075,0.739111111111111,0.7711111111111111,-0.03200000000000003,0.0481159420289855,0.0915942028985507,-0.0434782608695652
clinc150,0.5,87,random_partition,Random K=2,0.9086720867208672,0.8959726768179878,0.012699409902879433,0.8234017136184874,0.8153861668677663,0.008015546750721025,0.7435555555555555,0.8093333333333333,-0.06577777777777782,0.0281159420289855,0.0875362318840579,-0.0594202898550724
clinc150,0.5,100,random_partition,Random K=2,0.9051512673753066,0.8901224025049815,0.015028864870325065,0.8249194600480021,0.8155966771133115,0.009322782934690577,0.748,0.8004444444444444,-0.052444444444444405,0.037391304347826,0.0936231884057971,-0.0562318840579711
clinc150,0.5,123,random_partition,Random K=2,0.9039116805233748,0.894237576100807,0.009674104422567775,0.8087962224646499,0.79486107222835,0.013935150236299876,0.7462222222222222,0.7977777777777778,-0.05155555555555558,0.0388405797101449,0.0846376811594202,-0.045797101449275304
clinc150,0.75,13,random_partition,Random K=2,0.8230088495575221,0.818022235225278,0.004986614332244121,0.8206112737544194,0.8221544652828386,-0.0015431915284191966,0.7464285714285714,0.7946428571428572,-0.048214285714285765,0.0461538461538461,0.1038461538461538,-0.057692307692307696
clinc150,0.75,42,random_partition,Random K=2,0.823141706334676,0.8092349833692036,0.013906722965472351,0.824382257045602,0.8170358381627915,0.007346418882810513,0.7398809523809524,0.7907738095238095,-0.05089285714285707,0.0393162393162393,0.1162393162393162,-0.0769230769230769
clinc150,0.75,87,random_partition,Random K=2,0.8302650957290133,0.8299531981279251,0.00031189760108818465,0.827797940585045,0.826043548437886,0.0017543921471590007,0.7508928571428571,0.8035714285714286,-0.05267857142857146,0.0363247863247863,0.0905982905982906,-0.054273504273504296
