cluster_id,intent,k,radius,sample_count
8,calendar,2,22.095987998545453,34
9,calendar,2,22.18431805363412,66
10,calories,2,22.604559630519127,35
11,calories,2,21.066516482835834,65
12,cancel,2,21.753586852371253,48
13,cancel,2,21.366113578165326,52
14,car_rental,2,22.184488005366592,45
15,car_rental,2,21.221308492127935,55
16,card_declined,2,25.16478636667546,56
17,card_declined,2,22.50935846891993,44
18,change_accent,2,22.280879884040424,54
19,change_accent,2,23.645876566949376,46
20,change_ai_name,2,20.68448414037191,43
21,change_ai_name,2,22.063400798545217,57
22,change_speed,2,22.66923828031062,40
23,change_speed,2,22.88857500450711,60
24,cook_time,2,21.4280114952965,49
25,cook_time,2,21.631684507982964,51
26,credit_limit_change,2,22.49803008408656,55
27,credit_limit_change,2,23.276917613368273,45
28,credit_score,2,23.687030267097043,40
29,credit_score,2,23.414602968705758,60
30,current_location,2,23.30850721250719,42
31,current_location,2,22.897073174242035,58
32,damaged_card,2,22.990428872171215,47
33,damaged_card,2,22.512453092087377,53
34,date,2,23.043674448876352,61
35,date,2,22.198260930297927,39
36,direct_deposit,2,25.599531657350056,61
37,direct_deposit,2,24.408591173058692,39
38,exchange_rate,2,21.714094581013267,34
39,exchange_rate,2,21.891396209737344,66
40,flight_status,2,22.80565329796211,36
41,flight_status,2,22.933647123862013,64
42,flip_coin,2,22.67356943223686,59
43,flip_coin,2,22.774092230805998,41
44,food_last,2,21.342542327582613,69
45,food_last,2,22.22468690164227,31
46,fun_fact,2,21.30842142035757,71
47,fun_fact,2,22.301500598570158,29
48,gas_type,2,24.643575331740504,68
49,gas_type,2,23.151316675644576,32
50,greeting,2,21.642231238417597,60
51,greeting,2,21.47750559040502,40
52,income,2,22.27850247063142,57
53,income,2,22.867659243867053,43
54,ingredient_substitution,2,21.139085961748126,77
55,ingredient_substitution,2,22.099787843997902,23
56,ingredients_list,2,21.787607799223622,51
57,ingredients_list,2,21.640698620503763,49
58,insurance,2,22.893166340408825,59
59,insurance,2,22.144912142633885,41
60,international_fees,2,21.84671652957042,42
61,international_fees,2,22.442788402890688,58
62,last_maintenance,2,22.226475486552083,74
63,last_maintenance,2,23.145611263508982,26
64,lost_luggage,2,22.946794627727638,62
65,lost_luggage,2,23.058918025538645,38
66,maybe,2,22.491412387816002,38
67,maybe,2,22.377844750167238,62
68,meaning_of_life,2,23.384234383280337,21
69,meaning_of_life,2,23.897318110543075,79
70,measurement_conversion,2,23.034429206856636,50
71,measurement_conversion,2,21.57315017588972,50
72,meeting_schedule,2,22.883215889540498,64
73,meeting_schedule,2,21.971845672459807,36
74,nutrition_info,2,22.645662629173373,21
75,nutrition_info,2,21.28090440482484,79
76,oil_change_how,2,22.92071362773982,28
77,oil_change_how,2,23.91434452809939,72
78,order,2,21.23647426133147,61
79,order,2,23.666765222684035,39
80,payday,2,23.327880282809517,51
81,payday,2,22.801361370630396,49
82,plug_type,2,22.201987847780366,51
83,plug_type,2,21.679172244683606,49
84,pto_request_status,2,23.485301599236493,30
85,pto_request_status,2,23.354851080819934,70
86,pto_used,2,22.34426078354055,76
87,pto_used,2,22.583455908637557,24
88,redeem_rewards,2,22.639025108362897,28
89,redeem_rewards,2,23.846768152415223,72
90,reminder_update,2,21.609662220322843,37
91,reminder_update,2,22.098550187395368,63
92,repeat,2,21.65051181216062,53
93,repeat,2,21.841798595098147,47
94,replacement_card_duration,2,23.496225042469405,22
95,replacement_card_duration,2,23.72105848464499,78
96,reset_settings,2,23.24767226939364,39
97,reset_settings,2,23.30175478443234,61
98,restaurant_reservation,2,21.41026933466053,48
99,restaurant_reservation,2,21.882245552752952,52
100,restaurant_suggestion,2,22.762699119264475,61
101,restaurant_suggestion,2,21.855156624794475,39
102,rewards_balance,2,21.53621092560107,50
103,rewards_balance,2,22.407327130513263,50
104,rollover_401k,2,23.768963148822824,26
105,rollover_401k,2,23.878983403876287,74
106,routing,2,22.69888153877842,50
107,routing,2,22.8118976955074,50
108,schedule_meeting,2,23.185879213261522,37
109,schedule_meeting,2,22.825376548618085,63
110,share_location,2,21.84705923172184,26
111,share_location,2,21.40115350608249,74
112,shopping_list,2,23.29242553578923,78
113,shopping_list,2,22.278281719823127,22
114,shopping_list_update,2,23.0606175837801,24
115,shopping_list_update,2,21.51620183595992,76
116,spelling,2,22.29421531608027,16
117,spelling,2,20.50655381635427,84
118,sync_device,2,23.09300481701907,48
119,sync_device,2,23.272278574612933,52
120,tell_joke,2,22.372741686883803,34
121,tell_joke,2,22.378481055095143,66
122,timezone,2,21.387834298229148,66
123,timezone,2,22.237836425353333,34
124,tire_pressure,2,22.804738666646664,46
125,tire_pressure,2,23.252990184966535,54
126,todo_list_update,2,22.55068264116785,25
127,todo_list_update,2,22.28322087128459,75
128,transfer,2,21.864393981992368,71
129,transfer,2,23.392644896949648,29
130,travel_alert,2,22.525067766863003,77
131,travel_alert,2,20.71192982347566,23
132,travel_notification,2,22.150830895704313,40
133,travel_notification,2,21.629491748785366,60
134,travel_suggestion,2,21.288587241536298,53
135,travel_suggestion,2,21.650671837572443,47
136,uber,2,23.522392745660987,14
137,uber,2,22.096908052942076,86
138,user_name,2,22.108227493890116,38
139,user_name,2,21.81569300826572,62
140,vaccines,2,22.401993340368026,42
141,vaccines,2,22.027290469534144,58
142,what_are_your_hobbies,2,24.422308388362584,59
143,what_are_your_hobbies,2,22.863245240050784,41
144,what_is_your_name,2,22.02218772973359,42
145,what_is_your_name,2,22.32244307081628,58
146,what_song,2,22.13533944045653,48
147,what_song,2,22.716068819360583,52
148,whisper_mode,2,23.205046860291684,45
149,whisper_mode,2,24.82496329756169,55
0,accept_reservations,1,21.283561344379443,100
1,apr,1,23.486438295887336,100
2,book_flight,1,21.656580109950152,100
3,book_hotel,1,21.399679449056006,100
4,calculator,1,20.627813982113658,100
5,calendar,1,22.255949235413638,100
6,cancel,1,21.360676632143708,100
7,cancel_reservation,1,23.16185242302295,100
8,card_declined,1,23.58946135670752,100
9,carry_on,1,21.991411936923804,100
10,change_language,1,21.31021469190928,100
11,change_speed,1,22.781985205030693,100
12,change_user_name,1,21.188610881499024,100
13,change_volume,1,23.356337736236018,100
14,confirm_reservation,1,22.089857182981877,100
15,cook_time,1,21.2508265900291,100
16,credit_limit,1,22.649589583948913,100
17,credit_limit_change,1,22.541659920562765,100
18,credit_score,1,23.008285829049964,100
19,current_location,1,22.79396458175665,100
20,damaged_card,1,22.263299798650873,100
21,date,1,23.485344249232824,100
22,directions,1,21.290698888621915,100
23,exchange_rate,1,21.70613195030609,100
24,expiration_date,1,23.33157035256094,100
25,flight_status,1,22.16672834620365,100
26,food_last,1,21.11917595701883,100
27,freeze_account,1,22.127001321319135,100
28,gas,1,22.5416426994895,100
29,how_busy,1,21.35246922681692,100
30,ingredient_substitution,1,21.173051456104865,100
31,ingredients_list,1,21.47853692854849,100
32,international_fees,1,21.730041038024236,100
33,jump_start,1,23.25197053482647,100
34,lost_luggage,1,22.394529257418103,100
35,make_call,1,21.070055720664016,100
36,maybe,1,21.632192767666446,100
37,meal_suggestion,1,22.17559780303899,100
38,meaning_of_life,1,24.35309456388414,100
39,measurement_conversion,1,21.88171343676772,100
40,new_card,1,22.424263405233443,100
41,next_song,1,22.610782023689758,100
42,no,1,21.536319366625314,100
43,oil_change_how,1,23.549344231638642,100
44,order_checks,1,21.99981477514607,100
45,order_status,1,21.93030079981337,100
46,pin_change,1,22.97996731396348,100
47,play_music,1,21.22207326998065,100
48,reminder,1,24.184064883638314,100
49,reminder_update,1,21.813241885726075,100
50,repeat,1,21.905337103142266,100
51,replacement_card_duration,1,23.29281343576049,100
52,restaurant_reservation,1,21.15357199707133,100
53,rewards_balance,1,21.838794349071232,100
54,roll_dice,1,23.0187464718347,100
55,schedule_maintenance,1,21.32122021573266,100
56,schedule_meeting,1,22.24134380124488,100
57,share_location,1,21.37210014766878,100
58,smart_home,1,20.879192046007738,100
59,taxes,1,22.53330672262499,100
60,tell_joke,1,22.112741749599095,100
61,timer,1,23.076280057462817,100
62,timezone,1,21.098880069433182,100
63,todo_list_update,1,22.03388290152702,100
64,traffic,1,21.63949822716925,100
65,translate,1,21.90416312402214,100
