dataset,kir,native_method,metric,n_seeds,mean_delta,mean_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,effect_size
stackoverflow,0.5,energy,false_reject_rate,3,0.11733333333333336,-0.11733333333333336,0.006173419725817406,0.1126666666666667,0.1243333333333334,0,0,3,-19.00621349989249
stackoverflow,0.5,energy,auroc,3,0.034569333333333264,0.034569333333333264,0.01538777633322902,0.025401555555555455,0.05233455555555555,3,0,0,2.246545087783917
stackoverflow,0.5,energy,aupr_oos,3,0.047204419372523954,0.047204419372523954,0.021149294069570987,0.023894844179881747,0.06516717160849783,3,0,0,2.231961937700812
stackoverflow,0.5,energy,accuracy,3,0.25572222222222224,0.25572222222222224,0.0051243789144889635,0.24983333333333335,0.25916666666666666,3,0,0,49.90306659392
stackoverflow,0.5,knn,oos_f1,3,0.1787590949382429,0.1787590949382429,0.0709312333740315,0.13666004810046883,0.2606526201935846,3,0,0,2.5201746316128215
stackoverflow,0.5,knn,f1_all,3,0.08434065738563368,0.08434065738563368,0.020620556490526045,0.07224853100314266,0.10815024245857185,3,0,0,4.090125182818579
stackoverflow,0.5,knn,known_recall,3,-0.1124444444444445,-0.1124444444444445,0.013338887731963458,-0.126,-0.09933333333333338,0,0,3,-8.429821639101007
stackoverflow,0.5,knn,false_accept_rate,3,-0.3344444444444445,0.3344444444444445,0.07742977702647973,-0.42333333333333334,-0.28166666666666673,3,0,0,4.319325940071736
stackoverflow,0.5,knn,false_reject_rate,3,0.11244444444444446,-0.11244444444444446,0.013338887731963445,0.09933333333333343,0.126,0,0,3,-8.42982163910101
stackoverflow,0.5,knn,auroc,3,-0.012074074074074051,-0.012074074074074051,0.005774130802348941,-0.017418333333333424,-0.005949444444444341,0,0,3,-2.0910634842498315
stackoverflow,0.5,knn,aupr_oos,3,-0.019401992668494666,-0.019401992668494666,0.006340764267306937,-0.02664221697446112,-0.01483866500830966,0,0,3,-3.059882350228914
stackoverflow,0.5,knn,accuracy,3,0.12383333333333331,0.12383333333333331,0.03666325741726241,0.10233333333333328,0.16616666666666668,3,0,0,3.377586773700801
stackoverflow,0.5,lof,oos_f1,3,0.23174891027050368,0.23174891027050368,0.0741769578450042,0.1691915183372874,0.3136946627040609,3,0,0,3.12427089224598
stackoverflow,0.5,lof,f1_all,3,0.09590653219405527,0.09590653219405527,0.016345313576854217,0.07874921285585301,0.11129614412924282,3,0,0,5.867524764398753
stackoverflow,0.5,lof,known_recall,3,-0.11011111111111116,-0.11011111111111116,0.007010574024154388,-0.1173333333333334,-0.10333333333333339,0,0,3,-15.706432987046693
stackoverflow,0.5,lof,false_accept_rate,3,-0.3955555555555556,0.3955555555555556,0.0773285439129931,-0.47666666666666674,-0.3226666666666667,3,0,0,5.1152593277925735
stackoverflow,0.5,lof,false_reject_rate,3,0.11011111111111116,-0.11011111111111116,0.007010574024154382,0.1033333333333334,0.1173333333333334,0,0,3,-15.706432987046707
stackoverflow,0.5,lof,auroc,3,0.022912759259259174,0.022912759259259174,0.006310821120668717,0.017808388888888804,0.029968888888888823,3,0,0,3.6307096685433002
stackoverflow,0.5,lof,aupr_oos,3,0.009847077061375257,0.009847077061375257,0.005066316800298635,0.004414937917335493,0.014443695532209366,3,0,0,1.9436362646715695
stackoverflow,0.5,lof,accuracy,3,0.15694444444444444,0.15694444444444444,0.036436525223604556,0.1233333333333333,0.19566666666666666,3,0,0,4.307338405111463
