dataset,method,reference_method,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
stackoverflow,energy,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03261193120469564,0.08743341734357528,-0.0921287762640568,0.017235882501168625,0.4444444444444444,0.0
stackoverflow,entropy,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0003126705917175787,0.07365815692072651,-0.045426544412072986,0.042036648660611076,0.4444444444444444,0.0
stackoverflow,entropy,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0206318079659012,0.024058854883339465,0.00532685113829704,0.034278850594911134,0.7777777777777778,0.0
stackoverflow,entropy,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.014405177046183833,0.10614115237550274,-0.08464558053455473,0.04778500807360991,0.3333333333333333,0.0
stackoverflow,euclidean_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.015546448387187686,0.026848409078449823,-0.033318690287625664,-0.0008343667849645898,0.1111111111111111,0.0
stackoverflow,euclidean_centroid,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.025665960960479302,0.01354664071053899,0.015953556406209008,0.0328361658551024,1.0,0.0
stackoverflow,euclidean_centroid,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03428781032284764,0.05482398298405562,-0.0748769896943893,-0.006752852186140769,0.7777777777777778,0.1111111111111111
stackoverflow,knn,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.01020641745950326,0.061965168211216184,-0.04465611440190193,0.03006796194212243,0.3333333333333333,0.0
stackoverflow,knn,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.011821827207315628,0.014180176412641616,0.001450038950983659,0.019234622544975353,0.8888888888888888,0.0
stackoverflow,knn,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0394889513091177,0.09082413563133034,-0.020591524678951867,0.0922841244843246,0.3333333333333333,0.0
stackoverflow,lof,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.08479999584310888,0.060496242952534425,-0.1203664980299711,-0.04783817179035085,0.1111111111111111,0.0
stackoverflow,lof,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.009374663017607773,0.01602809641650836,-0.0014176389811487587,0.01798752713521105,0.7777777777777778,0.0
stackoverflow,lof,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.14153756971897688,0.11413055100142735,0.06868498801834637,0.20579885803305123,0.1111111111111111,0.0
stackoverflow,msp,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03243751936161322,0.09282910815881464,-0.08866174012814955,0.021644902955293595,0.3333333333333333,0.0
stackoverflow,msp,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.025627146582869836,0.021910588539728503,0.012384411789735365,0.03809415521483298,0.7777777777777778,0.0
stackoverflow,msp,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0006676777625325333,0.10512516452075717,-0.0660767249276752,0.06334177126326192,0.3333333333333333,0.0
stackoverflow,multisphere_k2,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.04878473821927081,0.07144953297879165,-0.0993988856512489,-0.016211883554506493,0.0,0.2222222222222222
stackoverflow,multisphere_k2,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.01196445027758238,0.01527088164498514,0.0031650455583267377,0.021801180563042328,0.6666666666666666,0.2222222222222222
stackoverflow,multisphere_k2,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.06513994409233503,0.11809695584403734,0.0014252159395606034,0.14641497309472207,0.1111111111111111,0.2222222222222222
