phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
fixed,stackoverflow,mahalanobis_diag,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.1369820193789223,0.08228836280616443,-0.19100448896027755,-0.0951045276692366,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.06450098006897949,0.010954855705828211,0.05800061037145401,0.07124215653595646,1.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.16305805598990541,0.08971318900721582,0.11411127703346818,0.22088284673107164,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.12290976459031912,0.08609592379689086,-0.18150636272948045,-0.07882914096746323,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.05498429604420031,0.010966910047536107,0.04865411217942579,0.06232081474348596,1.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.14900749537299435,0.09440729495169668,0.09379768326084567,0.21093215943661575,0.0,0.0
tuned,clinc150,euclidean,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0017008883744163983,0.006318876579494114,-0.002253424603277444,0.00526015427467381,0.5555555555555556,0.0
tuned,clinc150,euclidean,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0013762183235867223,0.025436881431409226,-0.01285317518332873,0.018363271024784144,0.3333333333333333,0.0
tuned,clinc150,euclidean,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.04756903833658219,0.01992821507799688,-0.060672055137844606,-0.03659948772393947,1.0,0.0
tuned,clinc150,euclidean,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.005293872033166175,0.010776836177731546,-0.01267295730474387,0.00020544191667392017,0.3333333333333333,0.0
tuned,clinc150,euclidean,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0007891720040842869,0.04139488115658102,-0.02398720006033601,0.025569381207648713,0.5555555555555556,0.0
