dataset,kir,data_seed,distance,method,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,threshold,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
banking77_oos,50,42,mahalanobis_diag,lof,medium,0.31565642435359287,0.594621920726825,1000,1479,1.1370340744094865,0.8986371379897785,0.7133198106828939,0.7953260459856766,0.881,0.7133198106828939,0.9125131845841785,0.9145436841589504,0.242
banking77_oos,50,42,mahalanobis_diag,lof,far,0.31565642435359287,0.594621920726825,1000,1154,1.1370340744094865,0.9065200314218381,1.0,0.9509682735887928,0.881,1.0,0.9942556325823224,0.9945129338020688,0.029
stackoverflow,50,42,mahalanobis_diag,k1,near,0.7731206060452469,0.8962383258859457,2993,615,1.0,0.3588456712672522,0.46504065040650405,0.40509915014164305,0.8292682926829268,0.46504065040650405,0.8167322668883221,0.37854501494547815,0.39358503174072834
stackoverflow,50,42,mahalanobis_diag,k1,medium,0.7731206060452469,0.8962383258859457,2993,1727,1.0,0.759981211836543,0.9368847712796757,0.8392116182572614,0.8292682926829268,0.9368847712796757,0.9271179171009134,0.8349848134218472,0.17340461075843636
stackoverflow,50,42,mahalanobis_diag,k1,far,0.7731206060452469,0.8962383258859457,2993,655,1.0,0.5617495711835334,1.0,0.7193849533223503,0.8292682926829268,1.0,0.9678180385275567,0.8265070084599986,0.09856331440026729
stackoverflow,50,42,mahalanobis_diag,k2,near,0.7731206060452469,0.8962383258859457,2993,615,1.0,0.38144329896907214,0.4211382113821138,0.40030911901081917,0.8596725693284331,0.4211382113821138,0.8091747953897849,0.3577900785346554,0.4530571333110591
stackoverflow,50,42,mahalanobis_diag,k2,medium,0.7731206060452469,0.8962383258859457,2993,1727,1.0,0.7639123102866779,0.7869137232194557,0.7752424415288077,0.8596725693284331,0.7869137232194557,0.9142747863137902,0.7990714276386783,0.21516872702973605
stackoverflow,50,42,mahalanobis_diag,k2,far,0.7731206060452469,0.8962383258859457,2993,655,1.0,0.6007604562737643,0.9648854961832061,0.7404803749267721,0.8596725693284331,0.9648854961832061,0.9590887643687689,0.7760251781229208,0.12796525225526229
stackoverflow,50,42,mahalanobis_diag,selected_k,near,0.7731206060452469,0.8962383258859457,2993,615,1.0,0.3588456712672522,0.46504065040650405,0.40509915014164305,0.8292682926829268,0.46504065040650405,0.8167322668883221,0.37854501494547815,0.39358503174072834
stackoverflow,50,42,mahalanobis_diag,selected_k,medium,0.7731206060452469,0.8962383258859457,2993,1727,1.0,0.759981211836543,0.9368847712796757,0.8392116182572614,0.8292682926829268,0.9368847712796757,0.9271179171009134,0.8349848134218472,0.17340461075843636
stackoverflow,50,42,mahalanobis_diag,selected_k,far,0.7731206060452469,0.8962383258859457,2993,655,1.0,0.5617495711835334,1.0,0.7193849533223503,0.8292682926829268,1.0,0.9678180385275567,0.8265070084599986,0.09856331440026729
stackoverflow,50,42,mahalanobis_diag,msp,near,0.7731206060452469,0.8962383258859457,2993,615,0.29613400637782106,0.4621733149931224,0.5463414634146342,0.5007451564828614,0.8693618443033745,0.5463414634146342,0.8482888256881231,0.43337268388374645,0.4026060808553291
stackoverflow,50,42,mahalanobis_diag,msp,medium,0.7731206060452469,0.8962383258859457,2993,1727,0.29613400637782106,0.7679525222551928,0.7492762015055009,0.7584994138335287,0.8693618443033745,0.7492762015055009,0.9119286441573478,0.8075470509219244,0.25058469762779817
stackoverflow,50,42,mahalanobis_diag,msp,far,0.7731206060452469,0.8962383258859457,2993,655,0.29613400637782106,0.5745375408052231,0.8061068702290076,0.6709021601016518,0.8693618443033745,0.8061068702290076,0.9247807224490733,0.6575641840664815,0.2101570330771801
stackoverflow,50,42,mahalanobis_diag,energy,near,0.7731206060452469,0.8962383258859457,2993,615,-5.108638616266577,0.4844649021864212,0.6845528455284553,0.5673854447439353,0.8503174072836619,0.6845528455284553,0.8615452315565587,0.4391287362082783,0.3347811560307384
stackoverflow,50,42,mahalanobis_diag,energy,medium,0.7731206060452469,0.8962383258859457,2993,1727,-5.108638616266577,0.7770034843205574,0.9038795599305154,0.8356531049250535,0.8503174072836619,0.9038795599305154,0.9315904259136982,0.8252636001093867,0.19211493484797862
stackoverflow,50,42,mahalanobis_diag,energy,far,0.7731206060452469,0.8962383258859457,2993,655,-5.108638616266577,0.5813084112149532,0.9496183206106871,0.721159420289855,0.8503174072836619,0.9496183206106871,0.9488149192900482,0.7109543299432243,0.1500167056465085
stackoverflow,50,42,mahalanobis_diag,entropy,near,0.7731206060452469,0.8962383258859457,2993,615,0.34604799091294625,0.5046113306982872,0.6227642276422765,0.5574963609898108,0.8743735382559304,0.6227642276422765,0.858902751406398,0.44574421434011885,0.3939191446708988
stackoverflow,50,42,mahalanobis_diag,entropy,medium,0.7731206060452469,0.8962383258859457,2993,1727,0.34604799091294625,0.7932930181418362,0.8355529820497973,0.8138747884940778,0.8743735382559304,0.8355529820497973,0.9264508520266649,0.8276939469158419,0.23154026060808552
stackoverflow,50,42,mahalanobis_diag,entropy,far,0.7731206060452469,0.8962383258859457,2993,655,0.34604799091294625,0.6091476091476091,0.8946564885496183,0.7247990105132962,0.8743735382559304,0.8946564885496183,0.9410946151707675,0.6997403251131449,0.1827597728032075
stackoverflow,50,42,mahalanobis_diag,knn,near,0.7731206060452469,0.8962383258859457,2993,615,1.1001732366053072,0.39662447257383965,0.4585365853658537,0.4253393665158371,0.8566655529568994,0.4585365853658537,0.8166670741214597,0.3729277941276708,0.443701971266288
stackoverflow,50,42,mahalanobis_diag,knn,medium,0.7731206060452469,0.8962383258859457,2993,1727,1.1001732366053072,0.7788659793814433,0.87492762015055,0.8241068993727843,0.8566655529568994,0.87492762015055,0.9393504744036026,0.871384484057877,0.2111593718676913
stackoverflow,50,42,mahalanobis_diag,knn,far,0.7731206060452469,0.8962383258859457,2993,655,1.1001732366053072,0.6009302325581395,0.9862595419847329,0.7468208092485549,0.8566655529568994,0.9862595419847329,0.9781306509080986,0.8964047347350168,0.09522218509856331
stackoverflow,50,42,mahalanobis_diag,lof,near,0.7731206060452469,0.8962383258859457,2993,615,1.077014920558116,0.36988304093567254,0.4113821138211382,0.38953040800615857,0.8559973270965586,0.4113821138211382,0.740379584885057,0.4092428526294499,0.7113264283327765
stackoverflow,50,42,mahalanobis_diag,lof,medium,0.7731206060452469,0.8962383258859457,2993,1727,1.077014920558116,0.7365525672371638,0.6977417486971627,0.7166220636336604,0.8559973270965586,0.6977417486971627,0.8784190712511784,0.7757972525518991,0.3925826929502172
stackoverflow,50,42,mahalanobis_diag,lof,far,0.7731206060452469,0.8962383258859457,2993,655,1.077014920558116,0.5453586497890295,0.7893129770992366,0.64504054897068,0.8559973270965586,0.7893129770992366,0.9087943114085537,0.6078697624990327,0.2783160708319412
