phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,banking77_oos,50,42,euclidean,1,heldout_unknown,medium,0.3156564243535928,0.594621920726825,1000,650,0.7941747572815534,0.6292307692307693,0.7021459227467811,0.894,0.6292307692307693,0.9046953846153846,0.7770839589070392,0.22
tuned,banking77_oos,50,42,euclidean,1,heldout_unknown,far,0.3156564243535928,0.594621920726825,1000,62,0.369047619047619,1.0,0.5391304347826087,0.894,1.0,0.984532258064516,0.7375268845547809,0.039
tuned,banking77_oos,50,42,euclidean,1,provided_oos,near,0.3156564243535928,0.594621920726825,1000,159,0.1092436974789916,0.0817610062893081,0.0935251798561151,0.894,0.0817610062893081,0.577754716981132,0.1550427698159707,0.833
tuned,banking77_oos,50,42,euclidean,1,provided_oos,medium,0.3156564243535928,0.594621920726825,1000,829,0.853185595567867,0.7430639324487334,0.7943262411347518,0.894,0.7430639324487334,0.9245536791314836,0.8561617042744266,0.195
tuned,banking77_oos,50,42,euclidean,1,provided_oos,far,0.3156564243535928,0.594621920726825,1000,1092,0.9115191986644408,1.0,0.9537117903930132,0.894,1.0,0.9951575091575092,0.9948696129670492,0.025
tuned,banking77_oos,50,42,mahalanobis_diag,5,combined,near,0.3156564243535928,0.594621920726825,1000,447,0.5057471264367817,0.2953020134228188,0.3728813559322034,0.871,0.2953020134228188,0.7353870246085012,0.4706404877229254,0.671
tuned,banking77_oos,50,42,mahalanobis_diag,5,combined,medium,0.3156564243535928,0.594621920726825,1000,1479,0.8951219512195122,0.744421906693712,0.8128460686600222,0.871,0.744421906693712,0.8929959432048682,0.9014271004534132,0.401
tuned,banking77_oos,50,42,mahalanobis_diag,5,combined,far,0.3156564243535928,0.594621920726825,1000,1154,0.8982649842271293,0.987001733102253,0.9405450041288193,0.871,0.987001733102253,0.989835355285962,0.9903059432681371,0.033
tuned,banking77_oos,50,42,mahalanobis_diag,5,heldout_unknown,near,0.3156564243535928,0.594621920726825,1000,288,0.4082568807339449,0.3090277777777778,0.3517786561264822,0.871,0.3090277777777778,0.7588020833333333,0.3867483521722598,0.608
tuned,banking77_oos,50,42,mahalanobis_diag,5,heldout_unknown,medium,0.3156564243535928,0.594621920726825,1000,650,0.7971698113207547,0.78,0.7884914463452566,0.871,0.78,0.9039430769230772,0.8121235749906512,0.323
