phase,dataset,kir,distance,k_gate,seed_count,intent_rows,fragmented_intent_rate,effective_k_mean,effective_k_std,wcss_per_sample_mean,wcss_per_sample_std,minimum_cluster_ratio_mean,minimum_cluster_ratio_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
fixed,banking77_oos,50,euclidean,1,3,75,0.0,1.0,0.0,0.4552952462344054,0.060868323553766,1.0,0.0,,,,,,
fixed,banking77_oos,50,euclidean,2,3,75,0.08,2.0,0.0,0.3830545378408717,0.05102357622981833,0.29577216224456837,0.10925103587039049,0.2084386604328915,0.0710118368057956,2.0468737141849416,0.44311539381880544,21.868213352665908,4.801936023863808
fixed,banking77_oos,50,euclidean,3,3,75,0.30666666666666664,3.0,0.0,0.3346523946869007,0.04614088818970489,0.1474446802890728,0.07127508327450549,0.175949492100498,0.05075512375647156,1.9627278002748005,0.34215212448917615,20.718359122461713,4.851312352025689
fixed,banking77_oos,50,euclidean,4,3,75,0.68,4.0,0.0,0.30316147076974026,0.04385456346591828,0.08980301377613353,0.036897815348432644,0.17169408332457786,0.047558301915611494,1.9060251596620261,0.26893290673250025,19.11964527031418,4.252838227438012
fixed,banking77_oos,50,euclidean,5,3,75,0.7866666666666666,5.0,0.0,0.2811765398614115,0.04228497402048603,0.07393860085517971,0.023485483879097328,0.1700361622727825,0.04012433146366014,1.8763051185859965,0.2448982198213867,17.59414872265437,3.8358076569914012
fixed,banking77_oos,50,mahalanobis_diag,1,3,75,0.0,1.0,0.0,0.4552952462344054,0.060868323553766,1.0,0.0,,,,,,
fixed,banking77_oos,50,mahalanobis_diag,2,3,75,0.08,2.0,0.0,0.3830545378408717,0.05102357622981833,0.29577216224456837,0.10925103587039049,0.2084386604328915,0.0710118368057956,2.0468737141849416,0.44311539381880544,21.868213352665908,4.801936023863808
fixed,banking77_oos,50,mahalanobis_diag,3,3,75,0.30666666666666664,3.0,0.0,0.3346523946869007,0.04614088818970489,0.1474446802890728,0.07127508327450549,0.175949492100498,0.05075512375647156,1.9627278002748005,0.34215212448917615,20.718359122461713,4.851312352025689
fixed,banking77_oos,50,mahalanobis_diag,4,3,75,0.68,4.0,0.0,0.30316147076974026,0.04385456346591828,0.08980301377613353,0.036897815348432644,0.17169408332457786,0.047558301915611494,1.9060251596620261,0.26893290673250025,19.11964527031418,4.252838227438012
fixed,banking77_oos,50,mahalanobis_diag,5,3,75,0.7866666666666666,5.0,0.0,0.2811765398614115,0.04228497402048603,0.07393860085517971,0.023485483879097328,0.1700361622727825,0.04012433146366014,1.8763051185859965,0.2448982198213867,17.59414872265437,3.8358076569914012
fixed,banking77_oos,75,euclidean,1,3,114,0.0,1.0,0.0,0.45885921357193443,0.060273865942983146,1.0,0.0,,,,,,
fixed,banking77_oos,75,euclidean,2,3,114,0.07017543859649122,2.0,0.0,0.38485868479532226,0.050459583150793644,0.3067688867274605,0.11277983163314681,0.20400309368294103,0.07099705623044723,2.0371656209657463,0.46097251408635714,22.15114993486838,5.227475076303961
fixed,banking77_oos,75,euclidean,3,3,114,0.3333333333333333,3.0,0.0,0.3357298592455281,0.04625643110407845,0.147254073752198,0.07217567895105248,0.17883882488609126,0.04783857027190741,1.9393276046911416,0.3239650396322109,21.00838966148572,4.91759551190517
fixed,banking77_oos,75,euclidean,4,3,114,0.6666666666666666,4.0,0.0,0.30367151532211917,0.043334378369959965,0.09233512502805297,0.03998227106038924,0.176539572990382,0.04649482160952993,1.884558926290335,0.2612582160164491,19.38841514572691,4.24903090418765
fixed,banking77_oos,75,euclidean,5,3,114,0.7631578947368421,5.0,0.0,0.28137519197410205,0.04136426415506514,0.07655534011995549,0.02529061103025587,0.17497859389716836,0.038443519119225125,1.861606860703869,0.23483748345431105,17.82593046971483,3.7667038703151112
