phase,dataset,kir,distance,k_gate,seed_count,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std
fixed,banking77_oos,50,mahalanobis_diag,3,3,0.8772131507773971,0.0048453666707909205,0.8056666666666666,0.016802777548171367,0.8992866883116882,0.0036772268464588076,0.9642652277094536,0.002228362800794574,0.4623333333333333,0.04104063027456247
fixed,banking77_oos,50,mahalanobis_diag,4,3,0.8925431116537538,0.005716182159485961,0.774,0.024269322199023214,0.9005798701298701,0.004287835968818888,0.9649650277104503,0.0020205704739321363,0.48833333333333334,0.040203648258999254
fixed,banking77_oos,50,mahalanobis_diag,5,3,0.8978443613706544,0.006364940608015325,0.7486666666666667,0.01975685535031661,0.9046638528138528,0.005981216437219961,0.9667156026931099,0.0019129347796586211,0.47300000000000003,0.05156549233741497
fixed,banking77_oos,75,euclidean,1,3,0.8003324083054046,0.022550087931227654,0.9094298245614034,0.012864043312335498,0.9054832271107456,0.012053614509169709,0.9429472043512862,0.00844303522588089,0.4375,0.028969787968821038
fixed,banking77_oos,75,euclidean,2,3,0.8030879507285748,0.009869595857355968,0.856578947368421,0.01147078669352806,0.8835810718201754,0.005263529415151905,0.9257556821598328,0.002828245855553485,0.5059210526315789,0.01880474464204795
fixed,banking77_oos,75,euclidean,3,3,0.8022031414951251,0.009973623798591682,0.831359649122807,0.013695171049119284,0.864820620888158,0.014077443041557426,0.9149723614594186,0.00629972999066162,0.6054824561403509,0.08919347893839484
fixed,banking77_oos,75,euclidean,4,3,0.8102369116669985,0.009157596297460945,0.8105263157894737,0.0063445070796006335,0.8656990131578947,0.012055185218432607,0.9215191350508353,0.007043379890436754,0.6375000000000001,0.05824876801331726
fixed,banking77_oos,75,euclidean,5,3,0.8125327884352321,0.008041737541904459,0.7975877192982456,0.005969586661761486,0.8629064727247807,0.01189668626865203,0.9209433118505898,0.0067825878718630675,0.6561403508771929,0.05494241718298816
fixed,banking77_oos,75,mahalanobis_diag,1,3,0.8355006510944841,0.0216376764371247,0.8989035087719298,0.012523062750236182,0.9153300609923245,0.010713890113562614,0.9503767942246064,0.0065226754976175074,0.39999999999999997,0.040916610014384756
fixed,banking77_oos,75,mahalanobis_diag,2,3,0.8336849827985767,0.002762434246081959,0.8701754385964913,0.015007115886776853,0.9076432291666667,0.005441671245342556,0.9446968951187434,0.003625944173441592,0.4072368421052632,0.02670760938182163
fixed,banking77_oos,75,mahalanobis_diag,3,3,0.8410575354724035,0.012550180676658102,0.8146929824561404,0.013584105847323306,0.8909302186129385,0.010416396551601375,0.9368398549688376,0.005183222759040366,0.5285087719298246,0.06816225516093338
fixed,banking77_oos,75,mahalanobis_diag,4,3,0.8530368454780413,0.010370840632130849,0.7743421052631579,0.00758721223333609,0.8923748458059211,0.01040731565138785,0.9383591430309363,0.0054949312792880395,0.5366228070175438,0.042790139935686165
fixed,banking77_oos,75,mahalanobis_diag,5,3,0.853239175720191,0.007560498530650994,0.7475877192982456,0.00638982556330418,0.894656832510965,0.009567959765420755,0.9403770953860441,0.004860588227506561,0.537280701754386,0.04638196777241527
fixed,clinc150,25,euclidean,1,3,0.9380023746147299,0.0026166935702324097,0.7769005847953215,0.02188299092639495,0.9404360480712484,0.0021554737717785905,0.9801997482118664,0.0009723247333862628,0.26842105263157895,0.019751456577539836
fixed,clinc150,25,euclidean,2,3,0.9459447804788962,0.0017432805555462536,0.7505847953216375,0.011909597575682085,0.9345729384623639,0.0031898448102909297,0.9758852292485,0.0005458793425143555,0.2304093567251462,0.011448404649387066
fixed,clinc150,25,euclidean,3,3,0.9465736259989077,0.0016481480952159264,0.7368421052631579,0.020628028098780435,0.9253465851172273,0.0068926491406182695,0.9691740794622126,0.0036083710108469834,0.23801169590643276,0.007959448882348664
fixed,clinc150,25,euclidean,4,3,0.9439010212370823,0.0017970408324759148,0.6874269005847954,0.02143895061967646,0.9224128842749075,0.005068280309525071,0.9696416123175711,0.0032765273982529367,0.25555555555555554,0.014180532927464504
fixed,clinc150,25,euclidean,5,3,0.9425556875953,0.001669139950052297,0.6555555555555556,0.014261694033049357,0.9124910805300713,0.011170244091410729,0.9642167759472918,0.0064025680432486815,0.2628654970760234,0.011909597575682059
fixed,clinc150,25,mahalanobis_diag,1,3,0.9429344084653136,0.0035280052650678755,0.736842105263158,0.020515816778116668,0.9328020548312678,0.011976686274987292,0.9728888143068762,0.00808484321255456,0.24941520467836256,0.02421963554371792
fixed,clinc150,25,mahalanobis_diag,2,3,0.9483452008433373,0.0013655603454600191,0.7137426900584796,0.012782159645844714,0.9322674902087021,0.015388037194893832,0.974498171966404,0.008706318903222486,0.21812865497076026,0.01733057486869876
fixed,clinc150,25,mahalanobis_diag,3,3,0.9460847338542401,0.0008144188054653646,0.6722222222222222,0.027882228980681576,0.9231035731530661,0.019510041184207513,0.9686723813338465,0.012284844243631386,0.23128654970760235,0.01420763814415946
fixed,clinc150,25,mahalanobis_diag,4,3,0.9404775118555287,0.000816518423804079,0.6008771929824562,0.023684210526315808,0.9201135388164601,0.01836206026208828,0.9680119097226659,0.011339078182917907,0.25994152046783625,0.022300953176220283
fixed,clinc150,25,mahalanobis_diag,5,3,0.9379656264902355,0.0007537142362739153,0.5596491228070176,0.015369662691171246,0.9091590884704114,0.027516141354959025,0.9631969170164695,0.015179993488968275,0.26403508771929823,0.019751456577539822
fixed,clinc150,50,euclidean,1,3,0.8769778728577329,0.01326617336049074,0.7728888888888888,0.010046804049295411,0.9137816980056979,0.011402845942986569,0.9240817567965222,0.010706888833036115,0.3365925925925926,0.04556440745074435
fixed,clinc150,50,euclidean,2,3,0.8841536043561952,0.0127361005731982,0.7451851851851852,0.013715510429344137,0.9136690142450142,0.01179602029623668,0.9204202617314964,0.009990563868786941,0.3028148148148148,0.06104494734789948
fixed,clinc150,50,euclidean,3,3,0.8817818313496207,0.006914451019765239,0.7256296296296295,0.01136886224767391,0.9074691737891739,0.007393606930271231,0.9115944664374643,0.00923375337626794,0.3114074074074074,0.038135129026182935
fixed,clinc150,50,euclidean,4,3,0.8744909146359361,0.005760275860926585,0.6794074074074073,0.010273622783754523,0.8989587236467237,0.009050327427206952,0.9053563627598463,0.010371412541504943,0.3201481481481481,0.036058480164443234
fixed,clinc150,50,euclidean,5,3,0.8707961063952561,0.003676596632934112,0.6512592592592593,0.010835090075986126,0.8944532421652421,0.0069020170958233465,0.8977269628475625,0.009070906875642113,0.3194074074074074,0.013343206221271353
fixed,clinc150,50,mahalanobis_diag,1,3,0.8802432322955465,0.010028835864058797,0.7367407407407408,0.008991994610662786,0.9044940398860399,0.005878204229755334,0.9046398779868293,0.001735698858540479,0.31985185185185183,0.0447419671158877
fixed,clinc150,50,mahalanobis_diag,2,3,0.880683748388044,0.010594104572417152,0.7000000000000001,0.01327394179828277,0.9043441595441596,0.009988021036681288,0.9082832717749706,0.005618776512045436,0.29777777777777775,0.061700991448104064
fixed,clinc150,50,mahalanobis_diag,3,3,0.873329343913469,0.006087629012013925,0.6537777777777779,0.014531362421574948,0.8912243418803419,0.007256467014606908,0.8948906013791337,0.008244375440536198,0.31392592592592594,0.026467154891786963
fixed,clinc150,50,mahalanobis_diag,4,3,0.861200481600246,0.006115570288338825,0.5964444444444444,0.017321933573248963,0.8726117378917378,0.012398656035855576,0.8734037331264869,0.015163886741677022,0.33155555555555555,0.029658134436805123
fixed,clinc150,50,mahalanobis_diag,5,3,0.853887843339221,0.00455047640780408,0.554962962962963,0.011299149609284907,0.8673845242165242,0.005839828054726354,0.8631548046065888,0.005814887517988639,0.34474074074074074,0.01896238425042867
