dataset,kir,intent,observed_seeds,known_count_mean,known_recovery_rate_mean,known_recovery_rate_std,known_recovery_count_mean,extra_oos_accept_count_mean,extra_oos_accept_rate_mean,mean_ball_count,mean_radius,min_ball_support_mean,missing_selected_ball_ratio,positive_seed_ratio
banking77,0.75,automatic_top_up,5,40.0,0.5449999999999999,0.0908295106229247,21.8,0.0,0.0,2.8,0.4556217448431915,12.6,0.0,1.0
banking77,0.75,balance_not_updated_after_bank_transfer,4,40.0,0.84375,0.07465197027987044,33.75,17.5,0.0230263157894736,2.5,0.41250772426682564,12.5,0.0,1.0
banking77,0.75,balance_not_updated_after_cheque_or_cash_deposit,4,40.0,0.6375,0.014433756729740684,25.5,0.0,0.0,2.75,0.4915620117370846,18.0,0.0,1.0
banking77,0.75,beneficiary_not_allowed,3,40.0,0.45,0.15206906325745556,18.0,8.0,0.010526315789473667,2.3333333333333335,0.48870679833551023,29.333333333333332,0.0,1.0
banking77,0.75,cancel_transfer,3,40.0,0.3416666666666666,0.14215601757693316,13.666666666666666,1.0,0.0013157894736841999,3.0,0.47867121050011185,12.333333333333334,0.0,1.0
banking77,0.75,card_about_to_expire,4,40.0,0.49375,0.042695628191498365,19.75,0.0,0.0,1.75,0.45995725377781316,32.25,0.0,1.0
banking77,0.75,card_acceptance,2,40.0,0.725,0.03535533905932741,29.0,1.5,0.0019736842105263,0.5,0.5050998421738991,5.5,0.5,1.0
banking77,0.75,card_arrival,5,40.0,0.755,0.06471089552772394,30.2,0.8,0.0010526315789473602,3.6,0.442367171391039,11.0,0.0,1.0
banking77,0.75,card_delivery_estimate,5,40.0,0.625,0.0770551750371122,25.0,0.2,0.00026315789473684004,2.0,0.5004362573013037,18.4,0.0,1.0
banking77,0.75,card_linking,3,40.0,0.39999999999999997,0.06614378277661481,16.0,0.0,0.0,3.0,0.4360526727859566,16.333333333333332,0.0,1.0
banking77,0.75,card_not_working,3,40.0,0.5666666666666665,0.05204164998665331,22.666666666666668,8.333333333333334,0.010964912280701733,2.0,0.40887797582590296,21.333333333333332,0.0,1.0
banking77,0.75,card_payment_fee_charged,3,40.0,0.5416666666666666,0.038188130791298645,21.666666666666668,2.3333333333333335,0.0030701754385964665,3.0,0.430330010528388,39.666666666666664,0.0,1.0
banking77,0.75,card_payment_not_recognised,4,40.0,0.6625,0.05951190357119039,26.5,4.25,0.005592105263157875,2.25,0.40250399643514806,14.25,0.0,1.0
banking77,0.75,card_payment_wrong_exchange_rate,5,40.0,0.7100000000000001,0.09453835200594521,28.4,0.0,0.0,2.4,0.43650438574169825,22.6,0.0,1.0
banking77,0.75,card_swallowed,3,40.0,0.4749999999999999,0.125,19.0,0.0,0.0,1.3333333333333333,0.44159430094420493,23.333333333333332,0.0,1.0
banking77,0.75,cash_withdrawal_charge,3,40.0,0.5666666666666667,0.038188130791298715,22.666666666666668,0.0,0.0,3.3333333333333335,0.4452785641889027,12.333333333333334,0.0,1.0
banking77,0.75,cash_withdrawal_not_recognised,2,40.0,0.7375,0.05303300858899115,29.5,11.0,0.01447368421052625,1.5,0.5035946100507078,30.5,0.0,1.0
banking77,0.75,change_pin,3,40.0,0.4583333333333333,0.014433756729740612,18.333333333333332,0.0,0.0,2.0,0.4501234143721827,18.0,0.0,1.0
banking77,0.75,compromised_card,3,40.0,0.47500000000000003,0.06614378277661476,19.0,3.6666666666666665,0.004824561403508734,1.3333333333333333,0.46693277562040114,18.333333333333332,0.0,1.0
banking77,0.75,contactless_not_working,4,40.0,0.6000000000000001,0.21698694277152566,24.0,0.0,0.0,0.5,0.5689307870189135,11.0,0.5,1.0
banking77,0.75,country_support,3,40.0,0.31666666666666665,0.07216878364870322,12.666666666666666,2.6666666666666665,0.003508771929824533,2.6666666666666665,0.5146999411693228,14.666666666666666,0.0,1.0
banking77,0.75,declined_card_payment,4,40.0,0.6875,0.04330127018922196,27.5,5.0,0.006578947368421025,2.5,0.3579818215039592,11.75,0.0,1.0
banking77,0.75,declined_cash_withdrawal,5,40.0,0.705,0.041079191812887474,28.2,6.0,0.00789473684210522,4.0,0.4407095467715104,10.4,0.0,1.0
