dataset,seed,radius_lambda,delta_oos_f1_k2_minus_k1,delta_oos_precision_k2_minus_k1,delta_oos_recall_k2_minus_k1,delta_f1_all_k2_minus_k1,delta_f1_k_k2_minus_k1,delta_f1_u_k2_minus_k1,delta_accuracy_k2_minus_k1,delta_known_macro_f1_k2_minus_k1,delta_known_recall_k2_minus_k1,delta_false_accept_rate_k2_minus_k1,delta_false_reject_rate_k2_minus_k1,delta_auroc_k2_minus_k1,delta_aupr_oos_k2_minus_k1
clinc150,42,0.5,-0.006954969733044658,-0.020447521690268422,0.014782608695652066,-0.04946959438746823,-0.05003645604952722,-0.006954969733044658,-0.015614035087719302,-0.05827566344988,-0.058222222222222175,-0.014782608695652198,0.05822222222222223,0.008546215780998567,0.006217553428636835
clinc150,42,0.75,-0.005182444771067218,-0.022072197198517052,0.019130434782608563,-0.03709940062450301,-0.03752496003588213,-0.005182444771067218,-0.012280701754385892,-0.0484950572715972,-0.057777777777777706,-0.0191304347826087,0.05777777777777782,0.007946537842190016,0.005731453419686838
clinc150,42,1.0,0.0042655332596504,-0.015622506048077911,0.029855072463768284,-0.02112161502443788,-0.02146011033489237,0.0042655332596504,-0.0015789473684210131,-0.03831179675758023,-0.0417777777777778,-0.029855072463768104,0.0417777777777778,0.007399420289854852,0.005200510608498354
clinc150,42,1.25,0.010753054185896449,-0.012893243940175436,0.03797101449275364,-0.008974573578368283,-0.009237608615225157,0.010753054185896449,0.00666666666666671,-0.03002670812693775,-0.033777777777777795,-0.037971014492753696,0.03377777777777771,0.006884895330112606,0.004811005578814975
clinc150,42,1.5,0.013462259846490632,-0.014018319134479706,0.0417391304347825,-0.005771789605917732,-0.006028243598616645,0.013462259846490632,0.009824561403508847,-0.026635217487968932,-0.032888888888888856,-0.0417391304347826,0.03288888888888891,0.006385056360708408,0.00439449215722354
clinc150,42,2.0,0.016087304338160968,-0.01195250335273923,0.038840579710144874,-0.004505982530805253,-0.004780559689058217,0.016087304338160968,0.011754385964912295,-0.019579616758478413,-0.02311111111111097,-0.038840579710144874,0.023111111111111096,0.005554911433172327,0.0037935198267380343
clinc150,87,0.0,-0.0157817569137223,-0.023433169949593546,-0.0005797101449274145,-0.06230644230021731,-0.06292677143870395,-0.0157817569137223,-0.02561403508771931,-0.06462444137716683,-0.06711111111111112,0.0005797101449276001,0.06711111111111112,-0.00981127214170685,-0.005250503510172755
clinc150,87,0.25,-0.011785770547337537,-0.02041788179592885,0.0031884057971014457,-0.047689915032796626,-0.04816863695926954,-0.011785770547337537,-0.019298245614035148,-0.050912979951523774,-0.055111111111111166,-0.003188405797101501,0.055111111111111166,-0.008323864734299469,-0.00477782819228445
clinc150,87,0.5,-0.01034084465321583,-0.02203885080641943,0.007826086956521539,-0.03867237438990001,-0.03905012811972253,-0.01034084465321583,-0.015789473684210464,-0.043224509547436396,-0.05644444444444441,-0.007826086956521802,0.05644444444444441,-0.007080450885668443,-0.004587621000835429
clinc150,87,0.75,-0.009516538276259423,-0.02392731897194711,0.01043478260869557,-0.025677779496706465,-0.025893262712979093,-0.009516538276259423,-0.011929824561403457,-0.031010011488666334,-0.05599999999999994,-0.010434782608695597,0.055999999999999994,-0.005942286634460392,-0.0043849871461330014
