dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
clinc150,0.25,123,euclidean_mean,0.9244281045751634,0.5308783798214524,0.3807017543859649,0.0074561403508771,66.0,0.9200487012987012,0.4770628393255602,0.3315789473684211,0.0057017543859649,66.0,0.004379403276462246,0.053815540495892156,0.04912280701754379,0.0017543859649122003
clinc150,0.25,123,euclidean_mean_std,0.94286941580756,0.7442328990214017,0.6824561403508772,0.0372807017543859,66.0,0.9200487012987012,0.4770628393255602,0.3315789473684211,0.0057017543859649,66.0,0.022820714508858808,0.26717005969584146,0.3508771929824561,0.031578947368421
clinc150,0.25,123,mahalanobis_diag_mean,0.9200487012987012,0.4770628393255602,0.3315789473684211,0.0057017543859649,66.0,0.9200487012987012,0.4770628393255602,0.3315789473684211,0.0057017543859649,66.0,0.0,0.0,0.0,0.0
clinc150,0.25,123,mahalanobis_diag_mean_std,0.941851812480068,0.7175239695263377,0.6342105263157894,0.0285087719298245,66.0,0.9200487012987012,0.4770628393255602,0.3315789473684211,0.0057017543859649,66.0,0.021803111181366797,0.24046113020077747,0.30263157894736836,0.022807017543859602
clinc150,0.5,13,euclidean_mean,0.8126636515115448,0.4490273375575833,0.3164444444444444,0.0104347826086956,126.0,0.8075836081017428,0.4104413913614095,0.2831111111111111,0.0060869565217391,126.0,0.00508004340980206,0.03858594619617378,0.033333333333333326,0.004347826086956499
clinc150,0.5,13,euclidean_mean_std,0.8735240094463396,0.7237490183428853,0.6253333333333333,0.0350724637681159,126.0,0.8075836081017428,0.4104413913614095,0.2831111111111111,0.0060869565217391,126.0,0.06594040134459678,0.3133076269814758,0.3422222222222222,0.0289855072463768
clinc150,0.5,13,mahalanobis_diag_mean,0.8075836081017428,0.4104413913614095,0.2831111111111111,0.0060869565217391,126.0,0.8075836081017428,0.4104413913614095,0.2831111111111111,0.0060869565217391,126.0,0.0,0.0,0.0,0.0
clinc150,0.5,13,mahalanobis_diag_mean_std,0.8596266939401688,0.6642467645684205,0.5511111111111111,0.0255072463768115,126.0,0.8075836081017428,0.4104413913614095,0.2831111111111111,0.0060869565217391,126.0,0.052043085838425984,0.25380537320701096,0.268,0.0194202898550724
clinc150,0.5,42,euclidean_mean,0.8099016937107664,0.4275814690032287,0.3004444444444444,0.0089855072463768,129.0,0.8047836792120999,0.3925632625615415,0.268,0.0052173913043478,129.0,0.0051180144986664455,0.03501820644168718,0.03244444444444439,0.0037681159420289998
clinc150,0.5,42,euclidean_mean_std,0.8632124352331606,0.683080259209785,0.5831111111111111,0.0342028985507246,129.0,0.8047836792120999,0.3925632625615415,0.268,0.0052173913043478,129.0,0.05842875602106068,0.2905169966482435,0.3151111111111111,0.0289855072463768
