dataset,seed,gold_type,baseline,s2c_state,baseline_state,count,rate_within_gold_type
stackoverflow,87,OOS,energy,OOS accepted,OOS rejected,8,0.0026666666666666666
stackoverflow,87,Known,knn,Known correct,Known correct,2469,0.823
stackoverflow,87,Known,knn,Known rejected,Known correct,233,0.07766666666666666
stackoverflow,87,Known,knn,Known rejected,Known rejected,182,0.06066666666666667
stackoverflow,87,Known,knn,Known rejected,Known wrong intent,65,0.021666666666666667
stackoverflow,87,Known,knn,Known wrong intent,Known wrong intent,19,0.006333333333333333
stackoverflow,87,Known,knn,Known correct,Known wrong intent,17,0.005666666666666667
stackoverflow,87,Known,knn,Known wrong intent,Known correct,15,0.005
stackoverflow,87,OOS,knn,OOS rejected,OOS rejected,1830,0.61
stackoverflow,87,OOS,knn,OOS rejected,OOS accepted,845,0.2816666666666667
stackoverflow,87,OOS,knn,OOS accepted,OOS accepted,325,0.10833333333333334
stackoverflow,87,Known,lof,Known correct,Known correct,2468,0.8226666666666667
stackoverflow,87,Known,lof,Known rejected,Known correct,231,0.077
stackoverflow,87,Known,lof,Known rejected,Known rejected,168,0.056
stackoverflow,87,Known,lof,Known rejected,Known wrong intent,81,0.027
stackoverflow,87,Known,lof,Known wrong intent,Known wrong intent,19,0.006333333333333333
stackoverflow,87,Known,lof,Known correct,Known wrong intent,16,0.005333333333333333
stackoverflow,87,Known,lof,Known wrong intent,Known correct,15,0.005
stackoverflow,87,Known,lof,Known correct,Known rejected,2,0.0006666666666666666
stackoverflow,87,OOS,lof,OOS rejected,OOS rejected,1706,0.5686666666666667
stackoverflow,87,OOS,lof,OOS rejected,OOS accepted,969,0.323
stackoverflow,87,OOS,lof,OOS accepted,OOS accepted,324,0.108
stackoverflow,87,OOS,lof,OOS accepted,OOS rejected,1,0.0003333333333333333
