dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
stackoverflow,42,trainable_vs_frozen,OOS,both_wrong,157,0.052333333333333336,0.6231138086982803,0.6125328905922397,-0.06637968456531596,0.6641658593615241,2.3640625246512106
stackoverflow,42,trainable_vs_frozen,OOS,trainable_only_correct,422,0.14066666666666666,0.6111993757821734,0.6122329594941023,0.15223113846059969,6.324810944818029,2.879033326676434
stackoverflow,42,trainable_vs_mogb,Known,baseline_only_correct,1,0.0003333333333333333,0.5455045567240224,0.5455045567240224,0.14809024930222903,4.145696508746985,1.0910860640794198
stackoverflow,42,trainable_vs_mogb,Known,both_correct,836,0.2786666666666667,0.5951367733339906,0.5902922495510776,-0.1475815199772108,-1.744753489571647,2.1199993013508225
stackoverflow,42,trainable_vs_mogb,Known,both_wrong,531,0.177,0.5958771492917854,0.5964715314034065,0.12356897463066302,5.958797705037976,3.0906896886507256
stackoverflow,42,trainable_vs_mogb,Known,trainable_only_correct,1632,0.544,0.6684487290449493,0.655536891177614,-0.14399103931978474,-1.0538015015917421,2.4845551277798448
stackoverflow,42,trainable_vs_mogb,OOS,baseline_only_correct,253,0.08433333333333333,0.6604505443496538,0.6551570088140364,-0.056966925365196326,1.526884351344573,2.8832974955729944
stackoverflow,42,trainable_vs_mogb,OOS,both_correct,2721,0.907,0.5716449958914034,0.5693522182872207,0.20080260146688614,7.675613054257407,2.9806733795918277
stackoverflow,42,trainable_vs_mogb,OOS,both_wrong,26,0.008666666666666666,0.5699908069049986,0.5686545696823945,-0.12593233043529717,-1.2761993088808667,1.9991977065753643
stackoverflow,87,trainable_vs_frozen,Known,baseline_only_correct,66,0.022,0.634414048999385,0.6304677434687157,0.09124061405473068,4.6912076165331635,2.6301867612761547
stackoverflow,87,trainable_vs_frozen,Known,both_correct,2351,0.7836666666666666,0.6752798377847467,0.6722004351816595,-0.16402193317009248,-1.713910880133095,2.5076535344370794
stackoverflow,87,trainable_vs_frozen,Known,both_wrong,448,0.14933333333333335,0.6248274373865011,0.622202022857891,0.14898256404744142,6.626470374550278,3.076283944620665
stackoverflow,87,trainable_vs_frozen,Known,trainable_only_correct,135,0.045,0.7477610232570516,0.748723134262142,-0.1399461270026907,0.1708907408286908,3.444649810876293
stackoverflow,87,trainable_vs_frozen,OOS,baseline_only_correct,90,0.03,0.7567116270948798,0.7603435803743057,-0.08915455086483735,0.7904228637047099,2.7783965868069562
stackoverflow,87,trainable_vs_frozen,OOS,both_correct,2141,0.7136666666666667,0.6127086379121014,0.6118739265016769,0.21259438639436318,7.930277705646353,2.8988930037598055
stackoverflow,87,trainable_vs_frozen,OOS,both_wrong,235,0.07833333333333334,0.6507872227744844,0.6570701667514972,-0.05595663472646141,1.0019516969150406,2.460698661226898
stackoverflow,87,trainable_vs_frozen,OOS,trainable_only_correct,534,0.178,0.6034111613550744,0.6013318620976364,0.2148331007613274,7.953044993967735,3.0261959618791887
stackoverflow,87,trainable_vs_mogb,Known,baseline_only_correct,2,0.0006666666666666666,0.5055835249194313,0.5055835249194313,0.15245600053493313,6.585185977204569,3.079992284049535
stackoverflow,87,trainable_vs_mogb,Known,both_correct,833,0.2776666666666667,0.6297238022403098,0.6221140705830805,-0.1668798993674428,-2.005488666651032,2.4586544320160804
stackoverflow,87,trainable_vs_mogb,Known,both_wrong,512,0.17066666666666666,0.626529008072799,0.6249351442254643,0.14152569769491427,6.377164176826767,3.0187647438792675
stackoverflow,87,trainable_vs_mogb,Known,trainable_only_correct,1653,0.551,0.7041565090777152,0.6988768480260741,-0.16061544818824608,-1.4130442648885195,2.6088699588992603
