dataset,seed,source_center_id,source_intent,source_boundary,radial_level,method,direction_count,acceptance_rate,score_median
clinc150,13,16,card_declined,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,16,card_declined,frozen_k2,0.99,mogb,24,0.0,1.4074641377818884
clinc150,13,16,card_declined,frozen_k2,1.01,frozen_k1,24,0.0,3.2097932053247495
clinc150,13,16,card_declined,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,16,card_declined,frozen_k2,1.01,mogb,24,0.0,1.4320929668161346
clinc150,13,16,card_declined,frozen_k2,1.15,frozen_k1,24,0.0,4.0279912444256265
clinc150,13,16,card_declined,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,16,card_declined,frozen_k2,1.15,mogb,24,0.0,1.606049508708021
clinc150,13,16,card_declined,frozen_k2,1.35,frozen_k1,24,0.0,4.687861970093043
clinc150,13,16,card_declined,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,16,card_declined,frozen_k2,1.35,mogb,24,0.0,1.8581370201268248
clinc150,13,17,card_declined,frozen_k2,0.75,frozen_k1,24,0.08333333333333333,2.035751774392848
clinc150,13,17,card_declined,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,17,card_declined,frozen_k2,0.75,mogb,24,0.20833333333333334,1.026434247517336
clinc150,13,17,card_declined,frozen_k2,0.9,frozen_k1,24,0.08333333333333333,2.4371356919244223
clinc150,13,17,card_declined,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,17,card_declined,frozen_k2,0.9,mogb,24,0.0,1.19380469857889
clinc150,13,17,card_declined,frozen_k2,0.99,frozen_k1,24,0.0,2.6783602043410357
clinc150,13,17,card_declined,frozen_k2,0.99,frozen_k2,24,1.0,0.99
