dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.5,min_get_20,reference,f1_all,5,0.006358080224532303,0.004813612164590975,0.011584599429731614,-0.003018035371564898,0.014330129310244999,4,0,1,0.28702073993200816,0.3125,0.5488390222811186
clinc150,0.5,min_get_20,reference,id_recall,5,0.005333333333333324,0.003555555555555534,0.00927494966875966,-0.0017777777777777891,0.012622222222222224,4,0,1,0.2679015472728778,0.3125,0.5750255822193104
clinc150,0.5,min_get_20,reference,false_accept_rate,5,-0.0008115942028985509,-0.00028985507246376795,0.0014258984204346486,-0.0020289855072463774,0.00017391304347826077,1,0,4,0.27205999440868683,0.3125,-0.5691809397272193
clinc150,0.5,min_get_20,reference,false_reject_rate,5,-0.005333333333333324,-0.003555555555555534,0.00927494966875966,-0.012622222222222224,0.0017777777777777891,1,0,4,0.2679015472728778,0.3125,-0.5750255822193104
clinc150,0.5,min_get_20,reference,effective_cluster_count,5,-0.6,3.0,5.412947441089743,-4.8,3.4,3,0,2,0.8164481475340959,0.75,-0.11084534009057494
clinc150,0.5,min_select_5,reference,oos_f1,5,0.0020206861926002073,0.0024072916147219736,0.0007593585595694442,0.001370499166173822,0.0025763420045116004,5,0,0,0.0040027037638829125,0.0625,2.661043544101136
clinc150,0.5,min_select_5,reference,f1_all,5,0.010859882607571337,0.010416012677790965,0.003710957972877185,0.007782084105016474,0.013667310213936912,5,0,0,0.0028189872155468545,0.0625,2.926436431494113
clinc150,0.5,min_select_5,reference,id_recall,5,0.00835555555555556,0.008444444444444477,0.003069563848858999,0.00595555555555558,0.01075555555555554,5,0,0,0.0036833733941948753,0.0625,2.7220660546485913
clinc150,0.5,min_select_5,reference,false_accept_rate,5,-0.00040579710144927547,-0.00028985507246376795,0.00048502030523714563,-0.0008115942028985513,-5.7971014492753586e-05,0,2,3,0.13470193531896732,0.25,-0.8366600265340751
clinc150,0.5,min_select_5,reference,false_reject_rate,5,-0.00835555555555556,-0.008444444444444477,0.003069563848858999,-0.01075555555555554,-0.00595555555555558,0,0,5,0.0036833733941948753,0.0625,-2.7220660546485913
clinc150,0.5,min_select_5,reference,effective_cluster_count,5,100.2,107.0,10.848963084092414,91.0,107.8,5,0,0,3.247396016824533e-05,0.0625,9.23590570115599
clinc150,0.5,min_select_20,reference,oos_f1,5,-0.004289937160031787,-0.004466559259278968,0.0015106310534248914,-0.005339321891828996,-0.0030879410974181233,0,0,5,0.003150979055999747,0.0625,-2.8398311753923458
clinc150,0.5,min_select_20,reference,f1_all,5,-0.027344413573017236,-0.029133567784040193,0.008642588689484039,-0.033942808759937514,-0.020655040702916506,0,0,5,0.002106550824150267,0.0625,-3.163914719936729
clinc150,0.5,min_select_20,reference,id_recall,5,-0.021155555555555573,-0.020444444444444487,0.005850820349782774,-0.025600000000000022,-0.01671111111111112,0,0,5,0.0012715668767963328,0.0625,-3.6158272329009424
clinc150,0.5,min_select_20,reference,false_accept_rate,5,-0.0005797101449275362,-0.00028985507246376795,0.0008450654920065654,-0.0013333333333333335,-5.7971014492753586e-05,0,2,3,0.1998291855377201,0.25,-0.6859943405700353
clinc150,0.5,min_select_20,reference,false_reject_rate,5,0.021155555555555573,0.020444444444444487,0.005850820349782774,0.01671111111111112,0.025600000000000022,5,0,0,0.0012715668767963328,0.0625,3.6158272329009424
clinc150,0.5,min_select_20,reference,effective_cluster_count,5,-47.6,-48.0,6.024948132556827,-52.0,-42.6,0,0,5,6.03081501518115e-05,0.0625,-7.900482950680578
clinc150,0.5,default_mean_std,reference,oos_f1,5,0.054488419055162975,0.053310741522394234,0.0036066470429077955,0.052477437965622896,0.057720036789395544,5,0,0,4.580113361714344e-06,0.0625,15.107776948207455
clinc150,0.5,default_mean_std,reference,f1_all,5,0.25348758955870515,0.25352092571684465,0.014398359161633463,0.24259934966442898,0.2653447016715984,5,0,0,2.487542443653792e-06,0.0625,17.60531090474253
clinc150,0.5,default_mean_std,reference,id_recall,5,0.2879111111111111,0.28488888888888886,0.013761280445735153,0.2782222222222222,0.2988444444444444,5,0,0,1.2487951070089524e-06,0.0625,20.92182571574141
clinc150,0.5,default_mean_std,reference,false_accept_rate,5,0.026608695652173914,0.025217391304347823,0.0031976151583818224,0.02417391304347826,0.029101449275362318,5,0,0,4.9102688376145343e-05,0.0625,8.32141903706744
clinc150,0.5,default_mean_std,reference,false_reject_rate,5,-0.2879111111111111,-0.28488888888888886,0.013761280445735172,-0.2988444444444445,-0.2782222222222222,0,0,5,1.248795107008962e-06,0.0625,-20.92182571574138
clinc150,0.5,default_mean_std,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,default_mahalanobis_mean,reference,oos_f1,5,-0.0062039032956611615,-0.005563329150628515,0.001341738262739599,-0.007278202054165672,-0.0051918889935131055,0,0,5,0.0004938686589595796,0.0625,-4.623780559849174
clinc150,0.5,default_mahalanobis_mean,reference,f1_all,5,-0.04220372512960928,-0.038585946196173726,0.007191467446631015,-0.04866300645709239,-0.037156933299864955,0,0,5,0.00019473727166081592,0.0625,-5.868583212370717
clinc150,0.5,default_mahalanobis_mean,reference,id_recall,5,-0.036355555555555565,-0.033333333333333326,0.005563549803835065,-0.04124444444444444,-0.03244444444444443,0,0,5,0.00012761316563292334,0.0625,-6.534596945729678
clinc150,0.5,default_mahalanobis_mean,reference,false_accept_rate,5,-0.0033623188405797104,-0.003478260869565218,0.0007831452803539886,-0.003942028985507247,-0.00272463768115942,0,0,5,0.0006580302415712539,0.0625,-4.293352619146109
clinc150,0.5,default_mahalanobis_mean,reference,false_reject_rate,5,0.036355555555555565,0.033333333333333326,0.005563549803835065,0.03244444444444443,0.04124444444444444,5,0,0,0.00012761316563292334,0.0625,6.534596945729678
clinc150,0.5,default_mahalanobis_mean,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.75,get_085,reference,oos_f1,5,-0.0017256785021239728,-0.0007700477887028212,0.0069056686798218,-0.0072636399154146995,0.0034830197926347005,2,0,3,0.6061155138778425,0.8125,-0.2498930345683054
clinc150,0.75,get_085,reference,f1_all,5,-0.02100777257487265,-0.020664427441782873,0.02652899293242375,-0.041464398526644984,-0.0005511466231003182,1,0,4,0.1513165419904879,0.1875,-0.7918797606974722
clinc150,0.75,get_085,reference,id_recall,5,-0.005773809523809503,-0.009821428571428537,0.019699818204785256,-0.020416666666666684,0.010059523809523884,2,0,3,0.5480089831238582,0.625,-0.29308948254187417
clinc150,0.75,get_085,reference,false_accept_rate,5,-0.00017094017094017086,-0.00042735042735042583,0.0032630101143283894,-0.0027350427350427355,0.002136752136752137,2,0,3,0.912394147701127,1.0,-0.05238726358510069
clinc150,0.75,get_085,reference,false_reject_rate,5,0.005773809523809503,0.009821428571428537,0.019699818204785256,-0.010059523809523884,0.020416666666666684,3,0,2,0.5480089831238582,0.625,0.29308948254187417
