dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.5,select_100,single,id_recall,5,-0.4718222222222222,-0.4702222222222222,0.007507033738804918,-0.4780444444444444,-0.4663111111111111,0,0,5,1.5375334407236376e-08,0.0625,-62.85068625485276
clinc150,0.5,select_100,single,false_accept_rate,5,-0.0791304347826087,-0.08115942028985507,0.004160202925915167,-0.08208695652173914,-0.07553623188405797,0,0,5,1.8268220855552314e-06,0.0625,-19.020811290161163
clinc150,0.5,select_100,single,false_reject_rate,5,0.4718222222222222,0.4702222222222222,0.007507033738804918,0.4663111111111111,0.4780444444444444,5,0,0,1.5375334407236376e-08,0.0625,62.85068625485276
clinc150,0.5,select_100,single,effective_cluster_count,5,60.2,58.0,9.418067742376884,53.6,68.2,5,0,0,0.00013919738425898547,0.0625,6.391969313315539
clinc150,0.5,min_get_10,single,oos_f1,5,-0.07510194068319638,-0.07362729159988335,0.0038539081248172313,-0.07828653597919959,-0.07221455354095127,0,0,5,1.6583978714658887e-06,0.0625,-19.487216158469796
clinc150,0.5,min_get_10,single,f1_all,5,-0.3448953679699608,-0.3395400451249913,0.01660226746403327,-0.35814429940180537,-0.33269430568480035,0,0,5,1.284667756424369e-06,0.0625,-20.77399178859956
clinc150,0.5,min_get_10,single,id_recall,5,-0.46675555555555553,-0.46533333333333327,0.00738634041263725,-0.47253333333333336,-0.4610666666666666,0,0,5,1.504615518288084e-08,0.0625,-63.19172005083681
clinc150,0.5,min_get_10,single,false_accept_rate,5,-0.07918840579710144,-0.08057971014492753,0.004478237418446172,-0.08226086956521739,-0.07565217391304348,0,0,5,2.4442390649857787e-06,0.0625,-17.682940495945765
clinc150,0.5,min_get_10,single,false_reject_rate,5,0.46675555555555553,0.46533333333333327,0.00738634041263725,0.4610666666666666,0.47253333333333336,5,0,0,1.504615518288084e-08,0.0625,63.19172005083681
clinc150,0.5,min_get_10,single,effective_cluster_count,5,63.2,62.0,10.756393447619885,55.4,72.6,5,0,0,0.00019382941163368692,0.0625,5.875575331802738
clinc150,0.5,min_get_20,single,oos_f1,5,-0.07466675511735947,-0.07221967203841018,0.004034630523920709,-0.07769451432647483,-0.07163899590824412,0,0,5,2.0381134797482608e-06,0.0625,-18.506466620591816
clinc150,0.5,min_get_20,single,f1_all,5,-0.3467973072711771,-0.3450744529616839,0.023242747535448548,-0.36558693702476264,-0.3295035263322357,0,0,5,4.813507640496266e-06,0.0625,-14.920667478845221
clinc150,0.5,min_get_20,single,id_recall,5,-0.4664888888888889,-0.4715555555555556,0.011845090664047566,-0.4754666666666667,-0.4575111111111111,0,0,5,9.968419917506298e-08,0.0625,-39.38246672140589
clinc150,0.5,min_get_20,single,false_accept_rate,5,-0.07994202898550724,-0.08144927536231883,0.004237241000951802,-0.08295652173913043,-0.07640579710144928,0,0,5,1.8872010512999039e-06,0.0625,-18.866528707607152
clinc150,0.5,min_get_20,single,false_reject_rate,5,0.4664888888888889,0.4715555555555556,0.011845090664047566,0.4575111111111111,0.4754666666666667,5,0,0,9.968419917506298e-08,0.0625,39.38246672140589
clinc150,0.5,min_get_20,single,effective_cluster_count,5,59.6,61.0,9.316651759081692,52.0,66.2,5,0,0,0.00013875438799549597,0.0625,6.397147982042269
clinc150,0.5,min_select_5,single,oos_f1,5,-0.07421751785543781,-0.0734428372188407,0.0033491816345898678,-0.07678142978628255,-0.07165634451891592,0,0,5,9.925720979453385e-07,0.0625,-22.159896342715466
clinc150,0.5,min_select_5,single,f1_all,5,-0.3422955048881381,-0.33918816506625804,0.013879484348130598,-0.353213346043135,-0.33189789761813265,0,0,5,6.473636606638353e-07,0.0625,-24.6619756399121
clinc150,0.5,min_select_5,single,id_recall,5,-0.4634666666666666,-0.46133333333333326,0.005527931321150603,-0.4680888888888889,-0.4593777777777778,0,0,5,4.8562988592189196e-09,0.0625,-83.84088725802023
clinc150,0.5,min_select_5,single,false_accept_rate,5,-0.07953623188405796,-0.08115942028985507,0.003704025750893884,-0.08220289855072463,-0.07634782608695653,0,0,5,1.1256214657345937e-06,0.0625,-21.47291547982993
clinc150,0.5,min_select_5,single,false_reject_rate,5,0.4634666666666666,0.46133333333333326,0.005527931321150603,0.4593777777777778,0.4680888888888889,5,0,0,4.8562988592189196e-09,0.0625,83.84088725802023
clinc150,0.5,min_select_5,single,effective_cluster_count,5,160.4,165.0,14.484474446799926,147.6,168.6,5,0,0,1.5786924004893396e-05,0.0625,11.073926126152088
clinc150,0.5,min_select_20,single,oos_f1,5,-0.08052814120806981,-0.08035751516611678,0.003405483976807117,-0.08314244746591337,-0.07791383495022626,0,0,5,7.657747344023808e-07,0.0625,-23.646606989345067
clinc150,0.5,min_select_20,single,f1_all,5,-0.38049980106872666,-0.3787764793889403,0.014853042548909455,-0.39281011405147714,-0.3699609194507336,0,0,5,5.561262087719658e-07,0.0625,-25.617633546512923
clinc150,0.5,min_select_20,single,id_recall,5,-0.4929777777777778,-0.4906666666666667,0.009673177883734493,-0.5017777777777777,-0.4866666666666667,0,0,5,3.555950041624996e-08,0.0625,-50.96337353691416
clinc150,0.5,min_select_20,single,false_accept_rate,5,-0.07971014492753623,-0.08115942028985507,0.0033802619680262584,-0.08220289855072463,-0.07686956521739131,0,0,5,7.743149611554877e-07,0.0625,-23.581055457094983
clinc150,0.5,min_select_20,single,false_reject_rate,5,0.4929777777777778,0.4906666666666667,0.009673177883734493,0.4866666666666667,0.5017777777777777,5,0,0,3.555950041624996e-08,0.0625,50.96337353691416
clinc150,0.5,min_select_20,single,effective_cluster_count,5,12.6,12.0,5.224940191045253,9.0,17.2,5,0,0,0.005721475366548728,0.0625,2.411510857405501
clinc150,0.5,default_mean_std,single,oos_f1,5,-0.021749784992875054,-0.02123736388662878,0.003141828008828448,-0.02438000557518045,-0.019446934850445175,0,0,5,0.00010165611752872542,0.0625,-6.922652968831767
clinc150,0.5,default_mean_std,single,f1_all,5,-0.09966779793700427,-0.09624896569030039,0.009191879383186136,-0.10627590420960764,-0.09315317237505757,0,0,5,1.716721577247585e-05,0.0625,-10.843027174542504
clinc150,0.5,default_mean_std,single,id_recall,5,-0.18391111111111108,-0.18222222222222217,0.012258129074008847,-0.19297777777777772,-0.17422222222222222,0,0,5,4.708775650838252e-06,0.0625,-15.003195838511886
