dataset,kir,seed,loss_variant,class_count,registered_known_class_count,missing_selected_class_count,missing_selected_classes,excluded_train_row_count,sample_count,selected_balls,temperature,mean_loss,mean_true_probability,median_true_probability,mean_probability_margin,nearest_class_accuracy,mean_gradient_l2,median_gradient_l2,mean_distance_span
clinc150,0.5,42,raw_tau_0.20,74,75,1,what_is_your_name,100,1024,129,0.2,1.975364808499492,0.1714326781968507,0.1508926483108252,0.1326930286143737,0.9365234375,4.178647776488963,4.283303360339451,0.6754053251130212
clinc150,0.5,42,raw_tau_0.50,74,75,1,what_is_your_name,100,1024,129,0.5,3.3033778856087075,0.0386018392144165,0.0375281113893382,0.017022981763785,0.9365234375,1.9362913075907635,1.9384754926996288,0.6754053251130212
clinc150,0.5,42,raw_tau_1.00,74,75,1,what_is_your_name,100,1024,129,1.0,3.796985705425402,0.0227281451343882,0.022669406536543,0.0055999568521895,0.9365234375,0.983985535227281,0.9840505340582404,0.6754053251130212
clinc150,0.5,87,official_l1,75,75,0,,0,1024,138,,4.31178124282706,0.0134096656479049,0.0134106638644017,3.9163239102091815e-05,0.927734375,0.01130017260565,0.0112955678800557,0.6611453290487871
clinc150,0.5,87,raw_tau_0.05,75,75,0,,0,1024,138,0.05,0.2811965098161236,0.8568708351843718,0.9847973679254411,0.7958458353487293,0.927734375,3.239738928138187,0.3412883115871175,0.6611453290487871
clinc150,0.5,87,raw_tau_0.10,75,75,0,,0,1024,138,0.1,0.7804244057346716,0.5685674101158015,0.6063073070664968,0.5089288519888646,0.927734375,4.432574565590606,4.042418831073572,0.6611453290487871
clinc150,0.5,87,raw_tau_0.20,75,75,0,,0,1024,138,0.2,2.031814869268312,0.1618965627012334,0.1415869467335132,0.1215027282411701,0.927734375,4.227318368977168,4.331549924218553,0.6611453290487871
clinc150,0.5,87,raw_tau_0.50,75,75,0,,0,1024,138,0.5,3.3373302206499296,0.037282428354955,0.0361234338704264,0.0156410781621542,0.927734375,1.938772720094793,1.940990333859192,0.6611453290487871
clinc150,0.5,87,raw_tau_1.00,75,75,0,,0,1024,138,1.0,3.820916464934191,0.0221856922384627,0.0220594159628679,0.0051697679569156,0.927734375,0.9844410006791704,0.9845560947019056,0.6611453290487871
clinc150,0.5,100,official_l1,75,75,0,,0,1024,150,,4.311600783020315,0.0134120858743182,0.0134118556982265,4.029376579505145e-05,0.9501953125,0.0113349432029195,0.011339451213066,0.6798560692713703
clinc150,0.5,100,raw_tau_0.05,75,75,0,,0,1024,150,0.05,0.2248096822224946,0.8792655239583598,0.9833987743166148,0.828563018232831,0.9501953125,2.732641391650801,0.365874739149487,0.6798560692713703
clinc150,0.5,100,raw_tau_0.10,75,75,0,,0,1024,150,0.1,0.7229057268048134,0.5844086867096692,0.6164122831877124,0.5270865837633231,0.9501953125,4.265423076371759,3.981680678485519,0.6798560692713703
clinc150,0.5,100,raw_tau_0.20,75,75,0,,0,1024,150,0.2,1.976786789441442,0.1705172799534146,0.1432419441331715,0.1297856292657895,0.9501953125,4.18385589110261,4.3183761133979175,0.6798560692713703
clinc150,0.5,100,raw_tau_0.50,75,75,0,,0,1024,150,0.5,3.310583658781964,0.0382949124275157,0.0366289495346795,0.0164042017360036,0.9501953125,1.9367536725633256,1.9402716877051347,0.6798560692713703
clinc150,0.5,100,raw_tau_1.00,75,75,0,,0,1024,150,1.0,3.807131204625992,0.0224930642951411,0.0222320017994959,0.005361323656116,0.9501953125,0.9841341497002404,0.9843905550628947,0.6798560692713703
clinc150,0.5,123,official_l1,74,75,1,change_user_name,100,1024,133,,4.298085352754498,0.013594586997001,0.01359413691683,4.1703447815756445e-05,0.958984375,0.0114783750412793,0.0114618171792161,0.68715157047077
clinc150,0.5,123,raw_tau_0.05,74,75,1,change_user_name,100,1024,133,0.05,0.2317486226668817,0.8866369474080662,0.9845910064665132,0.8324399693335736,0.958984375,2.6136052076429084,0.3362810247234272,0.68715157047077
clinc150,0.5,123,raw_tau_0.10,74,75,1,change_user_name,100,1024,133,0.1,0.7084626909438294,0.5903214624800769,0.6239981307779551,0.5315979771012488,0.958984375,4.208987358693696,3.8409798125060526,0.68715157047077
clinc150,0.5,123,raw_tau_0.20,74,75,1,change_user_name,100,1024,133,0.2,1.958422039206504,0.1733453611802722,0.1470324386836405,0.1318345761334576,0.958984375,4.170507475063449,4.307206049178603,0.68715157047077
clinc150,0.5,123,raw_tau_0.50,74,75,1,change_user_name,100,1024,133,0.5,3.2940511916196584,0.0389404784258348,0.0372079641516277,0.0167356792423564,0.958984375,1.93563555640068,1.9390877261458743,0.68715157047077
clinc150,0.5,123,raw_tau_1.00,74,75,1,change_user_name,100,1024,133,1.0,3.792086202981221,0.0228341607135778,0.0225582278621871,0.0054738776700756,0.958984375,0.9838810111894088,0.9841610496383202,0.68715157047077
clinc150,0.75,13,official_l1,111,112,1,what_is_your_name,100,1024,214,,4.70553717564952,0.0090450622197698,0.009045277038148,1.759178591135903e-05,0.9208984375,0.0075685776724341,0.0075609508107916,0.695197013168528
