dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
stackoverflow,0.5,euclidean_mean,false_accept_rate,5,0.0854666666666667,0.0843333333333334,0.030145572735570236,0.06026666666666669,0.10893333333333335,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,false_reject_rate,5,-0.5680000000000001,-0.5606666666666666,0.024869660230891762,-0.5900666666666667,-0.5546666666666666,0,0,5,20260725,10000
stackoverflow,0.5,euclidean_mean,accuracy,5,0.23756666666666665,0.22966666666666669,0.02272131891711689,0.22033333333333333,0.2548,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,auroc,5,0.07582720000000001,0.06668311111111103,0.03238784173068045,0.05441471111111111,0.1052687111111111,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,aupr_oos,5,0.10698941921307,0.10528919105143375,0.03583081716940497,0.07931753861080852,0.13824015531053524,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,oos_f1,5,0.3071538117740757,0.31118547726142515,0.02845545597746744,0.2829774854075603,0.32757094182864976,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,f1_all,5,0.5418678928158714,0.5527218610049904,0.025918955930706714,0.5210963834301496,0.5615604874234101,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,f1_k,5,0.5575154982186576,0.5679633145547492,0.02661754670820584,0.5358985648172931,0.5777082160456463,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,id_recall,5,0.6294222222222222,0.6335555555555556,0.0207522719267905,0.6119555555555556,0.6446222222222222,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,false_accept_rate,5,0.08133333333333334,0.059333333333333294,0.05559576322786553,0.0390666666666667,0.1257333333333333,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,false_reject_rate,5,-0.6294222222222222,-0.6335555555555555,0.020752271926790508,-0.6446222222222222,-0.6119555555555556,0,0,5,20260725,10000
stackoverflow,0.75,euclidean_mean,accuracy,5,0.4388666666666666,0.44600000000000006,0.018095195801955614,0.4251333333333333,0.45260000000000006,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,auroc,5,0.1257513777777778,0.11343644444444456,0.04402544545898129,0.09381173333333333,0.16156639999999997,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean,aupr_oos,5,0.29135396012464126,0.28665077872240735,0.08081461421619437,0.23140309775366125,0.3539820756024465,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,oos_f1,5,0.0022887687171055495,0.008025283396105198,0.018179716452368228,-0.013292050126232201,0.014119959893539855,4,0,1,20260725,10000
banking77,0.25,euclidean_mean_std,f1_all,5,0.07199344079514942,0.0709027521155472,0.03260768297218198,0.04670894169925179,0.09727793989104705,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,f1_k,5,0.0756621077466254,0.07414040357978036,0.03348896923106858,0.0496210112172506,0.10170320427600021,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,id_recall,5,0.16894736842105265,0.16973684210526319,0.037024922354358274,0.14131578947368426,0.19894736842105262,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,false_accept_rate,5,0.04198275862068966,0.0323275862068966,0.03447548414648244,0.019396551724137963,0.0721551724137931,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,false_reject_rate,5,-0.16894736842105265,-0.16973684210526319,0.037024922354358274,-0.19894736842105262,-0.14131578947368426,0,0,5,20260725,10000
banking77,0.25,euclidean_mean_std,accuracy,5,0.009285714285714276,0.018181818181818188,0.024180792869582537,-0.011233766233766262,0.025064935064935057,4,0,1,20260725,10000
banking77,0.25,euclidean_mean_std,auroc,5,0.042974591651542646,0.042148366606170606,0.02574479428952451,0.024060344827586212,0.06520145190562601,5,0,0,20260725,10000
banking77,0.25,euclidean_mean_std,aupr_oos,5,0.024301100423661116,0.01955144773377715,0.015259856770003882,0.014967977165260637,0.038388731312430015,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,oos_f1,5,0.03610754662227793,0.04304909565072501,0.016488482143407084,0.02213779320342397,0.047681833256690086,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,f1_all,5,0.13454148848157252,0.14046719241932237,0.01876647897981217,0.11965194563537755,0.1475372748947658,5,0,0,20260725,10000
