dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
banking77_oos,50,13,1.0,ce_recon,k1,1,25,3090,96,0.031067961165048542,0.0,1863.1490629792295,0.900897848551584,0.836,0.9151999999999999,0.9668046052443056,0.398,0.2430167597765363,0.9404659188955996,0.9195289499509323,complete
banking77_oos,50,13,1.0,ce_recon,k2,2,50,3090,6,0.001941747572815534,0.0,1517.0889011707861,0.8920887684228358,0.81,0.9042090909090909,0.9639502476037514,0.461,0.3906633906633907,0.9034341062518345,0.906886517943744,complete
banking77_oos,50,13,1.0,ce_recon,frozen_selected_k,4,100,3090,1,0.00032362459546925567,0.03,1261.4776158403374,0.8924515698062793,0.764,0.9022652597402596,0.9630772090531987,0.46,0.4810400866738895,0.8836395450568679,0.8870967741935484,complete
banking77_oos,50,42,0.1,frozen,k1,1,25,303,10,0.033003300330033,0.0,4518.814564115773,0.9112389242965957,0.578,0.8961756493506493,0.9617203324573766,0.413,0.5280804694048616,0.8707155742633794,0.8469905728788978,complete
banking77_oos,50,42,0.1,frozen,k2,2,50,303,1,0.0033003300330033004,0.04,4190.007600266526,0.8905494505494506,0.294,0.8779532467532467,0.9528841330810383,0.46,0.5263157894736842,0.8048645660585959,0.7679158448389217,complete
banking77_oos,50,42,0.1,frozen,frozen_selected_k,5,125,303,1,0.0033003300330033004,0.312,2208.375308075691,0.8648496768755268,0.04,0.7823464285714286,0.912179194855187,0.619,0.4855614973262032,0.7520661157024794,0.7087378640776699,complete
banking77_oos,50,42,0.1,ce_recon,k1,1,25,303,10,0.033003300330033,0.0,2594.7686014243186,0.9290465631929047,0.699,0.914224025974026,0.9599036375216903,0.295,0.6358381502890174,0.9071729957805907,0.873900293255132,complete
banking77_oos,50,42,0.1,ce_recon,k2,2,50,303,1,0.0033003300330033004,0.18,1089.441568366095,0.913464447806354,0.489,0.8896636363636364,0.9396326147936627,0.364,0.6186666666666667,0.8554455445544554,0.8032345013477089,complete
banking77_oos,50,42,0.1,ce_recon,frozen_selected_k,5,125,303,1,0.0033003300330033004,0.472,154.07375726289422,0.8742719136240943,0.118,0.8464324675324676,0.9062685482510757,0.439,0.5412130637636081,0.7741935483870968,0.7028301886792453,complete
banking77_oos,50,42,0.2,frozen,k1,1,25,597,20,0.03350083752093802,0.0,4083.2238013177775,0.9021810971579644,0.758,0.9062681818181819,0.9663198438320407,0.436,0.35903337169159955,0.9107890499194847,0.9055425448868072,complete
banking77_oos,50,42,0.2,frozen,k2,2,50,597,2,0.0033500837520938024,0.0,3855.987949641503,0.910755859071861,0.571,0.8954301948051949,0.9607692053304291,0.422,0.5401459854014599,0.8683338354926182,0.8439432520916696,complete
banking77_oos,50,42,0.2,frozen,frozen_selected_k,5,125,597,1,0.0016750418760469012,0.144,2850.0751955391647,0.8877314814814815,0.236,0.8741243506493507,0.9519407910228582,0.447,0.5419126328217237,0.7913708356089568,0.7522697795071336,complete
banking77_oos,50,42,0.2,ce_recon,k1,1,25,597,20,0.03350083752093802,0.0,2157.0416715466395,0.9218698921216084,0.782,0.9209464285714284,0.9676219517997139,0.328,0.5284147557328016,0.931236509404872,0.9055459272097054,complete
