dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.75,atm_support,40.0,0.8550000000000001,0.38,0.135,0.6199999999999999,0.01,0.0,5,0.4750000000000001
banking77,0.75,automatic_top_up,40.0,0.835,0.29500000000000004,0.15999999999999998,0.705,0.005,0.0,5,0.5399999999999999
banking77,0.75,balance_not_updated_after_bank_transfer,40.0,0.8375,0.09375,0.05625,0.9,0.10625,0.00625,4,0.74375
banking77,0.75,balance_not_updated_after_cheque_or_cash_deposit,40.0,0.7875000000000001,0.1625,0.2,0.8375,0.0125,0.0,4,0.6250000000000001
banking77,0.75,beneficiary_not_allowed,40.0,0.6833333333333332,0.275,0.27499999999999997,0.725,0.041666666666666664,0.0,3,0.4083333333333332
banking77,0.75,cancel_transfer,40.0,0.8083333333333332,0.46666666666666673,0.19166666666666665,0.5333333333333333,0.0,0.0,3,0.3416666666666665
banking77,0.75,card_about_to_expire,40.0,0.88125,0.4,0.10625000000000001,0.6,0.0125,0.0,4,0.48124999999999996
banking77,0.75,card_acceptance,40.0,0.7875,0.0625,0.2125,0.9375,0.0,0.0,2,0.725
banking77,0.75,card_arrival,40.0,0.725,0.125,0.12,0.875,0.155,0.0,5,0.6
banking77,0.75,card_delivery_estimate,40.0,0.765,0.185,0.19,0.8150000000000001,0.045,0.0,5,0.5800000000000001
banking77,0.75,card_linking,40.0,0.75,0.35000000000000003,0.25,0.65,0.0,0.0,3,0.39999999999999997
banking77,0.75,card_not_working,40.0,0.9499999999999998,0.3833333333333333,0.05000000000000001,0.6166666666666667,0.0,0.0,3,0.5666666666666665
banking77,0.75,card_payment_fee_charged,40.0,0.8333333333333334,0.2833333333333333,0.16666666666666666,0.7083333333333334,0.0,0.008333333333333333,3,0.55
banking77,0.75,card_payment_not_recognised,40.0,0.7,0.06875,0.26875,0.93125,0.03125,0.0,4,0.63125
banking77,0.75,card_payment_wrong_exchange_rate,40.0,0.925,0.215,0.075,0.7849999999999999,0.0,0.0,5,0.7100000000000001
banking77,0.75,card_swallowed,40.0,0.7666666666666666,0.2916666666666667,0.2333333333333333,0.7083333333333334,0.0,0.0,3,0.4749999999999999
banking77,0.75,cash_withdrawal_charge,40.0,0.85,0.30833333333333335,0.125,0.6916666666666668,0.025000000000000005,0.0,3,0.5416666666666666
banking77,0.75,cash_withdrawal_not_recognised,40.0,0.8500000000000001,0.125,0.1375,0.875,0.0125,0.0,2,0.7250000000000001
banking77,0.75,change_pin,40.0,0.7833333333333333,0.325,0.21666666666666667,0.6749999999999999,0.0,0.0,3,0.4583333333333333
