dataset,kir,trainable_outcome,mogb_outcome,rate_mean,rate_std,count_sum,n_seeds
stackoverflow,0.5,known_wrong_intent,known_correct,0.00013333333333333334,7.453559924999299e-05,4,5
stackoverflow,0.5,known_wrong_intent,known_rejected,0.003966666666666667,0.0015383974345619098,119,5
stackoverflow,0.5,known_wrong_intent,known_wrong_intent,0.0005333333333333334,0.00024720661623652213,16,5
stackoverflow,0.5,known_wrong_intent,oos_correct,0.0,0.0,0,5
stackoverflow,0.5,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.5,oos_correct,known_correct,0.0,0.0,0,5
stackoverflow,0.5,oos_correct,known_rejected,0.0,0.0,0,5
stackoverflow,0.5,oos_correct,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.5,oos_correct,oos_correct,0.4532,0.016369602587994882,13596,5
stackoverflow,0.5,oos_correct,oos_false_accept,0.0001,9.128709291752768e-05,3,5
stackoverflow,0.5,oos_false_accept,known_correct,0.0,0.0,0,5
stackoverflow,0.5,oos_false_accept,known_rejected,0.0,0.0,0,5
stackoverflow,0.5,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.5,oos_false_accept,oos_correct,0.042833333333333334,0.015136875503220602,1285,5
stackoverflow,0.5,oos_false_accept,oos_false_accept,0.0038666666666666667,0.001232657472473373,116,5
stackoverflow,0.75,known_correct,known_correct,0.15673333333333334,0.011311621359370971,4702,5
stackoverflow,0.75,known_correct,known_rejected,0.4588,0.016312656980939002,13764,5
stackoverflow,0.75,known_correct,known_wrong_intent,0.0008666666666666666,0.0006912147117775908,26,5
stackoverflow,0.75,known_correct,oos_correct,0.0,0.0,0,5
stackoverflow,0.75,known_correct,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.75,known_rejected,known_correct,0.00013333333333333334,0.00013944333775567927,4,5
stackoverflow,0.75,known_rejected,known_rejected,0.119,0.005126185499743238,3570,5
stackoverflow,0.75,known_rejected,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.75,known_rejected,oos_correct,0.0,0.0,0,5
stackoverflow,0.75,known_rejected,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.75,known_wrong_intent,known_correct,0.0003333333333333333,0.0003118047822311618,10,5
stackoverflow,0.75,known_wrong_intent,known_rejected,0.0134,0.0035815887225891492,402,5
stackoverflow,0.75,known_wrong_intent,known_wrong_intent,0.0007333333333333333,0.0003836954811073779,22,5
stackoverflow,0.75,known_wrong_intent,oos_correct,0.0,0.0,0,5
stackoverflow,0.75,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.75,oos_correct,known_correct,0.0,0.0,0,5
stackoverflow,0.75,oos_correct,known_rejected,0.0,0.0,0,5
stackoverflow,0.75,oos_correct,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.75,oos_correct,oos_correct,0.22793333333333332,0.014965051880223396,6838,5
stackoverflow,0.75,oos_correct,oos_false_accept,6.666666666666667e-05,9.128709291752768e-05,2,5
stackoverflow,0.75,oos_false_accept,known_correct,0.0,0.0,0,5
stackoverflow,0.75,oos_false_accept,known_rejected,0.0,0.0,0,5
stackoverflow,0.75,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.75,oos_false_accept,oos_correct,0.020399999999999998,0.013935167343411735,612,5
stackoverflow,0.75,oos_false_accept,oos_false_accept,0.0016,0.00114624992426996,48,5
