epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
1,warmup,0.3271756883658154,0.2710003051644479,0.5150102347555295,0.046743594346122,0.9167050883673228,0.875088926751161,0.8323232323232324,banking77,0.5,42,0.8414403032217309,0.8197368421052631,3
2,finetune,0.2497830670064603,0.1952391848440321,0.509697868790425,0.035740946839288,0.9133391378270066,0.8721270166148853,0.8242424242424242,banking77,0.5,42,0.8414403032217309,0.8197368421052631,3
3,finetune,0.1932311007149622,0.1430958676427393,0.4744065410234558,0.0269457739581104,0.9185108643758664,0.8777027835677855,0.8161616161616162,banking77,0.5,42,0.8414403032217309,0.8197368421052631,3
4,finetune,0.155026227655545,0.1093516657653618,0.4356185993258382,0.0211270207762193,0.9182999047391968,0.8776938441331361,0.8121212121212121,banking77,0.5,42,0.8414403032217309,0.8197368421052631,3
1,warmup,0.3035108990967273,0.2495126689118998,0.4964741157633918,0.0435081788471766,0.9160366231824876,0.8745732085483411,0.8292682926829268,banking77,0.5,87,0.8554480174836091,0.8203947368421053,4
2,finetune,0.2339329753603254,0.1816319971212319,0.4892843846763883,0.0337253968164856,0.9152573979595978,0.8742004873904922,0.8211382113821138,banking77,0.5,87,0.8554480174836091,0.8203947368421053,4
3,finetune,0.1783353739551135,0.1298456643308912,0.4600937357970646,0.0248033483778791,0.9193998141961676,0.878342903627062,0.8211382113821138,banking77,0.5,87,0.8554480174836091,0.8203947368421053,4
4,finetune,0.1431584563638482,0.0986827108210751,0.4244592326028006,0.0202982183146689,0.9261531669938134,0.884588126343407,0.8313008130081301,banking77,0.5,87,0.8554480174836091,0.8203947368421053,4
1,warmup,0.31042342122112,0.2543223521539143,0.5172560738665717,0.0437546206904309,0.8852727627658512,0.8449893619561346,0.8056680161943319,banking77,0.5,100,0.8259473346178549,0.8236842105263158,2
2,finetune,0.2360101005860737,0.1820327753999403,0.5065659386771065,0.0332073077692517,0.9006970786295416,0.8598063903704323,0.8178137651821862,banking77,0.5,100,0.8259473346178549,0.8236842105263158,2
3,finetune,0.1808540695479938,0.1308680578001907,0.4755171107394355,0.0243429898550467,0.8936376680252393,0.853151838065725,0.8097165991902834,banking77,0.5,100,0.8259473346178549,0.8236842105263158,2
4,finetune,0.1504495664366654,0.1047310238970177,0.4373767788921083,0.019808635434934,0.8971371183839735,0.8564488592746617,0.8137651821862348,banking77,0.5,100,0.8259473346178549,0.8236842105263158,2
1,warmup,0.3358539566397667,0.2790437164332937,0.5211389402256292,0.0469634451026863,0.9203588500745218,0.8779314641824056,0.8485477178423236,banking77,0.5,123,0.809165302782324,0.8296052631578947,4
