dataset,method,method_label,majority_label,observed_cells,mean_ball_count,mean_train_support,mean_radius,mean_oos_assignment_share,mean_false_accept_share,mean_known_false_reject_share,total_oos_false_accepts,total_known_false_rejects
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,change_pin,6,1.8333333333333333,89.16666666666667,0.463472688589728,0.012713675213675215,0.0,0.01531308578224564,0,88
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,compromised_card,9,1.4444444444444444,28.444444444444443,0.48584441164031933,0.02034981721914571,0.003973063973063973,0.03393198395836965,3,169
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,contactless_not_working,6,1.0,22.166666666666668,0.5803979036990962,0.0009689065723548483,0.0,0.037941896182219055,0,119
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,country_support,6,3.1666666666666665,83.16666666666667,0.5274280048613773,0.07470634200443638,0.016615067079463364,0.04402949886320621,5,219
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,declined_card_payment,6,3.0,46.5,0.3764457018471372,0.00704565901934323,0.002976190476190476,0.017589596859582227,1,101
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,declined_cash_withdrawal,8,4.375,64.375,0.4408015389233927,0.015754499395039322,0.0076805464000585955,0.022200591620538366,3,156
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,declined_transfer,10,2.0,81.1,0.45668684713685365,0.01643590906975662,0.007328482328482329,0.012003847063005956,3,83
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,direct_debit_payment_not_recognised,9,1.7777777777777777,101.22222222222223,0.5313648767784338,0.016051041618192253,0.0,0.023432469133608788,0,114
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,disposable_card_limits,6,2.5,84.5,0.45320260685108216,0.01620557804768331,0.02243589743589744,0.017573530778453233,7,107
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,edit_personal_details,8,1.75,95.125,0.617807167090352,0.16716852226720647,0.0,0.07244850927601468,0,617
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,exchange_charge,5,2.8,67.6,0.45490168087432015,0.009051142444971846,0.0,0.03008122774247663,0,99
