dataset,kir,comparator,metric,n_seeds,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
stackoverflow,0.75,mogb_minilm,auroc,5,0.1257513777777778,0.04402544545898129,0.09381173333333333,0.15812551111111123,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,aupr_oos,5,0.29135396012464126,0.08081461421619437,0.23140309775366125,0.3539820756024465,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,oos_f1,5,-0.004021600184011742,0.014905978627360674,-0.01718786494075535,0.005733817838510369,2,0,3,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,f1_all,5,0.07360488878673092,0.024655724368983157,0.05420872358040496,0.09300105399305689,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,f1_k,5,0.0776904934694016,0.025366242479539183,0.05772120264705305,0.09765978429175015,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,accuracy,5,0.0009740259740259827,0.019019157947542373,-0.015974025974025974,0.013571428571428568,3,0,2,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,id_recall,5,0.201578947368421,0.03749884578094433,0.17342105263157892,0.22999999999999998,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.06310344827586206,0.030300835077946727,0.04146551724137933,0.08844827586206896,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,false_reject_rate,5,-0.201578947368421,0.037498845780944326,-0.22999999999999998,-0.17342105263157892,0,0,5,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,oos_precision,5,0.05335888201142196,0.00924519155082567,0.04663228574972809,0.06028203704116024,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,oos_recall,5,-0.06310344827586208,0.030300835077946734,-0.08844827586206896,-0.04146551724137933,0,0,5,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,auroc,5,0.031328153357531696,0.017528792181288694,0.017068511796733143,0.04445905172413787,5,0,0,20260725,10000
banking77,0.25,mogb_partition_ours_boundary,aupr_oos,5,0.01658151516974917,0.009288740851711786,0.00864433579907058,0.023397510567779965,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,oos_f1,5,0.04166585883096015,0.01580660197293649,0.027767778858110347,0.052354409998875376,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,f1_all,5,0.16863831395599443,0.01857762231682928,0.1535740781700775,0.18243896918920804,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,f1_k,5,0.1719796943540217,0.018715296822767673,0.1569699764024982,0.1858331047505967,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,accuracy,5,0.07785714285714287,0.01452427725519583,0.06590909090909089,0.08792207792207793,5,0,0,20260725,10000
