method,seed,point,precision,recall,threshold
fixed_k2,42,78,0.7560109289617486,0.9223333333333333,0.8345424602261216
fixed_k2,42,79,0.7600550964187328,0.9196666666666666,0.8380456799383238
fixed_k2,42,80,0.7636111111111111,0.9163333333333333,0.8412798245954382
fixed_k2,42,81,0.7686274509803922,0.9146666666666666,0.8442962872856336
fixed_k2,42,82,0.7725988700564972,0.9116666666666666,0.8477069680490021
fixed_k2,42,83,0.7763532763532763,0.9083333333333333,0.849423569725617
fixed_k2,42,84,0.781896551724138,0.907,0.852990810087256
fixed_k2,42,85,0.7855072463768116,0.9033333333333333,0.855394279359101
fixed_k2,42,86,0.7885964912280702,0.899,0.8581191737731532
fixed_k2,42,87,0.7926253687315634,0.8956666666666667,0.8603368632131398
fixed_k2,42,88,0.7958333333333333,0.8913333333333333,0.8637750771755396
fixed_k2,42,89,0.8,0.888,0.8666784329304904
fixed_k2,42,90,0.803939393939394,0.8843333333333333,0.8691654126762393
fixed_k2,42,91,0.8070336391437309,0.8796666666666667,0.8717645488203011
fixed_k2,42,92,0.8114197530864198,0.8763333333333333,0.8751788165377833
fixed_k2,42,93,0.8143302180685358,0.8713333333333333,0.8783963825857136
fixed_k2,42,94,0.8185534591194968,0.8676666666666667,0.8820189306302751
fixed_k2,42,95,0.8228571428571428,0.864,0.8853956411050646
fixed_k2,42,96,0.8253205128205128,0.8583333333333333,0.890170833465683
fixed_k2,42,97,0.8294498381877022,0.8543333333333333,0.8942297785576363
fixed_k2,42,98,0.8330065359477125,0.8496666666666667,0.8982362826246756
fixed_k2,42,99,0.836963696369637,0.8453333333333334,0.9011430269008667
fixed_k2,42,100,0.8403333333333334,0.8403333333333334,0.9054564209632908
fixed_k2,42,101,0.8431504543924605,0.835,0.9086840622551454
