method,seed,point,fpr,tpr,threshold
fixed_k2,13,108,0.17133333333333334,0.844,0.882653420011804
fixed_k2,13,109,0.17333333333333334,0.847,0.8811583958761086
fixed_k2,13,110,0.17566666666666667,0.849,0.8804236419029209
fixed_k2,13,111,0.17866666666666667,0.851,0.8795185491812897
fixed_k2,13,112,0.18033333333333335,0.853,0.8788623600709881
fixed_k2,13,113,0.184,0.8553333333333333,0.8768438654031987
fixed_k2,13,114,0.18733333333333332,0.858,0.8754494864626106
fixed_k2,13,115,0.18966666666666668,0.8603333333333333,0.8740560558406469
fixed_k2,13,116,0.193,0.865,0.871780376283303
fixed_k2,13,117,0.19466666666666665,0.867,0.871276786591467
fixed_k2,13,118,0.19766666666666666,0.869,0.8701873912773193
fixed_k2,13,119,0.19933333333333333,0.871,0.8691637373842444
fixed_k2,13,120,0.20266666666666666,0.8723333333333333,0.8676167500133831
fixed_k2,13,121,0.204,0.8753333333333333,0.8660921359793748
fixed_k2,13,122,0.205,0.8773333333333333,0.8651530873263625
fixed_k2,13,123,0.21033333333333334,0.881,0.8618990168445223
fixed_k2,13,124,0.214,0.8833333333333333,0.8595567222589118
fixed_k2,13,125,0.21766666666666667,0.8846666666666667,0.8586741594197753
fixed_k2,13,126,0.21966666666666668,0.886,0.8578420354755927
fixed_k2,13,127,0.22166666666666668,0.8876666666666667,0.8558888697737222
fixed_k2,13,128,0.22433333333333333,0.8896666666666667,0.8549357914656722
fixed_k2,13,129,0.22766666666666666,0.8916666666666667,0.8540145243542511
fixed_k2,13,130,0.23,0.8926666666666667,0.8527182855320101
fixed_k2,13,131,0.23366666666666666,0.8956666666666667,0.8496912565332706
fixed_k2,13,132,0.23733333333333334,0.897,0.8486270338010872
fixed_k2,13,133,0.23966666666666667,0.899,0.8472039750094309
fixed_k2,13,134,0.24366666666666667,0.9013333333333333,0.8455813347572374
fixed_k2,13,135,0.24966666666666668,0.9026666666666666,0.8428842595213232
fixed_k2,13,136,0.25366666666666665,0.9043333333333333,0.8410721893635263
