dataset,kir,target_known_recall,method,method_label,known_recall_mean,known_recall_std,oos_f1_mean,oos_f1_std,false_accept_rate_mean,false_accept_rate_std,n_seeds
clinc150,0.75,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,0.0,0.7579049008611465,0.026241094699071765,0.2576923076923077,0.04148271909646831,5
clinc150,0.75,0.85,random_partition,Random partition,0.85,0.0,0.8321897491821508,0.00715355977864412,0.13384615384615386,0.01270747891811666,5
clinc150,0.75,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.8284066548594368,0.0050920185609927395,0.1405982905982906,0.00898960853331736,5
clinc150,0.75,0.85,trainable_k1,Trainable MiniLM K=1,0.85,0.0,0.8624239004869361,0.005543539575918949,0.07854700854700855,0.01040841772880061,5
clinc150,0.75,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.813433014728407,0.006505554805779833,0.21598290598290598,0.010596222571876883,5
clinc150,0.75,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.5977151087592355,0.035508637077312666,0.5117094017094017,0.04160536801511691,5
clinc150,0.75,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.7221962154078609,0.03545099471903989,0.35256410256410253,0.049372385050563676,5
clinc150,0.75,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.6800773604129746,0.03738847281711556,0.4096581196581196,0.04935629178339516,5
clinc150,0.75,0.9,random_partition,Random partition,0.9,0.0,0.8217471362945739,0.010338120143219161,0.2023076923076923,0.017127637877226834,5
clinc150,0.75,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.8165981216903055,0.009719517682618606,0.21076923076923076,0.015939655361612178,5
clinc150,0.75,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.8631137233394452,0.008383338133265117,0.1317094017094017,0.014860492807281727,5
clinc150,0.75,0.95,fixed_k2,Frozen fixed K=2,0.95,0.0,0.6884821649196138,0.015376710356340641,0.43717948717948724,0.019306593159105163,5
clinc150,0.75,0.95,mogb_minilm,MOGB-MiniLM,0.95,0.0,0.40730271384225514,0.03806663488862301,0.7252991452991453,0.03186756463550498,5
clinc150,0.75,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,0.0,0.5731272039446444,0.04396883063924862,0.5683760683760684,0.04543500831964979,5
clinc150,0.75,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,0.0,0.4767167162612259,0.021170202443114804,0.6643589743589743,0.019712855791804446,5
clinc150,0.75,0.95,random_partition,Random partition,0.95,0.0,0.7503546812946812,0.02457898893104009,0.3558974358974359,0.03425260995348974,5
clinc150,0.75,0.95,single_centroid,Frozen single centroid,0.95,0.0,0.7356111678619958,0.02308205755906871,0.37598290598290596,0.031195703066905802,5
clinc150,0.75,0.95,trainable_k1,Trainable MiniLM K=1,0.95,0.0,0.8198376420306385,0.01486050397671967,0.2552136752136752,0.022797052507702305,5
stackoverflow,0.25,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.9173675736203266,0.02423150619109393,0.08124444444444444,0.04435869505700651,5
stackoverflow,0.25,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.8900824348141331,0.02441587002948372,0.1304888888888889,0.042483809552276194,5
stackoverflow,0.25,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.9277170710848031,0.002826953853935814,0.0627111111111111,0.005327311415111779,5
stackoverflow,0.25,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,0.0,0.8426534917546439,0.06579612961187142,0.20644444444444443,0.10540902109589607,5
stackoverflow,0.25,0.75,random_partition,Random partition,0.75,0.0,0.9348618811450409,0.011503126686461878,0.04897777777777777,0.022057500613925713,5
stackoverflow,0.25,0.75,single_centroid,Frozen single centroid,0.75,0.0,0.9349033456644733,0.010401450725428639,0.048933333333333336,0.019945233658170376,5
stackoverflow,0.25,0.75,trainable_k1,Trainable MiniLM K=1,0.75,0.0,0.9539693632253263,0.00607062435670833,0.011955555555555556,0.011932319427235437,5
stackoverflow,0.25,0.85,fixed_k2,Frozen fixed K=2,0.85,0.0,0.872046282301163,0.03541452232012321,0.18675555555555556,0.058386029108526714,5
stackoverflow,0.25,0.85,mogb_minilm,MOGB-MiniLM,0.85,0.0,0.7866667240157909,0.09817419258917029,0.3108888888888889,0.12897391831272817,5
stackoverflow,0.25,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,0.0,0.8876533905464148,0.018356483887075187,0.16168888888888888,0.03108395640324784,5
stackoverflow,0.25,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,0.0,0.6818922590780928,0.15635739081263048,0.43982222222222217,0.17967497404006016,5
stackoverflow,0.25,0.85,random_partition,Random partition,0.85,0.0,0.9024071358293455,0.02848386784521499,0.13568888888888891,0.04977916664729098,5
stackoverflow,0.25,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.900660521134005,0.028775223513345976,0.1387111111111111,0.05019281341505493,5
stackoverflow,0.25,0.85,trainable_k1,Trainable MiniLM K=1,0.85,0.0,0.9517693610615499,0.016724750443037104,0.04622222222222222,0.031486622673881796,5
stackoverflow,0.25,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.7907794122920089,0.05516930638483245,0.32137777777777776,0.078567640120307,5
stackoverflow,0.25,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.6610485857020313,0.14137540047706482,0.47746666666666665,0.14660955116849364,5
stackoverflow,0.25,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.8194919801927177,0.034825580728188595,0.28146666666666664,0.05118656266571202,5
stackoverflow,0.25,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.4981963134819944,0.2150958195565027,0.6357333333333333,0.18844768078981955,5
stackoverflow,0.25,0.9,random_partition,Random partition,0.9,0.0,0.835344735470714,0.05163134668714138,0.2561333333333333,0.07652653860662398,5
stackoverflow,0.25,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.8307101403867716,0.04752241521282289,0.2636,0.07013450921419534,5
stackoverflow,0.25,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.9106549317683257,0.04250858329193864,0.13386666666666666,0.07377319262860518,5
stackoverflow,0.25,0.95,fixed_k2,Frozen fixed K=2,0.95,0.0,0.5684064500757134,0.115232494035342,0.5888,0.11715849768688107,5
stackoverflow,0.25,0.95,mogb_minilm,MOGB-MiniLM,0.95,0.0,0.3968504618247294,0.12665203176036294,0.7420888888888889,0.09885699860323247,5
stackoverflow,0.25,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,0.0,0.6572775156092397,0.0675700053817339,0.4993777777777778,0.07338758935681794,5
stackoverflow,0.25,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,0.0,0.26937461286375575,0.17364644987762334,0.8322222222222223,0.11900430534799164,5
stackoverflow,0.25,0.95,random_partition,Random partition,0.95,0.0,0.6459238152423293,0.11568601959578484,0.5069333333333332,0.11858938390643844,5
stackoverflow,0.25,0.95,single_centroid,Frozen single centroid,0.95,0.0,0.6240969609493467,0.12182879534500297,0.5302666666666667,0.12134171725206058,5
stackoverflow,0.25,0.95,trainable_k1,Trainable MiniLM K=1,0.95,0.0,0.7970839386888333,0.07149517334465084,0.3215111111111111,0.10142447168602914,5
stackoverflow,0.5,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.7622346811077219,0.018757256597938424,0.22986666666666666,0.03005421028001827,5
stackoverflow,0.5,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.7882588795072257,0.06235284177460785,0.18273333333333333,0.10009617597313318,5
stackoverflow,0.5,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.8113030592023378,0.0701986532280648,0.1414,0.11550550732420607,5
stackoverflow,0.5,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,0.0,0.6087848581535297,0.06758520391094469,0.4496666666666666,0.08604682187946022,5
stackoverflow,0.5,0.75,random_partition,Random partition,0.75,0.0,0.8399694181192293,0.02325268994159839,0.09419999999999999,0.04268528239725413,5
stackoverflow,0.5,0.75,single_centroid,Frozen single centroid,0.75,0.0,0.8397397080597063,0.023715804394922733,0.09459999999999999,0.04349163393369146,5
stackoverflow,0.5,0.75,trainable_k1,Trainable MiniLM K=1,0.75,0.0,0.8740563237916448,0.0053533120683708964,0.029599999999999998,0.010586679261117614,5
stackoverflow,0.5,0.85,fixed_k2,Frozen fixed K=2,0.85,0.0,0.6691534481306862,0.015050950239849672,0.42160000000000003,0.019532593842657497,5
stackoverflow,0.5,0.85,mogb_minilm,MOGB-MiniLM,0.85,0.0,0.6859583363235819,0.10615118426471178,0.39126666666666665,0.13023555582098156,5
stackoverflow,0.5,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,0.0,0.7209199274662168,0.11476385810071747,0.34126666666666666,0.14735207271475123,5
stackoverflow,0.5,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,0.0,0.416899656461441,0.09921869515985708,0.6928,0.08692225133864044,5
stackoverflow,0.5,0.85,random_partition,Random partition,0.85,0.0,0.7930194085336306,0.035756993707629595,0.24306666666666668,0.057041602751364245,5
stackoverflow,0.5,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.7934451595895992,0.03568023393697021,0.2424,0.05690069321975691,5
