dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,1,0.5,0.85,nearest_sphere,3,0.9575650879474628,0.0017067435501329786,0.5717821292109703,0.011605188344318618,0.5721559830942246,0.026789000930795955,0.9211601307189543,0.0024125527876198757,0.4381944444444445,0.02265209226430568,0.012592592592592593,0.005920136060424363,0.5618055555555556,0.022652092264305684,0.0,0.0,0.03199616703814671,0.009764540755124961,93.99,1.7665087947462865,True
banking77_oos,all_test_candidates,2,0.5,0.9,normalized_union,3,0.9575303520363674,0.0010405526992575314,0.6046999161758255,0.006135663871105026,0.6250717276744959,0.011813645434529311,0.9211601307189543,0.001026944860292247,0.48819444444444443,0.0009820927516479793,0.018796296296296297,0.002057973219527118,0.5118055555555555,0.0009820927516479793,0.0,0.0,0.035557980238831305,0.014091029698755928,93.99,1.763035203636747,True
banking77_oos,all_test_candidates,2,0.5,0.9,nearest_sphere,3,0.9574870901186463,0.0010465271702812847,0.6039440215456983,0.006441802034745831,0.6242337856600834,0.011855654228810535,0.921078431372549,0.0010589445585634234,0.4875,0.0,0.018796296296296297,0.002057973219527118,0.5125,0.0,0.0,0.0,0.03561253561253561,0.014101844639047956,93.99,1.7587090118646387,True
banking77_oos,all_test_candidates,3,0.75,0.9,nearest_sphere,3,0.9574261264757659,0.0018997252984400827,0.6195929137789543,0.009561350772994675,0.6645329021147531,0.008419036129788305,0.9200163398692811,0.0031088721553007665,0.5493055555555556,0.01703867242553512,0.02648148148148148,0.0036874643984703475,0.45069444444444445,0.017038672425535143,0.0,0.0,0.055440703546982106,0.006146124019135516,93.99,1.7526126475765977,True
banking77_oos,all_test_candidates,1,1.25,0.75,normalized_union,3,0.9573864719611412,0.0013566433471076435,0.5633408093834061,0.019312790353303445,0.5632596101530782,0.035463811889587325,0.920751633986928,0.0016175645321261244,0.4368055555555555,0.03044487530108746,0.012777777777777777,0.006102687797512623,0.5631944444444444,0.03044487530108746,0.0,0.0,0.03405483405483405,0.01212808161007255,93.99,1.7486471961141348,True
banking77_oos,all_test_candidates,3,0.75,0.9,normalized_union,3,0.9573312414588214,0.0018489102652921251,0.619260961698087,0.009350980469903151,0.6645329021147531,0.008419036129788305,0.9198529411764707,0.0030283910119037393,0.5493055555555556,0.01703867242553512,0.02666666666666667,0.003650074693412412,0.45069444444444445,0.017038672425535143,0.0,0.0,0.055440703546982106,0.006146124019135516,93.99,1.743124145882149,True
banking77_oos,all_test_candidates,2,0.25,0.95,nearest_sphere,3,0.9573204162482266,0.0009783425642351615,0.6159789366891021,0.006555877146854036,0.6470814154059248,0.015592138419247172,0.9205882352941176,0.0012172928452411703,0.5173611111111112,0.012767205771423774,0.022777777777777775,0.0031508702828099175,0.48263888888888884,0.012767205771423774,0.0,0.0,0.04163111252398161,0.009553521868223624,93.99,1.7420416248226616,True
banking77_oos,all_test_candidates,2,0.25,0.95,normalized_union,3,0.9573204162482266,0.0009783425642351615,0.6159789366891021,0.006555877146854036,0.6470814154059248,0.015592138419247172,0.9205882352941176,0.0012172928452411703,0.5173611111111112,0.012767205771423774,0.022777777777777775,0.0031508702828099175,0.48263888888888884,0.012767205771423774,0.0,0.0,0.04163111252398161,0.009553521868223624,93.99,1.7420416248226616,True
banking77_oos,all_test_candidates,1,1.25,0.75,nearest_sphere,3,0.9573002904523817,0.0014061235984235048,0.5630708327511303,0.01909784675900024,0.5629698818622922,0.03533167382883298,0.9206699346405229,0.0016051374758487714,0.4354166666666666,0.02946278254943948,0.012777777777777777,0.006102687797512623,0.5645833333333333,0.02946278254943948,0.0,0.0,0.03261578604044357,0.014121794199721259,93.99,1.740029045238174,True
banking77_oos,all_test_candidates,2,0.75,0.85,nearest_sphere,3,0.9572321936573344,0.00165862464493563,0.5835112014933119,0.0046417218937748715,0.5936173787822406,0.011529801892993118,0.9205065359477125,0.0020145143800552557,0.45694444444444443,0.003928371006591943,0.015555555555555553,0.00289564736502072,0.5430555555555555,0.003928371006591917,0.0,0.0,0.034837589883461445,0.01650185586255179,93.99,1.7332193657334471,True
