dataset,method,method_label,metric,metric_label,n_seeds,kir_025,kir_050,kir_075,endpoint_delta,endpoint_delta_pp,slope_per_kir,slope_pp_per_kir,worst_value,best_value
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,f1_all,F1-All,5,0.7016229766010627,0.645981713026754,0.5960139307329898,-0.10560904586807285,-10.560904586807284,-0.2112180917361457,-21.12180917361457,0.5960139307329898,0.7016229766010627
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,f1_k,F1-K,5,0.6953153197116103,0.6431874107164409,0.5949092032755063,-0.10040611643610398,-10.040611643610397,-0.20081223287220795,-20.081223287220794,0.5949092032755063,0.6953153197116103
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,known_recall,Known Recall,5,0.6017543859649124,0.5334222222222222,0.4808928571428572,-0.1208615288220552,-12.08615288220552,-0.2417230576441104,-24.17230576441104,0.4808928571428572,0.6017543859649124
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,false_accept_rate,False acceptance,5,0.0223684210526315,0.0249855072463767,0.0188888888888888,-0.0034795321637427004,-0.34795321637427,-0.006959064327485401,-0.69590643274854,0.0188888888888888,0.0249855072463767
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,false_reject_rate,False rejection,5,0.3982456140350877,0.4665777777777777,0.5191071428571428,0.12086152882205509,12.086152882205509,0.24172305764411017,24.172305764411018,0.3982456140350877,0.5191071428571428
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,oos_f1,OOS F1,5,0.9263775447547196,0.8332324302971947,0.7004044722488025,-0.22597307250591703,-22.597307250591705,-0.45194614501183406,-45.19461450118341,0.7004044722488025,0.9263775447547196
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,f1_all,F1-All,5,0.5666949810733997,0.5640931010016157,0.5692900146575266,0.002595033584126938,0.2595033584126938,0.005190067168253876,0.5190067168253876,0.5640931010016157,0.5692900146575266
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,f1_k,F1-K,5,0.557229650450207,0.5605045766110079,0.5681193498576044,0.010889699407397369,1.0889699407397369,0.021779398814794737,2.1779398814794737,0.557229650450207,0.5681193498576044
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,known_recall,Known Recall,5,0.4189473684210526,0.4223999999999999,0.4284523809523809,0.009505012531328294,0.9505012531328294,0.019010025062656588,1.9010025062656588,0.4189473684210526,0.4284523809523809
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,false_accept_rate,False acceptance,5,0.011798245614035,0.0168695652173912,0.0188034188034187,0.007005173189383698,0.7005173189383698,0.014010346378767396,1.4010346378767395,0.011798245614035,0.0188034188034187
clinc150,ours_partition_mogb_boundary,Ours partition + MOGB,false_reject_rate,False rejection,5,0.5810526315789474,0.5776,0.571547619047619,-0.009505012531328405,-0.9505012531328405,-0.01901002506265681,-1.901002506265681,0.571547619047619,0.5810526315789474
clinc150,random_partition,Random K=2,oos_f1,OOS F1,5,0.9423997495237098,0.8906911053121688,0.8220513451445486,-0.12034840437916117,-12.034840437916117,-0.24069680875832233,-24.069680875832233,0.8220513451445486,0.9423997495237098
clinc150,random_partition,Random K=2,f1_all,F1-All,5,0.7878036270153732,0.8075070935100765,0.823453472957717,0.03564984594234377,3.564984594234377,0.07129969188468754,7.129969188468754,0.7878036270153732,0.823453472957717
clinc150,random_partition,Random K=2,f1_k,F1-K,5,0.7837353080019959,0.8063979733527151,0.8234659919560489,0.03973068395405299,3.973068395405299,0.07946136790810598,7.946136790810598,0.7837353080019959,0.8234659919560489
clinc150,random_partition,Random K=2,known_recall,Known Recall,5,0.7884210526315789,0.7947555555555555,0.8004761904761905,0.012055137844611541,1.205513784461154,0.024110275689223082,2.411027568922308,0.7884210526315789,0.8004761904761905
clinc150,random_partition,Random K=2,false_accept_rate,False acceptance,5,0.0617105263157894,0.089623188405797,0.1022222222222221,0.0405116959064327,4.05116959064327,0.0810233918128654,8.10233918128654,0.0617105263157894,0.1022222222222221
clinc150,random_partition,Random K=2,false_reject_rate,False rejection,5,0.211578947368421,0.2052444444444444,0.1995238095238095,-0.012055137844611513,-1.2055137844611514,-0.024110275689223026,-2.411027568922303,0.1995238095238095,0.211578947368421
clinc150,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.9420722511346672,0.8894333056826393,0.8174656812211403,-0.12460656991352692,-12.460656991352693,-0.24921313982705384,-24.921313982705385,0.8174656812211403,0.9420722511346672
clinc150,single_centroid,Frozen K=1,f1_all,F1-All,5,0.7843899282129962,0.8026933913946113,0.8174095805265577,0.03301965231356141,3.301965231356141,0.06603930462712282,6.603930462712282,0.7843899282129962,0.8174095805265577
clinc150,single_centroid,Frozen K=1,f1_k,F1-K,5,0.7802403933992681,0.8015368592041044,0.8174090796274989,0.037168686228230774,3.7168686228230774,0.07433737245646155,7.433737245646155,0.7802403933992681,0.8174090796274989
clinc150,single_centroid,Frozen K=1,known_recall,Known Recall,5,0.7794736842105263,0.7875555555555556,0.7907142857142857,0.011240601503759384,1.1240601503759384,0.02248120300751877,2.248120300751877,0.7794736842105263,0.7907142857142857
clinc150,single_centroid,Frozen K=1,false_accept_rate,False acceptance,5,0.0603508771929824,0.0881739130434782,0.101025641025641,0.040674763832658604,4.06747638326586,0.08134952766531721,8.13495276653172,0.0603508771929824,0.101025641025641
clinc150,single_centroid,Frozen K=1,false_reject_rate,False rejection,5,0.2205263157894736,0.2124444444444443,0.2092857142857142,-0.011240601503759384,-1.1240601503759384,-0.02248120300751877,-2.248120300751877,0.2092857142857142,0.2205263157894736
clinc150,trainable_k1,Trainable K=1,oos_f1,OOS F1,5,0.9516427437131568,0.9043941395821136,0.828493223497581,-0.12314952021557579,-12.314952021557579,-0.24629904043115158,-24.629904043115157,0.828493223497581,0.9516427437131568
clinc150,trainable_k1,Trainable K=1,f1_all,F1-All,5,0.7968993956538231,0.8181661694793956,0.8291245798894671,0.03222518423564402,3.222518423564402,0.06445036847128804,6.445036847128804,0.7968993956538231,0.8291245798894671
clinc150,trainable_k1,Trainable K=1,f1_k,F1-K,5,0.7928272022838406,0.8170164632113595,0.8291302170001089,0.03630301471626829,3.630301471626829,0.07260602943253658,7.260602943253658,0.7928272022838406,0.8291302170001089
clinc150,trainable_k1,Trainable K=1,known_recall,Known Recall,5,0.7363157894736843,0.7444444444444445,0.7511904761904762,0.01487468671679193,1.487468671679193,0.02974937343358386,2.974937343358386,0.7363157894736843,0.7511904761904762
clinc150,trainable_k1,Trainable K=1,false_accept_rate,False acceptance,5,0.0323684210526315,0.036927536231884,0.0401709401709401,0.0078025191183086,0.78025191183086,0.0156050382366172,1.56050382366172,0.0323684210526315,0.0401709401709401
clinc150,trainable_k1,Trainable K=1,false_reject_rate,False rejection,5,0.2636842105263158,0.2555555555555555,0.2488095238095237,-0.014874686716792096,-1.4874686716792096,-0.029749373433584192,-2.974937343358419,0.2488095238095237,0.2636842105263158
stackoverflow,fixed_k2,Frozen K=2,oos_f1,OOS F1,5,0.8666146611474034,0.6352945072329976,0.436346976786457,-0.43026768436094637,-43.026768436094635,-0.8605353687218927,-86.05353687218927,0.436346976786457,0.8666146611474034
stackoverflow,fixed_k2,Frozen K=2,f1_all,F1-All,5,0.767990693403829,0.7275883031957765,0.7446586353568032,-0.02333205804702576,-2.333205804702576,-0.04666411609405152,-4.666411609405152,0.7275883031957765,0.767990693403829
stackoverflow,fixed_k2,Frozen K=2,f1_k,F1-K,5,0.748265899855114,0.7368176827920545,0.7652127459281596,0.01694684607304553,1.694684607304553,0.03389369214609106,3.389369214609106,0.7368176827920545,0.7652127459281596
stackoverflow,fixed_k2,Frozen K=2,known_recall,Known Recall,5,0.8521333333333333,0.8688666666666667,0.8802222222222221,0.02808888888888883,2.808888888888883,0.05617777777777766,5.617777777777766,0.8521333333333333,0.8802222222222221
stackoverflow,fixed_k2,Frozen K=2,false_accept_rate,False acceptance,5,0.194711111111111,0.4716666666666667,0.6166666666666667,0.4219555555555557,42.19555555555557,0.8439111111111114,84.39111111111114,0.194711111111111,0.6166666666666667
