dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
banking77,0.5,trainable_k1,Trainable K=1,0.8356406184886493,0.8167355797722488,0.816238078753396,0.8221052631578948,0.1574358974358974,0.1778947368421052,0.8216883116883118,0.9014173414304992,0.8863032438146086,0.0182511445458114,0.0104830552152985,0.0103370998388801,0.0048030821706431,0.0343460557420522,0.0048030821706431,0.0152638844883759,0.0111158505138441,0.0109311705481196,5
banking77,0.75,fixed_k2,Frozen K=2,0.5931096142882415,0.802629197197889,0.8062416037997796,0.8313793103448276,0.3607894736842105,0.1686206896551723,0.745,0.8322200544464609,0.5835320552322394,0.0257286994878703,0.0078061211995344,0.0077223476109264,0.0037502477127855,0.0402059276786223,0.0037502477127855,0.0102532652591067,0.0154589943329414,0.0271234538860802,5
banking77,0.75,mogb_minilm,MOGB-MiniLM,0.4763444315858617,0.4239282504496938,0.4230245231887255,0.2876724137931034,0.0076315789473683,0.7123275862068965,0.4599350649350649,0.7977400181488203,0.4766882118952923,0.0041037737354307,0.0169529579508606,0.0171765278779685,0.012201397797159,0.0037678476482306,0.012201397797159,0.0091590673151429,0.0202512122731348,0.0327883510400622,5
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.5313316683894659,0.5860713489392462,0.5870151365349321,0.4586206896551724,0.0405263157894736,0.5413793103448276,0.5781818181818181,0.8104557622504537,0.5045400009976453,0.0059187255203253,0.0238483139653777,0.0241814422677159,0.0243563089561838,0.0193022324430444,0.0243563089561838,0.0142882966969327,0.0174055682831623,0.0357077793606357,5
banking77,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.5507101160126237,0.6567440305693095,0.658572201509942,0.535603448275862,0.0813157894736841,0.4643965517241379,0.6157142857142858,0.8209998865698729,0.5610762868450603,0.0047867738393309,0.0057218830391524,0.0057609897435184,0.0055668566520561,0.011635626826018,0.0055668566520562,0.0049962036523821,0.0135947997595874,0.0220141051558121,5
banking77,0.75,random_partition,Random K=2,0.5337882516266328,0.7889339625187208,0.7933330264996189,0.8727586206896552,0.493157894736842,0.1272413793103448,0.7253246753246753,0.8201661751361161,0.5540039774819296,0.0424054215894103,0.007869675694657,0.0078160333675772,0.0051218795784527,0.0556331598640082,0.0051218795784527,0.0120502230908413,0.0160387699331553,0.0268429546568434,5
banking77,0.75,single_centroid,Frozen K=1,0.5366071713978288,0.7821185401081376,0.786351494741074,0.8641379310344828,0.48,0.1358620689655172,0.7202597402597403,0.817510775862069,0.5494501046486522,0.0416721897052739,0.0089500348710679,0.0086981570035772,0.0052117755173074,0.0545172086481063,0.0052117755173075,0.0140936767884551,0.016750193763312,0.0238092111535477,5
banking77,0.75,trainable_k1,Trainable K=1,0.6865343253584566,0.8413111725848881,0.8439797389163782,0.8241379310344827,0.1960526315789473,0.1758620689655172,0.7968831168831169,0.8890411751361162,0.6985107098502167,0.0270845400899598,0.0077123704045817,0.0074778817530542,0.0040549326987557,0.0458076189092874,0.0040549326987557,0.0120711997770735,0.0169866885668533,0.0332460166018058,5
clinc150,0.25,fixed_k2,Frozen K=2,0.9447183904938934,0.7801346791980823,0.775803528900824,0.7435087719298246,0.0472807017543859,0.2564912280701754,0.9096491228070176,0.934487650046168,0.9767689785502252,0.0079811869695283,0.0196064573336054,0.0199152422893698,0.0065231552430099,0.0148505559493135,0.0065231552430099,0.0125331201726436,0.0091915353697636,0.0035092473538444,5
clinc150,0.25,mogb_minilm,MOGB-MiniLM,0.9238361040438376,0.5224035964713533,0.5118395831141827,0.3710526315789473,0.0065789473684209,0.6289473684210527,0.8688771929824561,0.9060657894736842,0.963469654341278,0.0029534277865939,0.0327612309049043,0.033546947063194,0.02669320009597,0.0021764729431227,0.02669320009597,0.0055041325866055,0.0145681164569546,0.0073279914789024,5
