dataset,kir,seed,structure,workpoint,threshold,calibration_known_recall,selected_using_test_known,selected_using_test_oos,selection_split,registered_known_classes,missing_class_count,missing_classes,original_ball_count,fallback_ball_count,final_ball_count,elapsed_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
clinc150,0.75,42,selected_balls,calibration_coverage_0.80,1.345911089908857,0.8,False,False,calibration_known,112,2,make_call|what_is_your_name,201,2,201,2.859809720015619,0.7392335045436587,0.7995726495726496,0.7682200780127284,0.8035714285714286,0.7995726495726496,0.8730611518111517,0.7662877682881035,0.3580357142857143,0.2004273504273504,0.1964285714285714,0.78,0.7747648393233637,0.7748232746922087,0.7682200780127284
clinc150,0.75,42,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.3208982619490046,0.8,False,False,calibration_known,112,2,make_call|what_is_your_name,201,2,203,2.8809902089997195,0.7373086220789685,0.782051282051282,0.7590211530485276,0.805952380952381,0.782051282051282,0.8697138278388277,0.7719137905060829,0.3991071428571429,0.2179487179487179,0.194047619047619,0.7682456140350877,0.7746455785572438,0.7747850823564288,0.7590211530485276
clinc150,0.75,87,selected_balls,default_radius,1.0,0.2790178571428571,False,False,paper_default_radius,112,3,change_user_name|no|pto_used,209,3,209,2.895850403001532,0.494772775762748,0.9910256410256412,0.6600256154831364,0.2952380952380952,0.9910256410256412,0.8467474308099309,0.7363958796168435,0.394047619047619,0.0089743589743589,0.7047619047619048,0.5794736842105264,0.4206219092079394,0.4184843761161966,0.6600256154831364
clinc150,0.75,87,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2915178571428571,False,False,paper_default_radius,112,3,change_user_name|no|pto_used,209,3,212,2.9170055319555104,0.500108154877785,0.988034188034188,0.6640815740341807,0.3122023809523809,0.988034188034188,0.8568751271876274,0.7539592960974493,0.3988095238095238,0.0119658119658119,0.687797619047619,0.5870175438596491,0.4381363891598323,0.4361190214377399,0.6640815740341807
clinc150,0.75,87,selected_balls,calibration_coverage_0.80,1.3465550226745626,0.8,False,False,calibration_known,112,3,change_user_name|no|pto_used,209,3,209,2.9394352399976924,0.7168378740509156,0.6858974358974359,0.7010264249836209,0.8113095238095238,0.6858974358974359,0.8467474308099309,0.7363958796168435,0.394047619047619,0.3141025641025641,0.1886904761904762,0.7285964912280701,0.7539839782840307,0.7544568135813557,0.7010264249836209
clinc150,0.75,87,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.3098678390349934,0.8,False,False,calibration_known,112,3,change_user_name|no|pto_used,209,3,212,2.9618952139862813,0.7254901960784313,0.7273504273504273,0.726419120785318,0.8083333333333333,0.7273504273504273,0.8568751271876274,0.7539592960974493,0.3988095238095238,0.2726495726495726,0.1916666666666666,0.7433333333333333,0.7674936690219628,0.76786040605979,0.726419120785318
clinc150,0.75,100,selected_balls,default_radius,1.0,0.2883928571428571,False,False,paper_default_radius,112,1,recipe,207,1,207,2.908586371981073,0.4961340206185567,0.9871794871794872,0.660377358490566,0.3017857142857143,0.9871794871794872,0.8705214692714692,0.7670461789457552,0.3714285714285714,0.0128205128205128,0.6982142857142857,0.5821052631578948,0.4278446100282795,0.425768424774152,0.660377358490566
clinc150,0.75,100,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2919642857142857,False,False,paper_default_radius,112,1,recipe,207,1,208,2.9307707989937626,0.4981661272923409,0.9867521367521368,0.662078853046595,0.3077380952380952,0.9867521367521368,0.8638280932030932,0.7596216566172825,0.3979166666666666,0.0132478632478632,0.6922619047619047,0.5849122807017544,0.4337593725169759,0.4317208057265329,0.662078853046595
clinc150,0.75,100,selected_balls,calibration_coverage_0.80,1.3342026955490935,0.8,False,False,calibration_known,112,1,recipe,207,1,207,2.95429422496818,0.7493936944219887,0.7923076923076923,0.7702534275031159,0.8154761904761905,0.7923076923076923,0.8705214692714692,0.7670461789457552,0.3714285714285714,0.2076923076923077,0.1845238095238095,0.7798245614035088,0.7817346226953849,0.7818371333667444,0.7702534275031159
clinc150,0.75,100,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.3300284191707992,0.8,False,False,calibration_known,112,1,recipe,207,1,208,2.976764632971026,0.742998352553542,0.770940170940171,0.7567114093959731,0.8142857142857143,0.770940170940171,0.8638280932030932,0.7596216566172825,0.3979166666666666,0.229059829059829,0.1857142857142857,0.7719298245614035,0.7864916759683752,0.7867575712056288,0.7567114093959731
