method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
s2c_trainable_k1,banking77,0.25,13,1.082924390087742,0.8460236886632826,0.9118421052631579,0.24568965517241378,0.0881578947368421,0.9631260319207485,0.7543103448275862
s2c_trainable_k1,banking77,0.25,13,1.089299461358821,0.8387725280077934,0.9157894736842105,0.25775862068965516,0.08421052631578951,0.9641657334826428,0.7422413793103448
s2c_trainable_k1,banking77,0.25,13,1.0938857156608675,0.8316977428851815,0.9197368421052632,0.26939655172413796,0.08026315789473681,0.965261958997722,0.7306034482758621
s2c_trainable_k1,banking77,0.25,13,1.1011034148788672,0.8252163164400494,0.9263157894736842,0.2806034482758621,0.0736842105263158,0.967536231884058,0.719396551724138
s2c_trainable_k1,banking77,0.25,13,1.1040642295119927,0.8176382660687593,0.9302631578947368,0.29267241379310344,0.06973684210526321,0.9687131050767415,0.7073275862068965
s2c_trainable_k1,banking77,0.25,13,1.109309865540369,0.8114486567913632,0.9381578947368421,0.30344827586206896,0.06184210526315792,0.9717378232110644,0.696551724137931
s2c_trainable_k1,banking77,0.25,13,1.1138853178551016,0.8031376518218624,0.9407894736842105,0.315948275862069,0.05921052631578949,0.9724264705882353,0.684051724137931
s2c_trainable_k1,banking77,0.25,13,1.1183340790996597,0.7944926058133606,0.9421052631578948,0.328448275862069,0.05789473684210522,0.9725343320848939,0.6715517241379311
s2c_trainable_k1,banking77,0.25,13,1.1223807911384494,0.785402210228733,0.9434210526315789,0.3413793103448276,0.05657894736842106,0.9726288987905792,0.6586206896551724
s2c_trainable_k1,banking77,0.25,13,1.1276199787157934,0.7761658031088083,0.9447368421052632,0.3543103448275862,0.05526315789473679,0.9727272727272728,0.6456896551724138
s2c_trainable_k1,banking77,0.25,13,1.1314690181319051,0.7678244972577697,0.9486842105263158,0.36637931034482757,0.051315789473684204,0.974155069582505,0.6336206896551724
s2c_trainable_k1,banking77,0.25,13,1.135973435582279,0.7577672459189047,0.9486842105263158,0.37974137931034485,0.051315789473684204,0.9736129905277402,0.6202586206896552
s2c_trainable_k1,banking77,0.25,13,1.1422021908148818,0.7489384288747346,0.9513157894736842,0.3918103448275862,0.048684210526315774,0.9744475138121547,0.6081896551724137
s2c_trainable_k1,banking77,0.25,13,1.1473782880545218,0.7390955311747391,0.9526315789473684,0.4047413793103448,0.047368421052631615,0.9745942131263232,0.5952586206896552
s2c_trainable_k1,banking77,0.25,13,1.152581638155914,0.7296276308688613,0.9552631578947368,0.41724137931034483,0.044736842105263186,0.9754689754689755,0.5827586206896552
s2c_trainable_k1,banking77,0.25,13,1.1593112679528124,0.7210884353741497,0.9605263157894737,0.42887931034482757,0.03947368421052633,0.977859778597786,0.5711206896551724
s2c_trainable_k1,banking77,0.25,13,1.1643297522467047,0.7113062568605928,0.9631578947368421,0.4413793103448276,0.0368421052631579,0.9788519637462235,0.5586206896551724
s2c_trainable_k1,banking77,0.25,13,1.1690530055016923,0.7033757609297178,0.9697368421052631,0.4521551724137931,0.03026315789473688,0.982225656877898,0.5478448275862069
s2c_trainable_k1,banking77,0.25,13,1.1759990848163333,0.6932737929109685,0.9723684210526315,0.4646551724137931,0.02763157894736845,0.9833729216152018,0.5353448275862069
s2c_trainable_k1,banking77,0.25,13,1.1827777485043234,0.6824324324324325,0.9736842105263158,0.47758620689655173,0.02631578947368418,0.9837662337662337,0.5224137931034483
s2c_trainable_k1,banking77,0.25,13,1.1878880749009832,0.6714001704061346,0.975,0.49051724137931035,0.025000000000000022,0.984179850124896,0.5094827586206897
s2c_trainable_k1,banking77,0.25,13,1.1921697625303684,0.6617015181896305,0.9789473684210527,0.5021551724137931,0.021052631578947323,0.986336464560205,0.4978448275862069
s2c_trainable_k1,banking77,0.25,13,1.198345659715971,0.6497109826589595,0.9789473684210527,0.5155172413793103,0.021052631578947323,0.9859649122807017,0.4844827586206897
s2c_trainable_k1,banking77,0.25,13,1.2049137408459918,0.6386701662292213,0.9815789473684211,0.5280172413793104,0.018421052631578894,0.9873760144274121,0.47198275862068967
