method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,oracle_oos_f1,oracle_threshold,default_to_oracle_gap,score_separation_d,known_score_median,oos_score_median,median_score_gap,n_known,n_oos
s2c_trainable_k1,clinc150,0.75,87,1.0,0.8302650957290133,0.7508928571428571,0.03632478632478633,0.24910714285714286,0.7293014230271668,0.9636752136752137,0.9461285358160358,0.9096249572475938,0.874251497005988,1.0987092144602246,0.04398640127697473,2.434465041079383,0.8808356171117137,1.2695731167915518,0.38873749967983817,3360,2340
mogb_minilm_fair,clinc150,0.75,100,1.0,0.660377358490566,0.30178571428571427,0.01282051282051282,0.6982142857142857,0.4961340206185567,0.9871794871794872,0.8705214692714692,0.7670461789457552,0.7903688133002101,1.279840679112332,0.12999145480964414,1.502521022748315,1.1067016828188214,1.4696467505432784,0.362945067724457,3360,2340
s2c_trainable_k1,clinc150,0.75,100,1.0,0.8333023601561048,0.7622023809523809,0.04188034188034188,0.2377976190476191,0.7372574810917462,0.9581196581196582,0.9543171296296297,0.9349668659863393,0.8741372310190825,1.0884278089679713,0.04083487086297766,2.5900043317523394,0.8589907071709006,1.3589692590290516,0.499978551858151,3360,2340
mogb_minilm_fair,clinc150,0.75,123,1.0,0.665430161221287,0.3044642857142857,0.003418803418803419,0.6955357142857144,0.4994645534375669,0.9965811965811966,0.8575068681318679,0.7342064418772013,0.7788079470198674,1.2357423932858809,0.11337778579858049,1.3087298806036738,1.0965240187127314,1.412647081109661,0.31612306239692956,3360,2340
s2c_trainable_k1,clinc150,0.75,123,1.0,0.8327481057105895,0.756547619047619,0.03717948717948718,0.24345238095238098,0.7336372517095409,0.9628205128205128,0.9521731277981278,0.9255911521635527,0.8652597402597402,1.0720967790393263,0.032511634549150625,2.5029197474617875,0.8805644878960222,1.285927018560584,0.40536253066456185,3360,2340
mogb_minilm_fair,stackoverflow,0.25,13,1.0,0.8917312921744385,0.332,0.01622222222222222,0.6679999999999999,0.8154356235034076,0.9837777777777778,0.8854228148148149,0.9369573639564401,0.9221832529592284,1.1142550698836275,0.030451960784789955,1.7071441989470877,1.0440642070841109,1.2380678070940179,0.19400360000990702,1500,4500
s2c_trainable_k1,stackoverflow,0.25,13,1.0,0.9348581679560489,0.8333333333333334,0.07355555555555555,0.16666666666666663,0.9434261145055443,0.9264444444444444,0.9283866666666668,0.9625178109218019,0.9434128117789253,0.9779295704301425,0.008554643822876407,2.1881792431247034,0.8952123036034358,1.0702671709086444,0.17505486730520858,1500,4500
mogb_minilm_fair,stackoverflow,0.25,42,1.0,0.8921178343949044,0.28933333333333333,0.004,0.7106666666666667,0.807858687815429,0.996,0.8299065185185187,0.8986100578344981,0.9234495103716963,1.097437164274732,0.03133167597679187,1.2575925309383658,1.069378428396879,1.2017338619245803,0.1323554335277013,1500,4500
s2c_trainable_k1,stackoverflow,0.25,42,1.0,0.9546207353428288,0.844,0.03933333333333333,0.15600000000000003,0.9486504279131007,0.9606666666666667,0.9535537777777778,0.9790898154769205,0.9620775833967184,0.9353345070899941,0.007456848053889686,2.662228458040047,0.7303708096146179,1.3693496040875108,0.638978794472893,1500,4500
mogb_minilm_fair,stackoverflow,0.25,87,1.0,0.8904790300139137,0.2786666666666667,0.0044444444444444444,0.7213333333333334,0.8054656598345918,0.9955555555555555,0.876148,0.9380926923751847,0.9132362254591514,1.076089758129234,0.022757195445237688,1.61123699286229,1.0591613688080388,1.2242276910008352,0.16506632219279638,1500,4500
s2c_trainable_k1,stackoverflow,0.25,87,1.0,0.9619058074431881,0.848,0.026444444444444444,0.15200000000000002,0.9505315686699934,0.9735555555555555,0.963934962962963,0.983611668321172,0.9630277838547363,0.9799001387238104,0.001121976411548209,2.93487945545309,0.7564305044406165,1.4054019455098088,0.6489714410691922,1500,4500
mogb_minilm_fair,stackoverflow,0.25,100,1.0,0.8927314768271841,0.32866666666666666,0.013333333333333334,0.6713333333333333,0.8151275931705526,0.9866666666666667,0.8785337777777776,0.9322091049793786,0.9143595820316709,1.07750310064812,0.02162810520448677,1.5918939073646843,1.0398473098805692,1.2160789927234434,0.17623168284287427,1500,4500
