method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
s2c_trainable_k1,banking77,0.5,123,0.6,0.8677882025612409,0.8080308030803081,0.6006578947368421,0.058333333333333334,0.39934210526315794,0.7076107899807321,0.9416666666666667
s2c_trainable_k1,banking77,0.5,123,0.7,0.9152362261087956,0.82438739789965,0.7006578947368421,0.09423076923076923,0.29934210526315785,0.7564239828693791,0.9057692307692308
s2c_trainable_k1,banking77,0.5,123,0.8,0.9784077603065133,0.8193916349809885,0.8006578947368421,0.17115384615384616,0.19934210526315788,0.8101503759398496,0.8288461538461539
s2c_trainable_k1,banking77,0.5,123,0.9,1.0822845238010745,0.7236105930622901,0.9006578947368421,0.3782051282051282,0.0993421052631579,0.8652988403211418,0.6217948717948718
s2c_trainable_k1,banking77,0.5,123,0.95,1.1677981079707604,0.577023498694517,0.9506578947368421,0.575,0.049342105263157854,0.8983739837398373,0.425
mogb_minilm_fair,banking77,0.75,13,0.5,1.1701353805852468,0.5384615384615384,0.5004310344827586,0.06973684210526315,0.4995689655172414,0.37888531618435156,0.9302631578947368
mogb_minilm_fair,banking77,0.75,13,0.6,1.2762520266529125,0.551931330472103,0.6004310344827586,0.15394736842105264,0.3995689655172414,0.40955414012738856,0.8460526315789474
mogb_minilm_fair,banking77,0.75,13,0.7,1.409774926318578,0.5398896136477672,0.7004310344827587,0.29210526315789476,0.2995689655172413,0.43633414436334145,0.7078947368421052
mogb_minilm_fair,banking77,0.75,13,0.8,1.5565805126485142,0.4645323289391086,0.8004310344827587,0.5131578947368421,0.19956896551724135,0.44417767106842737,0.4868421052631579
mogb_minilm_fair,banking77,0.75,13,0.9,1.7899167639610547,0.30162810625535563,0.9004310344827586,0.7684210526315789,0.09956896551724137,0.43243243243243246,0.23157894736842105
mogb_minilm_fair,banking77,0.75,13,0.95,2.041178973022851,0.1540084388185654,0.9504310344827587,0.9039473684210526,0.049568965517241326,0.3882978723404255,0.09605263157894736
s2c_trainable_k1,banking77,0.75,13,0.5,0.8367062464822173,0.5522444360618635,0.5004310344827586,0.03684210526315789,0.4995689655172414,0.3870967741935484,0.9631578947368421
s2c_trainable_k1,banking77,0.75,13,0.6,0.8727742574533572,0.6,0.6004310344827586,0.04868421052631579,0.3995689655172414,0.4381818181818182,0.9513157894736842
s2c_trainable_k1,banking77,0.75,13,0.7,0.9197021883373768,0.6389148737137512,0.7004310344827587,0.1013157894736842,0.2995689655172413,0.49564586357039186,0.8986842105263158
s2c_trainable_k1,banking77,0.75,13,0.8,0.9795467911313399,0.6655755591925805,0.8004310344827587,0.19736842105263158,0.19956896551724135,0.5684995340167754,0.8026315789473685
s2c_trainable_k1,banking77,0.75,13,0.9,1.0633921127288757,0.5913290689410092,0.9004310344827586,0.45263157894736844,0.09956896551724137,0.642967542503864,0.5473684210526316
s2c_trainable_k1,banking77,0.75,13,0.95,1.1331478858311508,0.4262589928057554,0.9504310344827587,0.6881578947368421,0.049568965517241326,0.6732954545454546,0.3118421052631579
mogb_minilm_fair,banking77,0.75,42,0.5,1.2147945216586986,0.5467625899280576,0.5004310344827586,0.05,0.4995689655172414,0.3838383838383838,0.95
mogb_minilm_fair,banking77,0.75,42,0.6,1.3436799534718686,0.5739644970414202,0.6004310344827586,0.10657894736842105,0.3995689655172414,0.4227895392278954,0.8934210526315789
mogb_minilm_fair,banking77,0.75,42,0.7,1.4753159425157665,0.5791015625,0.7004310344827587,0.21973684210526315,0.2995689655172413,0.46040372670807456,0.7802631578947369
mogb_minilm_fair,banking77,0.75,42,0.8,1.6448139761991258,0.5247285886610374,0.8004310344827587,0.4276315789473684,0.19956896551724135,0.4844097995545657,0.5723684210526315
mogb_minilm_fair,banking77,0.75,42,0.9,1.8749261555694736,0.36062861869313484,0.9004310344827586,0.7131578947368421,0.09956896551724137,0.48552338530066813,0.2868421052631579
mogb_minilm_fair,banking77,0.75,42,0.95,2.086495421638236,0.22154471544715448,0.9504310344827587,0.8565789473684211,0.049568965517241326,0.48660714285714285,0.14342105263157895
s2c_trainable_k1,banking77,0.75,42,0.5,0.8301487087624546,0.5614692653673163,0.5004310344827586,0.014473684210526316,0.4995689655172414,0.39255765199161424,0.9855263157894737
