method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
s2c_trainable_k1,banking77,0.5,42,0.95,1.1735129673273093,0.605543710021322,0.950657894736842,0.5448717948717948,0.0493421052631578,0.9044585987261148,0.4551282051282051,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,87,0.8,1.4660002534390748,0.725718194254446,0.8006578947368421,0.3198717948717948,0.1993421052631578,0.7778592375366569,0.6801282051282052,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,87,0.8,0.9860630228530652,0.856353591160221,0.8006578947368421,0.1057692307692307,0.1993421052631578,0.8215547703180212,0.8942307692307693,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,87,0.9,1.6478718915477035,0.5198961937716263,0.9006578947368421,0.6147435897435898,0.0993421052631579,0.7992021276595744,0.3852564102564103,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,87,0.9,1.1084491508320633,0.783072546230441,0.9006578947368421,0.2942307692307692,0.0993421052631579,0.8793929712460063,0.7057692307692308,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,87,0.95,1.850103614682297,0.2798527091004734,0.950657894736842,0.8294871794871795,0.0493421052631578,0.7800586510263929,0.1705128205128205,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,87,0.95,1.2047473255007053,0.6225779275484414,0.950657894736842,0.5262820512820513,0.0493421052631578,0.907862407862408,0.4737179487179487,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,100,0.8,1.4730195662243972,0.6857142857142857,0.8006578947368421,0.3769230769230769,0.1993421052631578,0.7623529411764706,0.6230769230769231,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,100,0.8,0.9837505242817768,0.8286702294875825,0.8006578947368421,0.1551282051282051,0.1993421052631578,0.8130783466995681,0.8448717948717949,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,100,0.9,1.6571129827263094,0.5262704565030146,0.9006578947368421,0.6083333333333333,0.0993421052631579,0.8018372703412073,0.3916666666666666,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,100,0.9,1.071603596971898,0.7804704205274412,0.9006578947368421,0.2980769230769231,0.0993421052631579,0.8788121990369181,0.7019230769230769,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,100,0.95,1.8439062744692143,0.3341823739174732,0.950657894736842,0.7897435897435897,0.0493421052631578,0.8138957816377171,0.2102564102564102,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,100,0.95,1.1484640873625962,0.6397670549084858,0.950657894736842,0.507051282051282,0.0493421052631578,0.9111374407582938,0.492948717948718,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,123,0.8,1.441866822433614,0.7373771602846493,0.8006578947368421,0.3025641025641025,0.1993421052631578,0.7821710999281093,0.6974358974358974,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,123,0.8,0.9784077603065132,0.8193916349809885,0.8006578947368421,0.1711538461538461,0.1993421052631578,0.8101503759398496,0.8288461538461539,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,123,0.9,1.6018705151728798,0.5888659793814432,0.9006578947368421,0.5423076923076923,0.0993421052631579,0.8254335260115607,0.4576923076923077,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,123,0.9,1.0822845238010743,0.7236105930622901,0.9006578947368421,0.3782051282051282,0.0993421052631579,0.8652988403211418,0.6217948717948718,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,123,0.95,1.772807379343725,0.3867784903798717,0.950657894736842,0.7487179487179487,0.0493421052631578,0.8394004282655246,0.2512820512820513,MOGB-MiniLM-Fair,0.50
