dataset,kir,method,method_label,metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,reference,seed
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,0.0688361873268638,0.07623015111080711,0.05109672276436539,0.08657565188936223,5,0,0,single_centroid,paired same split/seed
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,0.018642249526959854,0.017973734647310557,0.00010992813993455641,0.04069201580337265,4,0,1,single_centroid,paired same split/seed
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.22210526315789467,-0.23815789473684212,-0.25026315789473674,-0.19184210526315784,0,0,5,single_centroid,paired same split/seed
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.17818965517241384,-0.1982758620689656,-0.2077586206896552,-0.1472413793103448,5,0,0,single_centroid,paired same split/seed
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,0.0696946087086833,0.05801316979565907,0.050001991249159716,0.09031876984721927,5,0,0,single_centroid,paired same split/seed
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.09704217805994445,-0.09446838457375761,-0.11339340938638871,-0.08069094673350016,0,0,5,single_centroid,paired same split/seed
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.3282894736842105,-0.33684210526315783,-0.34394736842105267,-0.30907894736842106,0,0,5,single_centroid,paired same split/seed
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.3134615384615385,-0.30833333333333335,-0.34294871794871795,-0.28397435897435896,5,0,0,single_centroid,paired same split/seed
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,-0.005275503008363025,-0.013080188980399643,-0.033112071520264984,0.03216729860790203,1,0,4,single_centroid,paired same split/seed
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.19604719116889144,-0.19499904854781447,-0.210139346421549,-0.18195503591623388,0,0,5,single_centroid,paired same split/seed
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.40551724137931033,-0.40215517241379306,-0.4277586206896552,-0.38275862068965516,0,0,5,single_centroid,paired same split/seed
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.43947368421052635,-0.41973684210526324,-0.4881578947368421,-0.39763157894736845,5,0,0,single_centroid,paired same split/seed
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,-0.0007583127344135577,-8.29472088264005e-05,-0.004654066537711765,0.00313744106888465,2,0,3,single_centroid,paired same split/seed
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.08276695161193356,-0.08198030874807483,-0.10731950184628594,-0.06050893602992864,0,0,5,single_centroid,paired same split/seed
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.177719298245614,-0.1824561403508772,-0.2091228070175438,-0.1463157894736842,0,0,5,single_centroid,paired same split/seed
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.03798245614035088,-0.037500000000000006,-0.046447368421052675,-0.030482456140350844,5,0,0,single_centroid,paired same split/seed
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,-0.03387891938240699,-0.033623800270506154,-0.036104697518210105,-0.03222417451860584,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.15671167836785735,-0.15093565417060062,-0.16933577289070798,-0.14863391214075022,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.2541333333333333,-0.2577777777777778,-0.2618666666666667,-0.24542222222222215,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.06318840579710143,-0.0626086956521739,-0.06626086956521736,-0.06017391304347828,5,0,0,single_centroid,paired same split/seed
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,-0.09772227525001184,-0.09518216587038464,-0.10376629963555788,-0.09203750529938923,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.2213956497935678,-0.2232277518132857,-0.23827443312329652,-0.20272047698341908,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.3098214285714286,-0.3101190476190476,-0.32172619047619044,-0.2960119047619048,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.08213675213675216,-0.0794871794871795,-0.08991452991452994,-0.07555555555555557,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,0.031175326997604592,0.03446788049047056,-0.0007329299197509354,0.06308358391496012,3,0,2,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.07560665095229632,-0.08949257926066057,-0.09156663497847314,-0.04925923536644956,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.2650666666666667,-0.246,-0.3217333333333333,-0.2174666666666666,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.12924444444444447,-0.14666666666666672,-0.18844444444444447,-0.07004444444444449,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,oos_f1,5,0.026974668998174557,0.027621753205105515,-0.007655130568060086,0.06962145712564538,4,0,1,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,f1_all,5,-0.16635464295896576,-0.15605401303467759,-0.19932765230388275,-0.1384321165735345,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,id_recall,5,-0.36760000000000004,-0.3450000000000001,-0.4138666666666667,-0.33819999999999995,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,false_accept_rate,5,-0.27846666666666664,-0.26933333333333326,-0.3405999999999999,-0.2192,5,0,0,single_centroid,paired same split/seed
