dataset,kir,method,method_label,n_seeds,oos_f1_mean,oos_f1_std,known_recall_mean,known_recall_std,f1_all_mean,f1_all_std,accuracy_mean,accuracy_std,false_accept_mean,false_accept_std,auroc_mean,auroc_std
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.8555543863002324,0.004191319483426528,0.5334222222222222,0.018977309387922688,0.645981713026754,0.02172674348257144,0.7985263157894738,0.007281864206502728,0.02498550724637676,0.0032497394592867087,0.9052768824476651,0.008643313353790138
clinc150,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.8332324302971947,0.002951150958467956,0.42239999999999994,0.015060700228011441,0.5640931010016157,0.01571056844862137,0.7591578947368421,0.005465975228213593,0.01686956521739124,0.0026911291335501852,0.8898238711755233,0.005910113787255625
clinc150,0.5,random_partition,Random partition,5,0.8906911053121688,0.005027811945926702,0.7947555555555555,0.014258287605182454,0.8075070935100765,0.009318873313704169,0.8555438596491228,0.0047507916756147845,0.08962318840579706,0.0035464333725641565,0.9302566698872786,0.005012555387611093
clinc150,0.5,single_centroid,Single centroid,5,0.8894333056826393,0.005027522658010518,0.7875555555555556,0.013799266396675567,0.8026933913946113,0.010823184897063309,0.8531578947368421,0.005883081627055182,0.0881739130434782,0.0042173664026357825,0.9289202705314009,0.005174136611141694
clinc150,0.75,fixed_k2,Fixed K=2,5,0.8150384507030115,0.00630494099801557,0.7580357142857143,0.009493534468890832,0.8143458841089413,0.0069015082992210436,0.8151929824561404,0.0064443542303786235,0.0732478632478632,0.004952473369510488,0.9182304385429386,0.003402845931151549
clinc150,0.75,mogb_minilm,MOGB-MiniLM,5,0.6593154230507091,0.004187552090302015,0.29196428571428573,0.012156927538988137,0.4179709109786164,0.01552778390349888,0.5781754385964912,0.00747582540779645,0.00829059829059824,0.003359528890091204,0.8643049450549449,0.01180926068657238
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7197434059711283,0.0059448223178597435,0.4808928571428572,0.020381364384464945,0.5960139307329898,0.023306568462890812,0.6826666666666668,0.010703479872400598,0.018888888888888837,0.004288435454462243,0.8967573768823769,0.010832451294774045
clinc150,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7004044722488025,0.003855913011152742,0.4284523809523809,0.012483336398644535,0.5692900146575266,0.012163796573414345,0.6508771929824562,0.0068105434890462,0.018803418803418757,0.0028507829196851367,0.8802616758241758,0.008341803981055886
clinc150,0.75,random_partition,Random partition,5,0.8220513451445486,0.009384997678589673,0.8004761904761905,0.00947392067216599,0.823453472957717,0.008768990439803444,0.8222105263157895,0.008975360410067782,0.10222222222222217,0.00939879519714436,0.9227625152625153,0.004437779709692995
clinc150,0.75,single_centroid,Single centroid,5,0.8174656812211403,0.007954970381519962,0.7907142857142857,0.010045249099870967,0.8174095805265577,0.0073057739131530556,0.8170877192982455,0.007621590559671943,0.101025641025641,0.005658158390654235,0.9199905118030118,0.004358024752138863
