dataset,kir,method,scope,protocol,n,source,oos_f1,oos_f1_std,known_recall,known_recall_std,auroc,auroc_std,aupr_oos,aupr_oos_std,distance,k_gate,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std
clinc150,0.75,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7917798038171507,0.0064131173793076,0.7511904761904762,0.0023622779563076,0.908626362928349,0.0087585120994728,0.8385431666721491,0.0132799781026305,euclidean,2.0,,,,,,,,,,
clinc150,0.75,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7835562257872972,0.0085262012567056,0.730456349206349,0.0010452037453226,0.8976531671858775,0.0072121528171789,0.8093789781379449,0.0046909625066201,euclidean,3.0,,,,,,,,,,
clinc150,0.75,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7687704604178668,0.0046041191404063,0.685218253968254,0.0014681198994988,0.8956972722889779,0.005787425647013,0.8140478330171984,0.0052400138318062,euclidean,4.0,,,,,,,,,,
clinc150,0.75,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7580791139108815,0.0086616609570956,0.6618055555555555,0.0042334500582047,0.8839640817386144,0.0066684616000819,0.7857001833551965,0.0125414965961872,euclidean,5.0,,,,,,,,,,
clinc150,0.75,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7895486942872648,0.0111599935071863,0.7481150793650794,0.0044675913687292,0.9000798750185433,0.0120613691884096,0.8156008083505818,0.013836078751529,mahalanobis_diag,1.0,,,,,,,,,,
clinc150,0.75,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7784911259168207,0.0104702177767606,0.7064484126984127,0.0029811466669279,0.902424575359739,0.0123853948833094,0.8225541185757205,0.018638631501686,mahalanobis_diag,2.0,,,,,,,,,,
clinc150,0.75,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.761533695424537,0.0088015616151978,0.6599206349206349,0.0026840772338231,0.8916681037679869,0.0076946600967399,0.8020881889502306,0.0081628582172811,mahalanobis_diag,3.0,,,,,,,,,,
clinc150,0.75,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7380549693358472,0.0079954553253631,0.6037698412698412,0.0024056261216234,0.8768765298175345,0.0056357818750233,0.7698007752566124,0.005079168960399,mahalanobis_diag,4.0,,,,,,,,,,
clinc150,0.75,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7284506224585531,0.0083163599332392,0.5665674603174603,0.0049114657914629,0.8693729138851802,0.0082716128540213,0.7451158654749501,0.0102903901954424,mahalanobis_diag,5.0,,,,,,,,,,
stackoverflow,0.25,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.934737142728324,0.0262744944614672,0.8418743865067638,0.0054511625198182,0.9366833321852578,0.0103367467659027,0.968514899622836,0.0049723594334383,euclidean,1.0,,,,,,,,,,
stackoverflow,0.25,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8611619254231769,0.0553435154061164,0.8447582018651829,0.0137792195666518,0.8955444338453876,0.0248220448875669,0.9370139435980596,0.0164740161704351,euclidean,2.0,,,,,,,,,,
stackoverflow,0.25,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7637616323880412,0.0332231984630308,0.8481038750026135,0.0120822871158153,0.8560632792863011,0.022885616343884,0.9124568205998372,0.0106040186596565,euclidean,3.0,,,,,,,,,,
stackoverflow,0.25,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7561135850988542,0.034827806731378,0.8358523860620292,0.0079575729688003,0.8376560269359352,0.0215415287579602,0.900507589354989,0.0099967676429562,euclidean,4.0,,,,,,,,,,
stackoverflow,0.25,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7543375549370174,0.0327327751121662,0.8314012639671677,0.0028650239266942,0.8406596086960726,0.0170725715960789,0.9083425953415012,0.0054922165135318,euclidean,5.0,,,,,,,,,,
stackoverflow,0.25,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9385207147185748,0.0244656346068138,0.8307401143942981,0.0187637344871933,0.9377389443444984,0.0116874919612441,0.9697398167842728,0.004487674578538,mahalanobis_diag,1.0,,,,,,,,,,
stackoverflow,0.25,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8990379386207786,0.0292540066900295,0.8603495567157146,0.0174046629829758,0.9267772078634224,0.0177784775406274,0.9644383296996616,0.0071533500325074,mahalanobis_diag,2.0,,,,,,,,,,
stackoverflow,0.25,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.831944372075908,0.0344082446664866,0.8908751248420428,0.0163658779093653,0.9134158636256864,0.0183084280133762,0.9609938792577856,0.0064400444358793,mahalanobis_diag,3.0,,,,,,,,,,
stackoverflow,0.25,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8298595573711113,0.037527149025598,0.888209217474819,0.0267929740495481,0.909702918627603,0.0208575780218292,0.9589243664328988,0.0083447728591823,mahalanobis_diag,4.0,,,,,,,,,,
stackoverflow,0.25,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8351990739601325,0.0297482965502378,0.8783972504737073,0.0156985834020064,0.9063044275215768,0.0242399840005602,0.9564385443256992,0.0102715808160039,mahalanobis_diag,5.0,,,,,,,,,,
stackoverflow,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7736145825022875,0.059093627463054,0.8663010853341473,0.0059483552158483,0.8957816518960855,0.018702018188648,0.8380550466483238,0.0306212294549234,euclidean,1.0,,,,,,,,,,
stackoverflow,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.6479809652426732,0.0748635175780566,0.8616258095482366,0.0050269470457894,0.8372431936197945,0.0452882598478383,0.7599535482287264,0.0446691462094367,euclidean,2.0,,,,,,,,,,
stackoverflow,0.5,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.5519198883517542,0.0269852135554783,0.8541665939777437,0.0070333410390333,0.7941860365152152,0.0181858371612437,0.7060157072226146,0.0055416814830228,euclidean,3.0,,,,,,,,,,
stackoverflow,0.5,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.5289504566759945,0.0554297419374603,0.8433693351286999,0.0069009235961957,0.7759381844494628,0.0397169549099317,0.6794237826726285,0.0334011652168907,euclidean,4.0,,,,,,,,,,
stackoverflow,0.5,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.5566818881166581,0.0488343445257312,0.840253958886018,0.0044395810395702,0.7851692277559844,0.0377712712312019,0.6972794626681754,0.0347840918239703,euclidean,5.0,,,,,,,,,,
stackoverflow,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.790219571500888,0.0462901246049689,0.8322375535749171,0.0032941275542504,0.8874807075983998,0.0237726715474612,0.8432654185602594,0.0437806492931683,mahalanobis_diag,1.0,,,,,,,,,,
stackoverflow,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.727983150467729,0.0701578367038165,0.8725344762740771,0.0112342868317318,0.8740416862320437,0.0389288722558902,0.8340180271394653,0.0411651629669641,mahalanobis_diag,2.0,,,,,,,,,,
