dataset,kir,seed,variant,selection,checkpoint,gate_config,threshold,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
stackoverflow,0.75,87,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir75_seed87/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,86.24531388715376,74.37831796591226,82.65442404006677,85.50362664207616,83.2851101713777,11.088844355377422
stackoverflow,0.75,87,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9824197232648693,81.99803824856204,61.393728222996515,76.74457429048414,80.71026887196417,89.04963276207434,41.14896459585838
stackoverflow,0.75,87,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.49649322032928467,82.62385741805922,49.90373507893723,74.7746243739566,80.57884977186409,89.93990652125528,56.71342685370742
stackoverflow,0.75,87,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9824197232648693}",0.9824197232648693,83.50816242520044,61.393728222996515,77.72954924874792,82.12601028756268,89.04963276207434,41.14896459585838
stackoverflow,0.75,87,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2655367851257324,75.55669684658551,17.12099473935916,64.34056761268782,71.90446546488387,90.76340974849766,88.04275217100869
banking77_oos,0.25,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/banking77_oos_kir25_seed13_all6/checkpoint.pt,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 4.2872591767366774}",4.2872591767366774,54.633080187752434,89.94278831677207,82.91666666666667,57.349211582292405,88.54166666666666,17.02777777777778
banking77_oos,0.25,13,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 4.2872591767366774}",9.28438836262511,48.24397687235124,86.11588317975949,77.47549019607844,51.15720043445957,90.41666666666667,23.416666666666668
banking77_oos,0.25,13,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.55271777510643,34.290108975284056,69.36353829557713,57.40196078431372,36.98806507684506,93.125,46.416666666666664
banking77_oos,0.25,13,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 9.28438836262511}",9.28438836262511,52.19993413453997,86.11588317975949,77.86764705882354,54.808853291864544,90.41666666666667,23.416666666666668
banking77_oos,0.25,13,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.271647572517395,22.865179867313014,39.52359947066608,31.715686274509803,24.14659675987863,92.08333333333333,75.1111111111111
banking77_oos,0.25,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/banking77_oos_kir25_seed42_all6/checkpoint.pt,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 9.252482570640526}",9.252482570640526,48.58500113660115,86.09333541439051,77.30392156862746,51.47025761950803,89.79166666666667,23.38888888888889
banking77_oos,0.25,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 9.252482570640526}",20.42151507141344,35.71326099164079,74.19742489270386,62.205882352941174,38.67358129172257,86.66666666666667,39.97222222222222
banking77_oos,0.25,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.5295362174510956,37.54679015894578,75.57980900409277,63.995098039215684,40.47240699318786,90.0,38.44444444444444
banking77_oos,0.25,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 20.42151507141344}",20.42151507141344,36.42114587997401,74.19742489270386,62.450980392156865,39.32701349633785,86.66666666666667,39.97222222222222
banking77_oos,0.25,42,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2719308137893677,24.30609757653936,43.427835051546396,34.19117647058824,25.777000459232212,90.625,71.91666666666666
banking77_oos,0.25,87,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/banking77_oos_kir25_seed87_all6/checkpoint.pt,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 5.002357056222368}",5.002357056222368,57.70645261282644,91.16817574588096,84.75490196078431,60.280431315369086,86.25,14.694444444444443
banking77_oos,0.25,87,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 5.002357056222368}",12.692817299609967,43.53620692365876,82.62955854126679,72.52450980392156,46.54338781732091,85.625,28.249999999999996
banking77_oos,0.25,87,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.48097866773605347,40.686082912889496,75.9850543478261,64.73039215686275,43.40138840788462,89.375,37.861111111111114
banking77_oos,0.25,87,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 4, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 12.692817299609967}",12.692817299609967,47.199411599343904,82.62955854126679,72.91666666666666,49.924807517953354,85.625,28.249999999999996
banking77_oos,0.25,87,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2864593267440796,23.392878527957336,39.258114374034,31.274509803921568,24.61328128534785,91.66666666666666,75.30555555555556
banking77_oos,0.5,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/banking77_oos_kir50_seed13_compact_margin/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 1.0, 'threshold': 6.749317237258335}",6.749317237258335,62.74942964916953,82.93672754104409,75.1470588235294,63.52586418347239,90.7,27.01298701298701
