dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d,bootstrap_seed,bootstrap_samples
banking77,0.5,single_centroid,f1_all,5,0.07159613589604999,0.06754332852511014,0.016965706510550006,0.061808446505057194,0.08657392912397639,5,0,0,4.220050361682753,20260806,10000
banking77,0.5,single_centroid,known_recall,5,-0.028026315789473677,-0.03289473684210531,0.008211833566647357,-0.033947368421052636,-0.021184210526315785,0,0,5,-3.4129181457480477,20260806,10000
banking77,0.5,single_centroid,false_accept_rate,5,-0.19102564102564096,-0.1769230769230769,0.03944001095547908,-0.22628205128205123,-0.16999999999999998,0,0,5,-4.843447970673124,20260806,10000
banking77,0.5,single_centroid,auroc,5,0.0488098009446694,0.04451248313090406,0.01286584563983813,0.04147098515519565,0.060255145074224026,5,0,0,3.793749926047107,20260806,10000
banking77,0.5,single_centroid,aupr_oos,5,0.05872639353055946,0.05500982302135282,0.010458253404267611,0.0523804293814202,0.06796808042327795,5,0,0,5.61531560390337,20260806,10000
banking77,0.5,fixed_k2,oos_f1,5,0.08102491487210714,0.07703483782743159,0.02601641501303108,0.06045571788497554,0.09895093242005967,5,0,0,3.11437662842953,20260806,10000
banking77,0.5,fixed_k2,f1_all,5,0.05509624355484759,0.05597822175125966,0.011250693209497046,0.046722018611790615,0.06383667761097837,5,0,0,4.897142116393256,20260806,10000
banking77,0.5,fixed_k2,known_recall,5,-0.003421052631578947,-0.003947368421052588,0.010478922916252647,-0.011578947368421067,0.00473684210526315,2,0,3,-0.3264698728027618,20260806,10000
banking77,0.5,fixed_k2,false_accept_rate,5,-0.13307692307692304,-0.13205128205128205,0.047584227548359906,-0.16743589743589743,-0.09551282051282048,0,0,5,-2.7966603627573194,20260806,10000
banking77,0.5,fixed_k2,auroc,5,0.04165511133603241,0.04294450067476385,0.013661250452241987,0.031189102564102587,0.05212449392712552,5,0,0,3.0491433768565654,20260806,10000
banking77,0.5,fixed_k2,aupr_oos,5,0.050514404778107716,0.05005919196335229,0.01766536824389732,0.03771486277188527,0.06533322263745615,5,0,0,2.859516092768597,20260806,10000
banking77,0.5,random_partition,oos_f1,5,0.11941976656247251,0.11507569387460281,0.019676090832228394,0.10626106154200006,0.13672781866827782,5,0,0,6.069283150841592,20260806,10000
banking77,0.5,random_partition,f1_all,5,0.06953501225510954,0.060914058978160046,0.01541260873512025,0.06035891131645803,0.08361046996225582,5,0,0,4.511566695173555,20260806,10000
banking77,0.5,random_partition,known_recall,5,-0.0375,-0.03486842105263155,0.007008972287060022,-0.04368421052631579,-0.03302631578947368,0,0,5,-5.350285100888838,20260806,10000
banking77,0.5,random_partition,false_accept_rate,5,-0.20756410256410254,-0.1967948717948718,0.03194019209612572,-0.23602564102564108,-0.1891025641025641,0,0,5,-6.498523926826341,20260806,10000
banking77,0.5,random_partition,auroc,5,0.04572891363022946,0.044497722672064755,0.010969749062164129,0.0388453947368421,0.05506072874493928,5,0,0,4.168638076503821,20260806,10000
banking77,0.5,random_partition,aupr_oos,5,0.05585656230786429,0.05292672742181137,0.00961015161692582,0.048905450401402525,0.0630062598850597,5,0,0,5.812245689182183,20260806,10000
banking77,0.5,mogb_minilm,oos_f1,5,0.08570376379212186,0.09622044476300284,0.017664379841200162,0.06974518504583802,0.09699394989919967,5,0,0,4.851784470362642,20260806,10000
banking77,0.5,mogb_minilm,f1_all,5,0.33072742649414905,0.33353934674742824,0.023472396101378898,0.31199210754911094,0.34929372776613504,5,0,0,14.090058171552426,20260806,10000
banking77,0.5,mogb_minilm,known_recall,5,0.48802631578947375,0.48486842105263167,0.019962525487089933,0.4727631578947368,0.5035526315789473,5,0,0,24.447122990780287,20260806,10000
banking77,0.5,mogb_minilm,false_accept_rate,5,0.1465384615384616,0.13782051282051286,0.02980114347690755,0.12474358974358982,0.17029807692307639,5,0,0,4.9172093564802974,20260806,10000
banking77,0.5,mogb_minilm,auroc,5,0.06579579959514177,0.07026906207827277,0.013533302037405336,0.05470352564102576,0.07500818151147104,5,0,0,4.86176983365077,20260806,10000
banking77,0.5,mogb_minilm,aupr_oos,5,0.09914921652046031,0.11163588266264313,0.020049415074893853,0.08130077131629694,0.11265211132589208,5,0,0,4.945242349968418,20260806,10000
banking77,0.5,mogb_partition_ours_boundary,oos_f1,5,0.04166585883096015,0.048132883637863055,0.01580660197293649,0.027767778858110347,0.052354409998875376,5,0,0,2.6359782388586095,20260806,10000
banking77,0.5,mogb_partition_ours_boundary,f1_all,5,0.16863831395599443,0.1711582019841157,0.01857762231682928,0.15393822241176988,0.18296286027213543,5,0,0,9.077497167289632,20260806,10000
