dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,car_rental,30,22,0.7333333333333333,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,change_ai_name,30,19,0.6333333333333333,16,0.0035087719298245615
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,change_speed,30,18,0.6,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,credit_score,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,current_location,30,14,0.4666666666666667,1,0.0002192982456140351
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,damaged_card,30,17,0.5666666666666667,10,0.0021929824561403508
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,date,30,15,0.5,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,food_last,30,20,0.6666666666666666,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,fun_fact,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,ingredient_substitution,30,23,0.7666666666666667,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,last_maintenance,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,lost_luggage,30,9,0.3,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,maybe,30,16,0.5333333333333333,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,oil_change_how,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,payday,30,18,0.6,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,plug_type,30,20,0.6666666666666666,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,pto_request_status,30,14,0.4666666666666667,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,pto_used,30,10,0.3333333333333333,7,0.0015350877192982456
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,replacement_card_duration,30,23,0.7666666666666667,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,restaurant_reservation,30,24,0.8,2,0.0004385964912280702
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,rewards_balance,30,11,0.36666666666666664,2,0.0004385964912280702
