dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path
clinc150,0.5,123,fixed_k2,Frozen K=2,5700,2250,3450,0.8893799199005662,0.7462222222222222,0.06666666666666667,0.25377777777777777,0.8893799199005662,0.7462222222222222,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/fixed_k2/predictions.tsv
clinc150,0.5,123,random_partition,Random K=2,5700,2250,3450,0.894237576100807,0.7977777777777778,0.08463768115942029,0.20222222222222222,0.894237576100807,0.7977777777777778,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/random_partition/predictions.tsv
clinc150,0.5,123,mogb_minilm,MOGB-MiniLM,5700,2250,3450,0.8113744075829384,0.304,0.007536231884057971,0.696,0.8113744075829384,0.304,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/mogb_minilm/predictions.tsv
clinc150,0.5,123,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8530937618625838,0.5191111111111111,0.02289855072463768,0.48088888888888887,0.8530937618625838,0.5191111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.5,123,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8310479921645446,0.41155555555555556,0.016231884057971015,0.5884444444444444,0.8310479921645446,0.4115555555555555,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.75,13,trainable_k1,Trainable K=1,5700,3360,2340,0.8230088495575221,0.7464285714285714,0.046153846153846156,0.25357142857142856,0.8230088495575221,0.7464285714285714,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.75/runs/clinc150/seed_13/predictions.jsonl
clinc150,0.75,13,single_centroid,Frozen K=1,5700,3360,2340,0.8122102009273571,0.781547619047619,0.10170940170940171,0.21845238095238095,0.8122102009273571,0.781547619047619,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.75/seed_13/single_centroid/predictions.tsv
clinc150,0.75,13,fixed_k2,Frozen K=2,5700,3360,2340,0.8166102968808718,0.7592261904761904,0.07136752136752136,0.24077380952380953,0.8166102968808718,0.7592261904761904,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.75/seed_13/fixed_k2/predictions.tsv
clinc150,0.75,13,random_partition,Random K=2,5700,3360,2340,0.818022235225278,0.7946428571428571,0.10384615384615385,0.20535714285714285,0.818022235225278,0.7946428571428572,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.75/seed_13/random_partition/predictions.tsv
clinc150,0.75,13,mogb_minilm,MOGB-MiniLM,5700,3360,2340,0.655469301340861,0.2788690476190476,0.007692307692307693,0.7211309523809524,0.655469301340861,0.2788690476190476,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.75/seed_13/mogb_minilm/predictions.tsv
