dataset,kir,seed,k,radius_lambda,distance,radius_method,threshold,calibration_known_recall,calibration_false_reject_rate,test_used_for_selection,oos_used_for_training,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,test_false_accept_rate,test_false_reject_rate,test_f1_all,test_f1_u,test_f1_k,test_accuracy,test_known_recall,known_only_selected_lambda,known_only_selection_constraint_met
banking77,0.5,87,2,1.25,mahalanobis_diag,mean_std,1.0,0.8495934959349594,0.1504065040650406,False,False,0.8420373952288845,0.8371794871794872,0.8396014143362263,0.8388157894736842,0.8371794871794872,0.9059758771929824,0.8764815171854914,0.2986842105263158,0.1628205128205128,0.1611842105263158,0.8234988523393261,0.8396014143362263,0.8230751007078286,0.8256493506493506,0.8388157894736842,2.0,False
banking77,0.5,87,2,1.5,mahalanobis_diag,mean_std,1.0,0.8739837398373984,0.1260162601626016,False,False,0.8649609097370291,0.7801282051282051,0.8203572632288507,0.875,0.7801282051282051,0.9062706646423752,0.8767024418468626,0.2973684210526315,0.2198717948717948,0.125,0.8245780357423632,0.8203572632288507,0.8246891087032452,0.8126623376623376,0.875,2.0,False
banking77,0.5,87,2,2.0,mahalanobis_diag,mean_std,1.0,0.9308943089430894,0.0691056910569105,False,False,0.8828491096532334,0.6038461538461538,0.7171678720974496,0.9177631578947368,0.6038461538461538,0.9061761977058028,0.8766843891216518,0.3059210526315789,0.3961538461538461,0.0822368421052631,0.790600915547773,0.7171678720974496,0.7925333640596236,0.7392857142857143,0.9177631578947368,2.0,False
clinc150,0.5,13,1,0.5,mahalanobis_diag,mean_std,1.0,0.6086666666666667,0.3913333333333333,False,False,0.8039772727272727,0.9843478260869564,0.8850664581704457,0.632,0.9843478260869564,0.9548650563607084,0.9670636569921645,0.1844444444444444,0.0156521739130434,0.368,0.7577886810570015,0.8850664581704457,0.7560916440288221,0.8449122807017544,0.632,2.0,False
clinc150,0.5,13,1,0.75,mahalanobis_diag,mean_std,1.0,0.6773333333333333,0.3226666666666666,False,False,0.8302955665024631,0.9771014492753624,0.8977363515312916,0.6937777777777778,0.9771014492753624,0.956699388083736,0.9685654862257008,0.1813333333333333,0.0228985507246376,0.3062222222222222,0.7984501354011591,0.8977363515312916,0.7971263191860906,0.864561403508772,0.6937777777777778,2.0,False
clinc150,0.5,13,1,1.0,mahalanobis_diag,mean_std,1.0,0.742,0.258,False,False,0.8535276073619632,0.9678260869565216,0.9070904645476772,0.7453333333333334,0.9678260869565216,0.9580215136876004,0.969613073854642,0.1813333333333333,0.0321739130434782,0.2546666666666666,0.8261993158424226,0.9070904645476772,0.8251207671930192,0.878421052631579,0.7453333333333334,2.0,False
clinc150,0.5,13,1,1.25,mahalanobis_diag,mean_std,1.0,0.7973333333333333,0.2026666666666666,False,False,0.8802027748132337,0.956231884057971,0.9166435120866908,0.8004444444444444,0.956231884057971,0.9590077938808372,0.9703832934789126,0.1777777777777777,0.0437681159420289,0.1995555555555555,0.8529347855723345,0.9166435120866908,0.8520853358854764,0.892280701754386,0.8004444444444444,2.0,False
clinc150,0.5,13,1,1.5,mahalanobis_diag,mean_std,1.0,0.8373333333333334,0.1626666666666666,False,False,0.909704641350211,0.937391304347826,0.9233404710920772,0.8573333333333333,0.937391304347826,0.9596778099838972,0.9708855829692512,0.1755555555555555,0.0626086956521739,0.1426666666666666,0.8742568949189832,0.9233404710920772,0.8736024472366752,0.9021052631578949,0.8573333333333333,2.0,False
clinc150,0.5,13,1,2.0,mahalanobis_diag,mean_std,1.0,0.9133333333333332,0.0866666666666666,False,False,0.944478716841456,0.887536231884058,0.9151225343693964,0.92,0.887536231884058,0.96039884057971,0.9714072974356912,0.1724444444444444,0.112463768115942,0.08,0.8823186549497369,0.9151225343693964,0.8818812698908081,0.8957894736842106,0.92,2.0,False
clinc150,0.5,13,2,0.5,mahalanobis_diag,mean_std,1.0,0.5793333333333333,0.4206666666666667,False,False,0.7864391143911439,0.9884057971014492,0.8759311584895967,0.5884444444444444,0.9884057971014492,0.9561323027375204,0.9671156258412834,0.1773333333333333,0.0115942028985507,0.4115555555555555,0.7259038186781247,0.8759311584895967,0.7239034541473051,0.8303508771929825,0.5884444444444444,2.0,False
clinc150,0.5,13,2,0.75,mahalanobis_diag,mean_std,1.0,0.642,0.358,False,False,0.8156062424969988,0.9846376811594204,0.8921864740643467,0.6586666666666667,0.9846376811594204,0.9574476006441224,0.9680015806827628,0.1742222222222222,0.0153623188405797,0.3413333333333333,0.7765899025384589,0.8921864740643467,0.7750486149181138,0.8552631578947368,0.6586666666666667,2.0,False
clinc150,0.5,13,2,1.0,mahalanobis_diag,mean_std,1.0,0.7133333333333334,0.2866666666666667,False,False,0.8439219609804902,0.9779710144927536,0.9060150375939848,0.7226666666666667,0.9779710144927536,0.9582955233494366,0.9685076330661097,0.1737777777777777,0.0220289855072463,0.2773333333333333,0.816517238689618,0.9060150375939848,0.8153239347042264,0.8759649122807017,0.7226666666666667,2.0,False
clinc150,0.5,13,2,1.25,mahalanobis_diag,mean_std,1.0,0.7686666666666666,0.2313333333333333,False,False,0.8682774746687452,0.9686956521739132,0.9157418824496506,0.7746666666666666,0.9686956521739132,0.958820611916264,0.9687608225906764,0.1751111111111111,0.0313043478260869,0.2253333333333333,0.8436442417577709,0.9157418824496506,0.8426829398818791,0.8901754385964912,0.7746666666666666,2.0,False
clinc150,0.5,13,2,1.5,mahalanobis_diag,mean_std,1.0,0.8193333333333334,0.1806666666666666,False,False,0.8916938110749185,0.9521739130434784,0.92094196804037,0.8226666666666667,0.9521739130434784,0.9590476006441224,0.9687912049773236,0.1728888888888889,0.0478260869565217,0.1773333333333333,0.8638862879963717,0.92094196804037,0.8631255455957851,0.8985964912280702,0.8226666666666667,2.0,False
clinc150,0.5,13,2,2.0,mahalanobis_diag,mean_std,1.0,0.8873333333333333,0.1126666666666666,False,False,0.9304062126642773,0.9028985507246376,0.9164460135333922,0.8964444444444445,0.9028985507246376,0.9590751690821256,0.9685847265017504,0.1764444444444444,0.0971014492753623,0.1035555555555555,0.8759082631084268,0.9164460135333922,0.8753677597694273,0.8959649122807017,0.8964444444444445,2.0,False
clinc150,0.5,42,1,0.5,mahalanobis_diag,mean_std,1.0,0.5933333333333333,0.4066666666666667,False,False,0.7915103189493433,0.9782608695652174,0.8750324086077262,0.6048888888888888,0.9782608695652174,0.9410153945249596,0.9554554378450292,0.2733333333333333,0.0217391304347826,0.3951111111111111,0.7273143832576403,0.8750324086077262,0.7253448095863059,0.8285964912280702,0.6048888888888888,2.0,False
clinc150,0.5,42,1,0.75,mahalanobis_diag,mean_std,1.0,0.6666666666666667,0.3333333333333333,False,False,0.8210241260462826,0.9666666666666668,0.8879126730564431,0.6768888888888889,0.9666666666666668,0.9440304025764896,0.95788657601279,0.2662222222222222,0.0333333333333333,0.3231111111111111,0.7743203404552588,0.8879126730564431,0.7728057760205763,0.8494736842105263,0.6768888888888889,2.0,False
clinc150,0.5,42,1,1.0,mahalanobis_diag,mean_std,1.0,0.742,0.258,False,False,0.8483595970033583,0.9518840579710144,0.8971451987433411,0.739111111111111,0.9518840579710144,0.9461893719806764,0.9595486046293606,0.2555555555555555,0.0481159420289855,0.2608888888888889,0.8075141354234163,0.8971451987433411,0.8063190545791508,0.8642105263157894,0.739111111111111,2.0,False
clinc150,0.5,42,1,1.25,mahalanobis_diag,mean_std,1.0,0.8033333333333333,0.1966666666666666,False,False,0.8695302013422819,0.9388405797101448,0.9028571428571428,0.784,0.9388405797101448,0.9477478904991948,0.9607274745501676,0.2497777777777777,0.061159420289855,0.216,0.8289657976728328,0.9028571428571428,0.8279805797370421,0.8735087719298246,0.784,2.0,False
clinc150,0.5,42,1,1.5,mahalanobis_diag,mean_std,1.0,0.846,0.154,False,False,0.8974576271186441,0.9208695652173912,0.9090128755364808,0.8386666666666667,0.9208695652173912,0.9488953301127216,0.9615502958308686,0.2448888888888888,0.0791304347826087,0.1613333333333333,0.8502357478525608,0.9090128755364808,0.8494520528167753,0.8826315789473684,0.8386666666666667,2.0,False
clinc150,0.5,42,1,2.0,mahalanobis_diag,mean_std,1.0,0.9066666666666666,0.0933333333333333,False,False,0.931174089068826,0.8666666666666667,0.8977630986338387,0.9017777777777778,0.8666666666666667,0.9503998711755232,0.9626256768152178,0.2333333333333333,0.1333333333333333,0.0982222222222222,0.8550218401908015,0.8977630986338387,0.8544519567448943,0.871578947368421,0.9017777777777778,2.0,False
