dataset,kir,distance,seed,best_k,best_k_oos_f1,k1_oos_f1,delta_oos_f1_vs_k1,selection_note
clinc150,0.80,euclidean,13,2,0.7832340250667763,0.7741386643981285,0.0090953606686478,test-set oracle for sensitivity analysis only
clinc150,0.80,euclidean,42,1,0.7889869693148382,0.7889869693148382,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,euclidean,87,1,0.809363137916491,0.809363137916491,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,euclidean,100,1,0.8083933870284018,0.8083933870284018,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,euclidean,123,1,0.7897522760957019,0.7897522760957019,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,mahalanobis_diag,13,1,0.7721102426984779,0.7721102426984779,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,mahalanobis_diag,42,1,0.7829426030719483,0.7829426030719483,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,mahalanobis_diag,87,1,0.8014646053702198,0.8014646053702198,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,mahalanobis_diag,100,1,0.8052373158756139,0.8052373158756139,0.0,test-set oracle for sensitivity analysis only
clinc150,0.80,mahalanobis_diag,123,1,0.7877060858945654,0.7877060858945654,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,euclidean,13,1,0.7404233870967741,0.7404233870967741,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,euclidean,42,1,0.7474342928660827,0.7474342928660827,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,euclidean,87,1,0.7648221343873518,0.7648221343873518,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,euclidean,100,1,0.7644690488173127,0.7644690488173127,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,euclidean,123,1,0.7532011046949536,0.7532011046949536,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,mahalanobis_diag,13,1,0.727843516058923,0.727843516058923,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,mahalanobis_diag,42,1,0.7371195782410734,0.7371195782410734,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,mahalanobis_diag,87,1,0.7502378686964796,0.7502378686964796,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,mahalanobis_diag,100,1,0.7509060159458806,0.7509060159458806,0.0,test-set oracle for sensitivity analysis only
clinc150,0.90,mahalanobis_diag,123,1,0.7439520958083833,0.7439520958083833,0.0,test-set oracle for sensitivity analysis only
