dataset,kir,seed,distance,metric,ce_recon,ce_recon_geometry,geometry_minus_ce_recon
stackoverflow,0.25,123,mahalanobis_diag,aupr_oos,0.9606983409072916,0.9498603335602568,-0.010838007347034773
stackoverflow,0.25,13,mahalanobis_diag,oos_f1,0.942130400977452,0.941803642825411,-0.0003267581520410845
stackoverflow,0.25,13,mahalanobis_diag,near_oos_f1,0.732824427480916,0.7299509001636661,-0.00287352731724988
stackoverflow,0.25,13,mahalanobis_diag,id_recall,0.8253333333333334,0.8240000000000001,-0.0013333333333332975
stackoverflow,0.25,13,mahalanobis_diag,false_accept_rate,0.0575555555555555,0.0577777777777777,0.00022222222222220006
stackoverflow,0.25,13,mahalanobis_diag,false_reject_rate,0.1746666666666666,0.176,0.0013333333333333808
stackoverflow,0.25,13,mahalanobis_diag,auroc,0.9274477037037036,0.9220183703703704,-0.005429333333333175
stackoverflow,0.25,13,mahalanobis_diag,aupr_oos,0.956817588862054,0.9544480713984216,-0.0023695174636324534
stackoverflow,0.25,42,mahalanobis_diag,oos_f1,0.960385204639965,0.9598160516807184,-0.0005691529592466438
stackoverflow,0.25,42,mahalanobis_diag,near_oos_f1,0.815653964984552,0.8144329896907216,-0.001220975293830362
stackoverflow,0.25,42,mahalanobis_diag,id_recall,0.8333333333333334,0.8333333333333334,0.0
stackoverflow,0.25,42,mahalanobis_diag,false_accept_rate,0.0248888888888888,0.026,0.001111111111111198
stackoverflow,0.25,42,mahalanobis_diag,false_reject_rate,0.1666666666666666,0.1666666666666666,0.0
stackoverflow,0.25,42,mahalanobis_diag,auroc,0.9428571851851852,0.939748,-0.003109185185185215
stackoverflow,0.25,42,mahalanobis_diag,aupr_oos,0.9703101074018152,0.9662075364298408,-0.0041025709719744174
stackoverflow,0.25,87,mahalanobis_diag,oos_f1,0.9647779479326188,0.9608337904552936,-0.003944157477325239
stackoverflow,0.25,87,mahalanobis_diag,near_oos_f1,0.8401639344262295,0.8221876620010368,-0.01797627242519273
stackoverflow,0.25,87,mahalanobis_diag,id_recall,0.8453333333333333,0.8426666666666667,-0.002666666666666595
stackoverflow,0.25,87,mahalanobis_diag,false_accept_rate,0.02,0.0268888888888888,0.006888888888888799
stackoverflow,0.25,87,mahalanobis_diag,false_reject_rate,0.1546666666666666,0.1573333333333333,0.002666666666666706
stackoverflow,0.25,87,mahalanobis_diag,auroc,0.9490825185185184,0.9449066666666668,-0.004175851851851653
stackoverflow,0.25,87,mahalanobis_diag,aupr_oos,0.9711655753518036,0.967280127791199,-0.0038854475606046046
stackoverflow,0.5,100,mahalanobis_diag,oos_f1,0.9152060634770252,0.914714151827554,-0.0004919116494711551
stackoverflow,0.5,100,mahalanobis_diag,near_oos_f1,0.6619263089851325,0.6625155666251556,0.0005892576400231553
stackoverflow,0.5,100,mahalanobis_diag,id_recall,0.855,0.842,-0.013000000000000012
stackoverflow,0.5,100,mahalanobis_diag,false_accept_rate,0.034,0.024,-0.010000000000000002
stackoverflow,0.5,100,mahalanobis_diag,false_reject_rate,0.145,0.158,0.013000000000000012
stackoverflow,0.5,100,mahalanobis_diag,auroc,0.9395273333333334,0.933796222222222,-0.005731111111111353
stackoverflow,0.5,100,mahalanobis_diag,aupr_oos,0.8948567608945789,0.8757292869733799,-0.019127473921198956
stackoverflow,0.5,123,mahalanobis_diag,oos_f1,0.8742301458670989,0.8800256287041487,0.005795482837049781
