dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
clinc150,50,87,frozen,k2,2,1,0.8301986754966887,0.9643076923076923,0.8922419928825622,0.7151111111111111,0.9643076923076923,0.9158283760683761,0.914249795177502,0.23377777777777778,0.5146962769431744,0.8443810881444523,0.7502921698480717,1.0,,complete
clinc150,50,87,frozen,frozen_selected_k,1,1,0.8431642778390298,0.9412307692307692,0.8895027624309392,0.7471111111111111,0.9412307692307692,0.9109910427350428,0.9060497723851522,0.27955555555555556,0.48828956706884313,0.8521400778210116,0.7719438877755511,1.0,,complete
banking77_oos,50,13,frozen,k1,1,4,0.9613423959218351,0.7347402597402597,0.8329039381670961,0.909,0.7347402597402597,0.9120743506493507,0.9686352987206025,0.411,0.1040650406504065,0.8301743745261562,0.9614896318239526,1.0,,complete
banking77_oos,50,13,frozen,k2,2,4,0.9509251810136766,0.7675324675324675,0.8494430470715055,0.878,0.7675324675324675,0.9114525974025973,0.9688618272180627,0.407,0.3178082191780822,0.8293045741911491,0.9477206189878712,1.0,,complete
banking77_oos,50,13,frozen,frozen_selected_k,4,4,0.9294075913444484,0.8506493506493507,0.8882861501949483,0.801,0.8506493506493507,0.9052113636363637,0.9672892431242557,0.493,0.48630887185104055,0.8680150839904011,0.9177138224564249,1.0,,complete
banking77_oos,50,42,frozen,k1,1,5,0.9517078916372202,0.787012987012987,0.8615603341034299,0.877,0.787012987012987,0.9132051948051949,0.968195046791366,0.375,0.13114754098360656,0.8686440677966102,0.9494035376388318,1.0,,complete
banking77_oos,50,42,frozen,k2,2,5,0.9362204724409449,0.772077922077922,0.8462633451957295,0.838,0.772077922077922,0.9018785714285713,0.9635389047082874,0.377,0.34959349593495936,0.8039358600583091,0.9309504467912266,1.0,,complete
banking77_oos,50,42,frozen,frozen_selected_k,5,5,0.9113965744400527,0.8983766233766234,0.9048397645519948,0.731,0.8983766233766234,0.9071555194805194,0.9666784653626492,0.423,0.5608040201005026,0.8675089083252349,0.8934681181959565,1.0,,complete
banking77_oos,50,87,frozen,k1,1,1,0.9513665594855305,0.7685064935064935,0.8502155172413793,0.879,0.7685064935064935,0.9088487012987013,0.9670200006811454,0.385,0.09895052473763119,0.8680089485458613,0.9508329947175945,1.0,,complete
banking77_oos,50,87,frozen,k2,2,1,0.9491201224177506,0.8055194805194805,0.8714436248682824,0.867,0.8055194805194805,0.9120366883116884,0.9685789027947492,0.398,0.4186046511627907,0.8543616622987645,0.9457928802588996,1.0,,complete
banking77_oos,50,87,frozen,frozen_selected_k,1,1,0.9513665594855305,0.7685064935064935,0.8502155172413793,0.879,0.7685064935064935,0.9088487012987013,0.9670200006811454,0.385,0.09895052473763119,0.8680089485458613,0.9508329947175945,1.0,,complete
stackoverflow,50,13,frozen,k1,1,2,0.8148287542340986,0.7231128924515698,0.7662360644133782,0.835781041388518,0.7231128924515698,0.882464194075735,0.8409754767124513,0.2780373831775701,0.3402985074626866,0.7453996154902499,0.7013301088270859,1.0,,complete
stackoverflow,50,13,frozen,k2,2,2,0.8419465977605513,0.6529726118904475,0.735515425131678,0.8775033377837116,0.6529726118904475,0.8899441071729575,0.8465934536530902,0.2987316421895861,0.3806398687448728,0.7217288336293665,0.6937370956641431,1.0,,complete
stackoverflow,50,13,frozen,frozen_selected_k,2,2,0.8419465977605513,0.6529726118904475,0.735515425131678,0.8775033377837116,0.6529726118904475,0.8899441071729575,0.8465934536530902,0.2987316421895861,0.3806398687448728,0.7217288336293665,0.6937370956641431,1.0,,complete
stackoverflow,50,42,frozen,k1,1,1,0.8335504885993485,0.8538538538538538,0.8435800230756552,0.8292682926829268,0.8538538538538538,0.9133612953637457,0.8881461000338005,0.2509188105579686,0.40509915014164305,0.8392116182572614,0.7193849533223503,1.0,,complete
stackoverflow,50,42,frozen,k2,2,1,0.8426966292134831,0.7507507507507507,0.7940709370037057,0.8596725693284331,0.7507507507507507,0.902501900497223,0.8674287348600297,0.28399599064483794,0.40030911901081917,0.7752424415288077,0.7404803749267721,1.0,,complete
stackoverflow,50,42,frozen,frozen_selected_k,1,1,0.8335504885993485,0.8538538538538538,0.8435800230756552,0.8292682926829268,0.8538538538538538,0.9133612953637457,0.8881461000338005,0.2509188105579686,0.40509915014164305,0.8392116182572614,0.7193849533223503,1.0,,complete
stackoverflow,50,87,frozen,k1,1,1,0.8100263852242744,0.7172897196261683,0.7608426270136307,0.8316633266533067,0.7172897196261683,0.8666166333557189,0.800674678934526,0.3092852371409486,0.4397463002114165,0.7091611479028698,0.6840148698884758,1.0,,complete
stackoverflow,50,87,frozen,k2,2,1,0.8200100553041729,0.544392523364486,0.6543630892678034,0.8804275217100869,0.544392523364486,0.8296790510259504,0.7880318929052761,0.564128256513026,0.11012782694198624,0.6595354523227384,0.7025495750708215,1.0,,complete
stackoverflow,50,87,frozen,frozen_selected_k,1,1,0.8100263852242744,0.7172897196261683,0.7608426270136307,0.8316633266533067,0.7172897196261683,0.8666166333557189,0.800674678934526,0.3092852371409486,0.4397463002114165,0.7091611479028698,0.6840148698884758,1.0,,complete
