dataset,kir,method,metric,n_seeds,mean_trainable_minus_baseline,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.5,energy,false_accept_rate,5,-0.21426086956521742,-0.2344927536231885,-0.1940289855072464,0,0,5,20260725,10000
clinc150,0.5,energy,auroc,5,0.001860380032206077,-0.0015598840579708728,0.005605127214170525,3,0,2,20260725,10000
clinc150,0.5,energy,aupr_oos,5,-0.0015557165977435616,-0.005773113869573243,0.003250588025244361,2,0,3,20260725,10000
clinc150,0.5,knn,oos_f1,5,0.16497957513381,0.1376241945211653,0.1885112747759433,5,0,0,20260725,10000
clinc150,0.5,knn,f1_all,5,0.10052459841199582,0.08205702553848286,0.1132053303294928,5,0,0,20260725,10000
clinc150,0.5,knn,known_recall,5,-0.2129777777777778,-0.2153777777777778,-0.20968888888888887,0,0,5,20260725,10000
clinc150,0.5,knn,false_accept_rate,5,-0.3594202898550725,-0.3917681159420291,-0.323536231884058,0,0,5,20260725,10000
clinc150,0.5,knn,auroc,5,0.03208829629629621,0.024708457326892197,0.04086379388083705,5,0,0,20260725,10000
clinc150,0.5,knn,aupr_oos,5,0.01968169495768717,0.01204050057680972,0.027467219032184076,5,0,0,20260725,10000
clinc150,0.5,lof,oos_f1,5,0.24406320776946577,0.20808777445263288,0.29086946777962747,5,0,0,20260725,10000
clinc150,0.5,lof,f1_all,5,0.12478158257916908,0.10794367084788759,0.14254544991996682,5,0,0,20260725,10000
clinc150,0.5,lof,known_recall,5,-0.21688888888888885,-0.22168888888888896,-0.21306666666666665,0,0,5,20260725,10000
clinc150,0.5,lof,false_accept_rate,5,-0.45582608695652177,-0.5091594202898552,-0.4125797101449276,0,0,5,20260725,10000
clinc150,0.5,lof,auroc,5,0.042581101449275294,0.03643286312399356,0.05080023188405778,5,0,0,20260725,10000
clinc150,0.5,lof,aupr_oos,5,0.037026500591133035,0.03162979477228265,0.04605401594925869,5,0,0,20260725,10000
clinc150,0.5,msp,oos_f1,5,0.04860628792755715,0.03755596223135251,0.06142067424964463,5,0,0,20260725,10000
clinc150,0.5,msp,f1_all,5,-0.015405628660719728,-0.027289352761011187,-0.004393968690276173,1,0,4,20260725,10000
clinc150,0.5,msp,known_recall,5,-0.21013333333333337,-0.2147555555555556,-0.20533333333333337,0,0,5,20260725,10000
clinc150,0.5,msp,false_accept_rate,5,-0.1928115942028986,-0.21414492753623193,-0.17489855072463767,0,0,5,20260725,10000
clinc150,0.5,msp,auroc,5,0.000763130434782533,-0.004091954911433238,0.004909681159420231,3,0,2,20260725,10000
clinc150,0.5,msp,aupr_oos,5,-0.0021612333393586035,-0.0074643987171720385,0.003465202223182695,2,0,3,20260725,10000
clinc150,0.75,energy,oos_f1,5,0.032925393814275415,0.021548564514378386,0.04253174916519529,5,0,0,20260725,10000
clinc150,0.75,energy,f1_all,5,-0.0343644038571016,-0.04020748791061268,-0.029640344732588787,0,0,5,20260725,10000
clinc150,0.75,energy,known_recall,5,-0.20964285714285716,-0.21732142857142858,-0.20279761904761906,0,0,5,20260725,10000
clinc150,0.75,energy,false_accept_rate,5,-0.261880341880342,-0.28008547008547013,-0.24273504273504276,0,0,5,20260725,10000
clinc150,0.75,energy,auroc,5,0.004630570818070811,0.000762260887260946,0.00806636650386654,4,0,1,20260725,10000
clinc150,0.75,energy,aupr_oos,5,-0.0008155140374857428,-0.007683348579133132,0.005983550086223466,3,0,2,20260725,10000
clinc150,0.75,knn,oos_f1,5,0.11004594940461374,0.10117567115826191,0.11891622765096557,5,0,0,20260725,10000
clinc150,0.75,knn,f1_all,5,0.045026206848313155,0.03966867454455889,0.05303563476593709,5,0,0,20260725,10000
clinc150,0.75,knn,known_recall,5,-0.20690476190476192,-0.21255952380952384,-0.2017261904761905,0,0,5,20260725,10000
clinc150,0.75,knn,false_accept_rate,5,-0.3653846153846154,-0.37760683760683766,-0.35316239316239323,0,0,5,20260725,10000
clinc150,0.75,knn,auroc,5,0.037991732804232806,0.033185948310948364,0.042246922059422064,5,0,0,20260725,10000
clinc150,0.75,knn,aupr_oos,5,0.045587799943072826,0.03554013950921044,0.05563546037693521,5,0,0,20260725,10000
clinc150,0.75,lof,oos_f1,5,0.21461565701451235,0.19283324865337564,0.23566213555744034,5,0,0,20260725,10000
clinc150,0.75,lof,f1_all,5,0.06546497027213016,0.05829203400858736,0.0746877401920123,5,0,0,20260725,10000
clinc150,0.75,lof,known_recall,5,-0.21369047619047618,-0.21976190476190477,-0.20827380952380947,0,0,5,20260725,10000
clinc150,0.75,lof,false_accept_rate,5,-0.49410256410256415,-0.5195726495726497,-0.4664102564102565,0,0,5,20260725,10000
clinc150,0.75,lof,auroc,5,0.045569164631664674,0.04111738146113157,0.05002094780219777,5,0,0,20260725,10000
