dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,todo_list,30.0,0.3333333333333333,0.0023188405797101,2,0.028888888888887222,0.08026755852843118
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,play_music,30.0,0.7666666666666667,0.0018840579710144,3,0.028888888888887222,0.06521739130434838
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,todo_list_update,30.0,0.5083333333333333,0.0018115942028985,4,0.028888888888887222,0.06270903010033631
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,reminder_update,30.0,0.7777777777777778,0.0017391304347826,5,0.028888888888887222,0.06020066889632424
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,change_user_name,30.0,0.5833333333333333,0.0014492753623188,6,0.028888888888887222,0.05016722408026905
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,damaged_card,30.0,0.5666666666666667,0.0014492753623188,7,0.028888888888887222,0.05016722408026905
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,timezone,30.0,0.6999999999999998,0.001159420289855,8,0.028888888888887222,0.040133779264213854
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,time,30.0,0.5666666666666667,0.0008695652173913,9,0.028888888888887222,0.03010033444816212
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,what_is_your_name,30.0,0.5666666666666667,0.0008695652173913,10,0.028888888888887222,0.03010033444816212
clinc150,0.5,random_partition,Random K=2,change_ai_name,30.0,0.3083333333333333,0.0109420289855072,1,0.17618357487922315,0.06210584041678203
clinc150,0.5,random_partition,Random K=2,balance,30.0,0.2333333333333333,0.008695652173913,2,0.17618357487922315,0.04935563476830356
clinc150,0.5,random_partition,Random K=2,play_music,30.0,0.35,0.0082608695652173,3,0.17618357487922315,0.046887853029888106
clinc150,0.5,random_partition,Random K=2,todo_list_update,30.0,0.1416666666666666,0.0078260869565217,4,0.17618357487922315,0.044420071291473205
clinc150,0.5,random_partition,Random K=2,todo_list,30.0,0.0666666666666666,0.0078260869565217,5,0.17618357487922315,0.044420071291473205
clinc150,0.5,random_partition,Random K=2,gas,30.0,0.2666666666666666,0.0069565217391304,6,0.17618357487922315,0.03948450781464285
clinc150,0.5,random_partition,Random K=2,yes,30.0,0.3333333333333333,0.006231884057971,7,0.17618357487922315,0.03537153825061765
clinc150,0.5,random_partition,Random K=2,reminder_update,30.0,0.1444444444444444,0.0059903381642512,8,0.17618357487922315,0.034000548395942576
clinc150,0.5,random_partition,Random K=2,order,30.0,0.4333333333333333,0.0047826086956521,9,0.17618357487922315,0.027145599122566675
clinc150,0.5,random_partition,Random K=2,no,30.0,0.0166666666666666,0.0040579710144927,10,0.17618357487922315,0.023032629558541472
clinc150,0.5,trainable_k1,Trainable K=1,change_ai_name,30.0,0.325,0.006231884057971,1,0.0721352657004799,0.08639164211090639
