dataset,kir,method_label,layer,status,directly_comparable,source,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,auroc_mean,aupr_oos_mean
banking77,0.5,Ours,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,88.23,,74.9,,,,78.98,,
banking77,0.75,ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,67.34,,86.44,,,,81.39,,
banking77,0.75,DA-ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,69.37,,85.93,,,,81.12,,
banking77,0.75,DOC,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,63.51,,84.14,,,,78.94,,
banking77,0.75,DeepUnk,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,50.57,,81.65,,,,74.73,,
banking77,0.75,KNNCL,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,51.42,,81.76,,,,74.78,,
banking77,0.75,MSP,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,46.05,,84.99,,,,77.08,,
banking77,0.75,OpenMax,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,53.02,,85.5,,,,78.32,,
banking77,0.75,Ours,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,86.49,,70.28,,,,77.84,,
clinc150,0.25,ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,92.36,,77.85,,,,88.3,,
clinc150,0.25,DA-ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,93.2,,79.57,,,,89.48,,
clinc150,0.25,DOC,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,90.78,,75.46,,,,86.08,,
clinc150,0.25,DeepUnk,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,91.61,,76.95,,,,87.18,,
clinc150,0.25,KNNCL,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,93.56,,78.85,,,,89.87,,
clinc150,0.25,MSP,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,59.26,,51.02,,,,53.38,,
clinc150,0.25,OpenMax,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,77.51,,62.65,,,,70.27,,
clinc150,0.25,Ours,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,95.01,,71.75,,,,90.45,,
clinc150,0.5,ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,88.6,,85.12,,,,86.54,,
clinc150,0.5,DA-ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,90.1,,85.58,,,,87.93,,
clinc150,0.5,DOC,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,87.45,,83.84,,,,85.19,,
clinc150,0.5,DeepUnk,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,87.48,,83.3,,,,84.95,,
clinc150,0.5,KNNCL,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,87.85,,83.25,,,,85.32,,
clinc150,0.5,MSP,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,63.71,,72.82,,,,66.68,,
clinc150,0.5,OpenMax,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,82.15,,79.83,,,,80.22,,
